TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-01-01,2025-01-01,FO,NSE,STO,65862,,ACC,,2025-02-27,2025-02-27,1980.00,PE,ACC25FEB1980PE,0.00,0.00,0.00,71.15,0.00,71.15,2053.20,58.95,0,0,0,0.00,0,F1,300,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,65861,,ACC,,2025-02-27,2025-02-27,1980.00,CE,ACC25FEB1980CE,0.00,0.00,0.00,203.60,0.00,203.60,2053.20,152.90,0,0,0,0.00,0,F1,300,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,69922,,ACC,,2025-01-30,2025-01-30,2040.00,CE,ACC25JAN2040CE,73.90,77.50,64.90,73.20,72.80,73.90,2053.20,73.20,20100,6300,129,81739620.00,124,F1,300,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,66115,,ACC,,2025-03-27,2025-03-27,2040.00,PE,ACC25MAR2040PE,0.00,0.00,0.00,115.20,0.00,115.20,2053.20,101.05,0,0,0,0.00,0,F1,300,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,69923,,ACC,,2025-01-30,2025-01-30,2040.00,PE,ACC25JAN2040PE,47.30,56.65,43.05,46.15,45.75,44.60,2053.20,46.15,27900,10200,234,146740380.00,217,F1,300,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,65840,,ACC,,2025-02-27,2025-02-27,1860.00,PE,ACC25FEB1860PE,0.00,0.00,0.00,36.00,0.00,36.00,2053.20,24.80,0,0,0,0.00,0,F1,300,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,59038,,ACC,,2025-01-30,2025-01-30,2060.00,PE,ACC25JAN2060PE,52.95,66.25,51.50,53.15,54.35,53.25,2053.20,53.15,85800,6300,239,151841535.00,231,F1,300,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,65875,,ACC,,2025-02-27,2025-02-27,2060.00,PE,ACC25FEB2060PE,0.00,0.00,0.00,104.05,0.00,104.05,2053.20,93.65,0,0,0,0.00,0,F1,300,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,65876,,ACC,,2025-02-27,2025-02-27,2100.00,CE,ACC25FEB2100CE,0.00,0.00,0.00,137.35,0.00,137.35,2053.20,89.95,0,0,0,0.00,0,F1,300,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,65877,,ACC,,2025-02-27,2025-02-27,2100.00,PE,ACC25FEB2100PE,0.00,0.00,0.00,94.20,94.20,94.20,2053.20,114.70,600,0,0,0.00,0,F1,300,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,59039,,ACC,,2025-01-30,2025-01-30,2100.00,CE,ACC25JAN2100CE,44.60,46.45,37.65,43.80,44.45,43.20,2053.20,43.80,213000,18600,672,431973135.00,614,F1,300,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,59024,,ACC,,2025-01-30,2025-01-30,1940.00,CE,ACC25JAN1940CE,139.25,139.25,139.25,139.25,139.25,145.60,2053.20,148.50,600,-300,1,623775.00,1,F1,300,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,65860,,ACC,,2025-02-27,2025-02-27,1940.00,PE,ACC25FEB1940PE,0.00,0.00,0.00,57.60,0.00,57.60,2053.20,45.30,0,0,0,0.00,0,F1,300,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,59187,,ACC,,2025-02-27,2025-02-27,1720.00,CE,ACC25FEB1720CE,0.00,0.00,0.00,514.85,0.00,514.85,2053.20,357.75,0,0,0,0.00,0,F1,300,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,59238,,ACC,,2025-02-27,2025-02-27,2120.00,PE,ACC25FEB2120PE,0.00,0.00,0.00,95.15,95.15,95.15,2053.20,126.15,300,0,0,0.00,0,F1,300,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,59237,,ACC,,2025-02-27,2025-02-27,2120.00,CE,ACC25FEB2120CE,0.00,0.00,0.00,222.55,0.00,222.55,2053.20,81.60,0,0,0,0.00,0,F1,300,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,66119,,ACC,,2025-03-27,2025-03-27,2120.00,CE,ACC25MAR2120CE,0.00,0.00,0.00,159.75,0.00,159.75,2053.20,108.45,0,0,0,0.00,0,F1,300,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,69924,,ACC,,2025-01-30,2025-01-30,2080.00,CE,ACC25JAN2080CE,55.00,55.00,45.25,52.45,54.00,52.00,2053.20,52.45,69300,4800,225,143848950.00,221,F1,300,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,59258,,ACC,,2025-02-27,2025-02-27,2280.00,PE,ACC25FEB2280PE,0.00,0.00,0.00,196.05,0.00,196.05,2053.20,237.05,0,0,0,0.00,0,F1,300,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,59219,,ACC,,2025-02-27,2025-02-27,2000.00,CE,ACC25FEB2000CE,0.00,0.00,0.00,295.95,0.00,295.95,2053.20,140.85,0,0,0,0.00,0,F1,300,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,69938,,ACC,,2025-01-30,2025-01-30,2320.00,CE,ACC25JAN2320CE,3.60,4.00,3.60,3.75,3.75,60.90,2053.20,3.75,5400,4800,35,24400470.00,32,F1,300,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,69939,,ACC,,2025-01-30,2025-01-30,2320.00,PE,ACC25JAN2320PE,0.00,0.00,0.00,151.45,0.00,151.45,2053.20,262.70,0,0,0,0.00,0,F1,300,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,65871,,ACC,,2025-02-27,2025-02-27,2020.00,CE,ACC25FEB2020CE,0.00,0.00,0.00,179.60,0.00,179.60,2053.20,129.40,0,0,0,0.00,0,F1,300,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,59047,,ACC,,2025-01-30,2025-01-30,2140.00,PE,ACC25JAN2140PE,102.45,102.45,102.45,102.45,102.45,102.65,2053.20,117.30,4800,-300,1,672735.00,1,F1,300,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,59031,,ACC,,2025-01-30,2025-01-30,2020.00,PE,ACC25JAN2020PE,41.35,48.25,36.35,38.75,38.85,37.40,2053.20,38.75,36300,-12000,86,53207820.00,84,F1,300,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,59030,,ACC,,2025-01-30,2025-01-30,2020.00,CE,ACC25JAN2020CE,86.15,86.15,85.45,85.45,85.45,86.85,2053.20,95.60,6300,600,3,1895325.00,3,F1,300,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,59029,,ACC,,2025-01-30,2025-01-30,1980.00,PE,ACC25JAN1980PE,25.70,34.25,25.05,27.45,27.50,25.70,2053.20,27.45,44400,6600,267,160998225.00,251,F1,300,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,59026,,ACC,,2025-01-30,2025-01-30,1980.00,CE,ACC25JAN1980CE,0.00,0.00,0.00,133.15,133.15,133.15,2053.20,120.40,3300,0,0,0.00,0,F1,300,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,59222,,ACC,,2025-02-27,2025-02-27,2040.00,PE,ACC25FEB2040PE,0.00,0.00,0.00,84.65,0.00,84.65,2053.20,84.05,0,0,0,0.00,0,F1,300,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,69940,,ACC,,2025-01-30,2025-01-30,2360.00,CE,ACC25JAN2360CE,2.60,2.60,2.60,2.60,2.60,2.55,2053.20,5.45,12600,0,1,708780.00,1,F1,300,,,,,
