TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-01-01,2025-01-01,FO,NSE,STO,62785,,ATGL,,2025-01-30,2025-01-30,800.00,CE,ATGL25JAN800CE,12.25,20.00,11.55,14.10,14.10,13.60,750.05,14.10,299925,-54250,1033,652580535.00,806,F1,775,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,77302,,ATGL,,2025-03-27,2025-03-27,740.00,CE,ATGL25MAR740CE,0.00,0.00,0.00,66.20,0.00,66.20,750.05,89.90,0,0,0,0.00,0,F1,775,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,62781,,ATGL,,2025-01-30,2025-01-30,790.00,CE,ATGL25JAN790CE,16.00,22.05,15.25,16.30,16.65,15.35,750.05,16.30,48825,6975,118,73970921.25,84,F1,775,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,77293,,ATGL,,2025-03-27,2025-03-27,660.00,PE,ATGL25MAR660PE,0.00,0.00,0.00,74.40,0.00,74.40,750.05,34.70,0,0,0,0.00,0,F1,775,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,62810,,ATGL,,2025-01-30,2025-01-30,850.00,PE,ATGL25JAN850PE,0.00,0.00,0.00,110.65,0.00,110.65,750.05,111.25,0,0,0,0.00,0,F1,775,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,76858,,ATGL,,2025-02-27,2025-02-27,850.00,PE,ATGL25FEB850PE,0.00,0.00,0.00,191.15,0.00,191.15,750.05,124.15,0,0,0,0.00,0,F1,775,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,77295,,ATGL,,2025-03-27,2025-03-27,680.00,PE,ATGL25MAR680PE,0.00,0.00,0.00,85.00,0.00,85.00,750.05,41.85,0,0,0,0.00,0,F1,775,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,62741,,ATGL,,2025-01-30,2025-01-30,680.00,PE,ATGL25JAN680PE,14.50,16.00,11.20,13.00,13.00,17.80,750.05,16.90,67425,-2325,124,66615977.50,99,F1,775,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,77298,,ATGL,,2025-03-27,2025-03-27,720.00,CE,ATGL25MAR720CE,0.00,0.00,0.00,73.25,0.00,73.25,750.05,99.95,0,0,0,0.00,0,F1,775,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,62899,,ATGL,,2025-02-27,2025-02-27,620.00,CE,ATGL25FEB620CE,0.00,0.00,0.00,222.15,0.00,222.15,750.05,150.95,0,0,0,0.00,0,F1,775,,,,,
