TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-01-01,2025-01-01,FO,NSE,STO,75459,,CUB,,2025-02-27,2025-02-27,145.00,PE,CUB25FEB145PE,0.00,0.00,0.00,1.70,0.00,1.70,173.80,0.50,0,0,0,0.00,0,F1,5000,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,87383,,CUB,,2025-01-30,2025-01-30,210.00,PE,CUB25JAN210PE,0.00,0.00,0.00,33.15,33.15,33.15,173.80,35.20,15000,0,0,0.00,0,F1,5000,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,75463,,CUB,,2025-02-27,2025-02-27,155.00,PE,CUB25FEB155PE,0.00,0.00,0.00,3.45,0.00,3.45,173.80,1.60,0,0,0,0.00,0,F1,5000,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,87313,,CUB,,2025-01-30,2025-01-30,155.00,CE,CUB25JAN155CE,0.00,0.00,0.00,22.15,22.15,22.15,173.80,20.20,10000,0,0,0.00,0,F1,5000,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,75386,,CUB,,2025-01-30,2025-01-30,187.50,CE,CUB25JAN187.5CE,0.80,0.90,0.65,0.90,0.90,0.80,173.80,0.90,195000,5000,6,5648750.00,6,F1,5000,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,75467,,CUB,,2025-02-27,2025-02-27,160.00,PE,CUB25FEB160PE,0.00,0.00,0.00,4.65,0.00,4.65,173.80,2.60,0,0,0,0.00,0,F1,5000,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,75387,,CUB,,2025-01-30,2025-01-30,187.50,PE,CUB25JAN187.5PE,0.00,0.00,0.00,12.00,12.00,12.00,173.80,14.55,5000,0,0,0.00,0,F1,5000,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,99317,,CUB,,2025-02-27,2025-02-27,172.50,CE,CUB25FEB172.5CE,0.00,0.00,0.00,12.40,0.00,12.40,173.80,10.05,0,0,0,0.00,0,F1,5000,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,75381,,CUB,,2025-01-30,2025-01-30,172.50,PE,CUB25JAN172.5PE,4.55,5.40,3.40,3.45,3.40,4.30,173.80,3.45,280000,45000,42,37146000.00,35,F1,5000,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,99337,,CUB,,2025-02-27,2025-02-27,177.50,PE,CUB25FEB177.5PE,0.00,0.00,0.00,11.75,0.00,11.75,173.80,9.50,0,0,0,0.00,0,F1,5000,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,75458,,CUB,,2025-02-27,2025-02-27,145.00,CE,CUB25FEB145CE,0.00,0.00,0.00,39.00,0.00,39.00,173.80,30.80,0,0,0,0.00,0,F1,5000,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,99304,,CUB,,2025-02-27,2025-02-27,157.50,PE,CUB25FEB157.5PE,0.00,0.00,0.00,3.65,0.00,3.65,173.80,2.05,0,0,0,0.00,0,F1,5000,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,87360,,CUB,,2025-01-30,2025-01-30,175.00,PE,CUB25JAN175PE,5.90,6.75,4.50,4.55,4.50,5.55,173.80,4.55,890000,35000,30,27146750.00,23,F1,5000,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,75380,,CUB,,2025-01-30,2025-01-30,172.50,CE,CUB25JAN172.5CE,5.10,6.30,4.25,6.10,6.30,5.10,173.80,6.10,570000,320000,176,155973000.00,113,F1,5000,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,99335,,CUB,,2025-02-27,2025-02-27,172.50,PE,CUB25FEB172.5PE,0.00,0.00,0.00,9.20,0.00,9.20,173.80,6.95,0,0,0,0.00,0,F1,5000,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,75483,,CUB,,2025-02-27,2025-02-27,200.00,PE,CUB25FEB200PE,0.00,0.00,0.00,24.30,0.00,24.30,173.80,25.80,0,0,0,0.00,0,F1,5000,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,75478,,CUB,,2025-02-27,2025-02-27,190.00,CE,CUB25FEB190CE,0.00,0.00,0.00,10.90,0.00,10.90,173.80,3.50,0,0,0,0.00,0,F1,5000,,,,,
