TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-01-01,2025-01-01,FO,NSE,STO,78723,,DIXON,,2025-01-30,2025-01-30,20500.00,CE,DIXON25JAN20500CE,119.05,119.05,86.60,104.30,103.90,109.85,17994.60,104.30,48800,150,628,646797952.50,519,F1,50,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,41422,,DIXON,,2025-02-27,2025-02-27,20500.00,PE,DIXON25FEB20500PE,0.00,0.00,0.00,4648.25,0.00,4648.25,17994.60,2650.10,0,0,0,0.00,0,F1,50,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,90172,,DIXON,,2025-01-30,2025-01-30,17500.00,PE,DIXON25JAN17500PE,499.95,553.80,425.00,438.00,426.05,473.15,17994.60,438.00,63150,1950,1201,1079313117.50,1040,F1,50,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,103935,,DIXON,,2025-03-27,2025-03-27,19500.00,CE,DIXON25MAR19500CE,0.00,0.00,0.00,1226.15,0.00,1226.15,17994.60,862.55,0,0,0,0.00,0,F1,50,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,78767,,DIXON,,2025-02-27,2025-02-27,19500.00,PE,DIXON25FEB19500PE,0.00,0.00,0.00,3970.80,0.00,3970.80,17994.60,1901.45,0,0,0,0.00,0,F1,50,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,103936,,DIXON,,2025-03-27,2025-03-27,19500.00,PE,DIXON25MAR19500PE,0.00,0.00,0.00,2335.85,0.00,2335.85,17994.60,2063.80,0,0,0,0.00,0,F1,50,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,103524,,DIXON,,2025-02-27,2025-02-27,18250.00,CE,DIXON25FEB18250CE,0.00,0.00,0.00,950.00,950.00,950.00,17994.60,1065.35,200,0,0,0.00,0,F1,50,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,103525,,DIXON,,2025-02-27,2025-02-27,18250.00,PE,DIXON25FEB18250PE,0.00,0.00,0.00,1384.25,0.00,1384.25,17994.60,1129.40,0,0,0,0.00,0,F1,50,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,103501,,DIXON,,2025-02-27,2025-02-27,16750.00,PE,DIXON25FEB16750PE,0.00,0.00,0.00,717.30,0.00,717.30,17994.60,490.30,0,0,0,0.00,0,F1,50,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,103500,,DIXON,,2025-02-27,2025-02-27,16750.00,CE,DIXON25FEB16750CE,0.00,0.00,0.00,2215.45,0.00,2215.45,17994.60,1910.55,0,0,0,0.00,0,F1,50,,,,,
