TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-01-01,2025-01-01,FO,NSE,STO,84995,,HCLTECH,,2025-02-27,2025-02-27,1840.00,CE,HCLTECH25FEB1840CE,0.00,0.00,0.00,115.95,0.00,115.95,1911.95,120.05,0,0,0,0.00,0,F1,350,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,84996,,HCLTECH,,2025-02-27,2025-02-27,1840.00,PE,HCLTECH25FEB1840PE,0.00,0.00,0.00,81.85,0.00,81.85,1911.95,28.80,0,0,0,0.00,0,F1,350,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,85030,,HCLTECH,,2025-02-27,2025-02-27,2200.00,PE,HCLTECH25FEB2200PE,0.00,0.00,0.00,334.90,0.00,334.90,1911.95,270.15,0,0,0,0.00,0,F1,350,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,112277,,HCLTECH,,2025-02-27,2025-02-27,1700.00,PE,HCLTECH25FEB1700PE,0.00,0.00,0.00,12.45,0.00,12.45,1911.95,4.75,0,0,0,0.00,0,F1,350,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,95930,,HCLTECH,,2025-01-30,2025-01-30,2240.00,CE,HCLTECH25JAN2240CE,0.00,0.00,0.00,1.70,1.70,1.70,1911.95,0.25,700,0,0,0.00,0,F1,350,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,95871,,HCLTECH,,2025-01-30,2025-01-30,1760.00,PE,HCLTECH25JAN1760PE,11.15,11.15,8.20,10.40,10.55,10.75,1911.95,10.40,114800,-3500,361,223581610.00,296,F1,350,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,112496,,HCLTECH,,2025-03-27,2025-03-27,1600.00,CE,HCLTECH25MAR1600CE,0.00,0.00,0.00,337.10,0.00,337.10,1911.95,339.30,0,0,0,0.00,0,F1,350,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,84910,,HCLTECH,,2025-01-30,2025-01-30,2060.00,CE,HCLTECH25JAN2060CE,9.55,11.30,8.25,8.80,8.85,9.75,1911.95,8.80,52500,-12600,455,329588997.50,400,F1,350,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,95906,,HCLTECH,,2025-01-30,2025-01-30,2080.00,PE,HCLTECH25JAN2080PE,0.00,0.00,0.00,180.55,180.55,180.55,1911.95,162.80,700,0,0,0.00,0,F1,350,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,112278,,HCLTECH,,2025-02-27,2025-02-27,1740.00,CE,HCLTECH25FEB1740CE,0.00,0.00,0.00,201.50,0.00,201.50,1911.95,198.80,0,0,0,0.00,0,F1,350,,,,,
