TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-01-01,2025-01-01,FO,NSE,STO,130998,,METROPOLIS,,2025-02-27,2025-02-27,1860.00,CE,METROPOLIS25FEB1860CE,0.00,0.00,0.00,235.90,0.00,235.90,2056.50,237.75,0,0,0,0.00,0,F1,400,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,113594,,METROPOLIS,,2025-01-30,2025-01-30,2120.00,CE,METROPOLIS25JAN2120CE,0.00,0.00,0.00,48.85,48.85,48.85,2056.50,47.30,6800,0,0,0.00,0,F1,400,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,111293,,METROPOLIS,,2025-01-30,2025-01-30,2300.00,CE,METROPOLIS25JAN2300CE,8.15,10.20,7.10,7.35,7.60,9.60,2056.50,7.35,55600,2000,574,530006180.00,453,F1,400,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,131010,,METROPOLIS,,2025-02-27,2025-02-27,2100.00,CE,METROPOLIS25FEB2100CE,0.00,0.00,0.00,101.50,0.00,101.50,2056.50,87.50,0,0,0,0.00,0,F1,400,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,113218,,METROPOLIS,,2025-01-30,2025-01-30,1720.00,PE,METROPOLIS25JAN1720PE,0.00,0.00,0.00,15.30,0.00,15.30,2056.50,0.85,0,0,0,0.00,0,F1,400,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,111286,,METROPOLIS,,2025-01-30,2025-01-30,2140.00,PE,METROPOLIS25JAN2140PE,0.00,0.00,0.00,140.00,140.00,140.00,2056.50,112.45,800,0,0,0.00,0,F1,400,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,111482,,METROPOLIS,,2025-02-27,2025-02-27,2280.00,PE,METROPOLIS25FEB2280PE,0.00,0.00,0.00,214.55,0.00,214.55,2056.50,231.40,0,0,0,0.00,0,F1,400,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,111458,,METROPOLIS,,2025-02-27,2025-02-27,2000.00,PE,METROPOLIS25FEB2000PE,0.00,0.00,0.00,78.20,0.00,78.20,2056.50,61.75,0,0,0,0.00,0,F1,400,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,111465,,METROPOLIS,,2025-02-27,2025-02-27,2160.00,CE,METROPOLIS25FEB2160CE,0.00,0.00,0.00,165.45,0.00,165.45,2056.50,64.00,0,0,0,0.00,0,F1,400,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,113608,,METROPOLIS,,2025-01-30,2025-01-30,2320.00,CE,METROPOLIS25JAN2320CE,6.70,6.70,6.35,6.35,6.35,102.90,2056.50,7.35,800,800,2,1861220.00,2,F1,400,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,113609,,METROPOLIS,,2025-01-30,2025-01-30,2320.00,PE,METROPOLIS25JAN2320PE,0.00,0.00,0.00,235.00,0.00,235.00,2056.50,258.45,0,0,0,0.00,0,F1,400,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,111279,,METROPOLIS,,2025-01-30,2025-01-30,2020.00,CE,METROPOLIS25JAN2020CE,0.00,0.00,0.00,211.55,0.00,211.55,2056.50,94.90,0,0,0,0.00,0,F1,400,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,111277,,METROPOLIS,,2025-01-30,2025-01-30,1980.00,CE,METROPOLIS25JAN1980CE,0.00,0.00,0.00,238.20,0.00,238.20,2056.50,120.20,0,0,0,0.00,0,F1,400,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,113565,,METROPOLIS,,2025-01-30,2025-01-30,2040.00,CE,METROPOLIS25JAN2040CE,0.00,0.00,0.00,95.00,95.00,95.00,2056.50,83.55,16400,0,0,0.00,0,F1,400,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,111460,,METROPOLIS,,2025-02-27,2025-02-27,2040.00,PE,METROPOLIS25FEB2040PE,0.00,0.00,0.00,92.90,0.00,92.90,2056.50,78.70,0,0,0,0.00,0,F1,400,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,111459,,METROPOLIS,,2025-02-27,2025-02-27,2040.00,CE,METROPOLIS25FEB2040CE,0.00,0.00,0.00,229.55,0.00,229.55,2056.50,116.60,0,0,0,0.00,0,F1,400,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,113568,,METROPOLIS,,2025-01-30,2025-01-30,2040.00,PE,METROPOLIS25JAN2040PE,47.80,49.80,45.80,49.80,49.80,41.00,2056.50,49.80,9600,-400,3,2505360.00,3,F1,400,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,111485,,METROPOLIS,,2025-02-27,2025-02-27,2360.00,CE,METROPOLIS25FEB2360CE,0.00,0.00,0.00,89.35,0.00,89.35,2056.50,18.90,0,0,0,0.00,0,F1,400,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,113610,,METROPOLIS,,2025-01-30,2025-01-30,2360.00,CE,METROPOLIS25JAN2360CE,4.90,5.00,4.90,5.00,5.00,90.35,2056.50,5.00,2800,2800,7,6621960.00,3,F1,400,,,,,
