TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-01-01,2025-01-01,FO,NSE,STO,128907,,M&MFIN,,2025-03-27,2025-03-27,270.00,PE,M&MFIN25MAR270PE,0.00,0.00,0.00,19.60,0.00,19.60,265.55,16.05,0,0,0,0.00,0,F1,2000,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,128905,,M&MFIN,,2025-03-27,2025-03-27,260.00,PE,M&MFIN25MAR260PE,0.00,0.00,0.00,14.75,0.00,14.75,265.55,11.30,0,0,0,0.00,0,F1,2000,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,110072,,M&MFIN,,2025-01-30,2025-01-30,260.00,CE,M&MFIN25JAN260CE,11.95,13.00,11.75,12.70,12.65,12.60,265.55,12.70,228000,-8000,25,13622700.00,24,F1,2000,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,128897,,M&MFIN,,2025-03-27,2025-03-27,220.00,PE,M&MFIN25MAR220PE,0.00,0.00,0.00,3.10,0.00,3.10,265.55,1.45,0,0,0,0.00,0,F1,2000,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,110086,,M&MFIN,,2025-01-30,2025-01-30,320.00,CE,M&MFIN25JAN320CE,0.25,0.25,0.25,0.25,0.25,0.20,265.55,0.20,188000,0,2,1281000.00,1,F1,2000,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,108489,,M&MFIN,,2025-02-27,2025-02-27,230.00,PE,M&MFIN25FEB230PE,0.00,0.00,0.00,12.45,13.00,12.45,265.55,1.50,46000,0,0,0.00,0,F1,2000,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,108488,,M&MFIN,,2025-02-27,2025-02-27,230.00,CE,M&MFIN25FEB230CE,0.00,0.00,0.00,50.30,0.00,50.30,265.55,39.50,0,0,0,0.00,0,F1,2000,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,108507,,M&MFIN,,2025-02-27,2025-02-27,310.00,PE,M&MFIN25FEB310PE,0.00,0.00,0.00,41.85,0.00,41.85,265.55,43.30,0,0,0,0.00,0,F1,2000,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,110082,,M&MFIN,,2025-01-30,2025-01-30,310.00,CE,M&MFIN25JAN310CE,0.40,0.45,0.40,0.40,0.40,0.45,265.55,0.40,926000,298000,172,106777700.00,43,F1,2000,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,108506,,M&MFIN,,2025-02-27,2025-02-27,310.00,CE,M&MFIN25FEB310CE,0.00,0.00,0.00,9.45,0.00,9.45,265.55,2.10,0,0,0,0.00,0,F1,2000,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,108373,,M&MFIN,,2025-01-30,2025-01-30,295.00,PE,M&MFIN25JAN295PE,29.40,29.40,29.40,29.40,29.40,29.15,265.55,29.40,2000,2000,1,648800.00,1,F1,2000,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,110085,,M&MFIN,,2025-01-30,2025-01-30,310.00,PE,M&MFIN25JAN310PE,0.00,0.00,0.00,45.70,45.45,45.70,265.55,43.25,42000,0,0,0.00,0,F1,2000,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,128813,,M&MFIN,,2025-02-27,2025-02-27,255.00,CE,M&MFIN25FEB255CE,0.00,0.00,0.00,23.90,0.00,23.90,265.55,20.40,0,0,0,0.00,0,F1,2000,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,128814,,M&MFIN,,2025-02-27,2025-02-27,255.00,PE,M&MFIN25FEB255PE,0.00,0.00,0.00,10.15,0.00,10.15,265.55,7.20,0,0,0,0.00,0,F1,2000,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,108497,,M&MFIN,,2025-02-27,2025-02-27,260.00,PE,M&MFIN25FEB260PE,0.00,0.00,0.00,9.95,9.95,9.95,265.55,9.10,2000,0,0,0.00,0,F1,2000,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,110073,,M&MFIN,,2025-01-30,2025-01-30,260.00,PE,M&MFIN25JAN260PE,6.75,7.20,6.00,6.10,6.10,6.75,265.55,6.10,456000,-10000,87,46383800.00,81,F1,2000,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,108496,,M&MFIN,,2025-02-27,2025-02-27,260.00,CE,M&MFIN25FEB260CE,0.00,0.00,0.00,29.50,0.00,29.50,265.55,17.40,0,0,0,0.00,0,F1,2000,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,128904,,M&MFIN,,2025-03-27,2025-03-27,260.00,CE,M&MFIN25MAR260CE,0.00,0.00,0.00,25.05,0.00,25.05,265.55,20.90,0,0,0,0.00,0,F1,2000,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,128910,,M&MFIN,,2025-03-27,2025-03-27,290.00,CE,M&MFIN25MAR290CE,0.00,0.00,0.00,12.40,0.00,12.40,265.55,8.40,0,0,0,0.00,0,F1,2000,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,108374,,M&MFIN,,2025-01-30,2025-01-30,305.00,CE,M&MFIN25JAN305CE,0.55,0.65,0.55,0.65,0.65,0.65,265.55,0.70,38000,-6000,14,8557100.00,13,F1,2000,,,,,
2025-01-01,2025-01-01,FO,NSE,STF,43157,,M&MFIN,,2025-03-27,2025-03-27,,,M&MFIN25MARFUT,263.00,263.55,261.60,263.55,263.55,262.00,265.55,269.75,54000,4000,4,2103400.00,4,F1,2000,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,108487,,M&MFIN,,2025-02-27,2025-02-27,220.00,PE,M&MFIN25FEB220PE,0.00,0.00,0.00,2.60,0.00,2.60,265.55,0.65,0,0,0,0.00,0,F1,2000,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,110132,,M&MFIN,,2025-01-30,2025-01-30,330.00,CE,M&MFIN25JAN330CE,0.20,0.20,0.15,0.20,0.20,0.25,265.55,0.20,110000,8000,12,7924400.00,12,F1,2000,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,110071,,M&MFIN,,2025-01-30,2025-01-30,250.00,PE,M&MFIN25JAN250PE,4.00,4.00,3.10,3.20,3.20,3.65,265.55,3.20,604000,-36000,128,64886800.00,117,F1,2000,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,108375,,M&MFIN,,2025-01-30,2025-01-30,305.00,PE,M&MFIN25JAN305PE,0.00,0.00,0.00,40.60,40.60,40.60,265.55,38.50,4000,0,0,0.00,0,F1,2000,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,108503,,M&MFIN,,2025-02-27,2025-02-27,290.00,PE,M&MFIN25FEB290PE,0.00,0.00,0.00,28.20,0.00,28.20,265.55,26.85,0,0,0,0.00,0,F1,2000,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,128862,,M&MFIN,,2025-02-27,2025-02-27,275.00,CE,M&MFIN25FEB275CE,0.00,0.00,0.00,13.90,0.00,13.90,265.55,10.15,0,0,0,0.00,0,F1,2000,,,,,
2025-01-01,2025-01-01,FO,NSE,STF,39194,,M&MFIN,,2025-02-27,2025-02-27,,,M&MFIN25FEBFUT,262.40,265.15,262.40,264.95,264.95,263.65,265.55,264.95,850000,10000,21,11092000.00,21,F1,2000,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,108502,,M&MFIN,,2025-02-27,2025-02-27,290.00,CE,M&MFIN25FEB290CE,0.00,0.00,0.00,15.40,0.00,15.40,265.55,5.45,0,0,0,0.00,0,F1,2000,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,108336,,M&MFIN,,2025-01-30,2025-01-30,245.00,CE,M&MFIN25JAN245CE,0.00,0.00,0.00,22.80,22.80,22.80,265.55,23.80,8000,0,0,0.00,0,F1,2000,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,128812,,M&MFIN,,2025-02-27,2025-02-27,245.00,PE,M&MFIN25FEB245PE,0.00,0.00,0.00,6.70,0.00,6.70,265.55,4.15,0,0,0,0.00,0,F1,2000,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,128902,,M&MFIN,,2025-03-27,2025-03-27,250.00,CE,M&MFIN25MAR250CE,0.00,0.00,0.00,30.80,0.00,30.80,265.55,26.95,0,0,0,0.00,0,F1,2000,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,108340,,M&MFIN,,2025-01-30,2025-01-30,255.00,CE,M&MFIN25JAN255CE,15.55,16.20,15.15,16.20,16.20,15.90,265.55,16.25,30000,2000,7,3789500.00,7,F1,2000,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,128913,,M&MFIN,,2025-03-27,2025-03-27,300.00,PE,M&MFIN25MAR300PE,0.00,0.00,0.00,38.50,0.00,38.50,265.55,35.70,0,0,0,0.00,0,F1,2000,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,108505,,M&MFIN,,2025-02-27,2025-02-27,300.00,PE,M&MFIN25FEB300PE,0.00,0.00,0.00,34.70,0.00,34.70,265.55,34.75,0,0,0,0.00,0,F1,2000,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,128864,,M&MFIN,,2025-02-27,2025-02-27,285.00,CE,M&MFIN25FEB285CE,0.00,0.00,0.00,10.25,0.00,10.25,265.55,6.80,0,0,0,0.00,0,F1,2000,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,108371,,M&MFIN,,2025-01-30,2025-01-30,285.00,PE,M&MFIN25JAN285PE,21.15,21.20,20.70,20.80,20.90,23.40,265.55,20.80,42000,-2000,12,7342700.00,12,F1,2000,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,128865,,M&MFIN,,2025-02-27,2025-02-27,285.00,PE,M&MFIN25FEB285PE,0.00,0.00,0.00,26.10,0.00,26.10,265.55,23.25,0,0,0,0.00,0,F1,2000,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,108370,,M&MFIN,,2025-01-30,2025-01-30,285.00,CE,M&MFIN25JAN285CE,2.60,2.80,2.50,2.80,2.80,2.75,265.55,2.80,314000,24000,67,38545200.00,64,F1,2000,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,128900,,M&MFIN,,2025-03-27,2025-03-27,240.00,CE,M&MFIN25MAR240CE,0.00,0.00,0.00,37.40,0.00,37.40,265.55,34.00,0,0,0,0.00,0,F1,2000,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,108341,,M&MFIN,,2025-01-30,2025-01-30,255.00,PE,M&MFIN25JAN255PE,5.30,5.30,4.40,4.50,4.50,5.05,265.55,4.50,252000,6000,36,18703200.00,36,F1,2000,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,108493,,M&MFIN,,2025-02-27,2025-02-27,240.00,PE,M&MFIN25FEB240PE,0.00,0.00,0.00,6.35,0.00,6.35,265.55,3.05,0,0,0,0.00,0,F1,2000,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,108492,,M&MFIN,,2025-02-27,2025-02-27,240.00,CE,M&MFIN25FEB240CE,0.00,0.00,0.00,42.70,0.00,42.70,265.55,31.15,0,0,0,0.00,0,F1,2000,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,108376,,M&MFIN,,2025-01-30,2025-01-30,315.00,CE,M&MFIN25JAN315CE,0.00,0.00,0.00,0.30,0.30,0.30,265.55,0.30,56000,0,0,0.00,0,F1,2000,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,110075,,M&MFIN,,2025-01-30,2025-01-30,270.00,PE,M&MFIN25JAN270PE,11.25,11.75,10.40,10.60,10.80,11.50,265.55,10.60,500000,-6000,43,24147300.00,43,F1,2000,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,128906,,M&MFIN,,2025-03-27,2025-03-27,270.00,CE,M&MFIN25MAR270CE,0.00,0.00,0.00,20.05,0.00,20.05,265.55,15.80,0,0,0,0.00,0,F1,2000,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,108498,,M&MFIN,,2025-02-27,2025-02-27,270.00,CE,M&MFIN25FEB270CE,9.50,9.50,9.50,9.50,9.50,10.10,265.55,12.30,20000,2000,1,559000.00,1,F1,2000,,,,,
