TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-01-01,2025-01-01,FO,NSE,STO,133495,,SJVN,,2025-01-30,2025-01-30,122.50,CE,SJVN25JAN122.5CE,1.50,1.50,1.35,1.45,1.45,10.70,110.85,1.45,14175,14175,3,1756755.00,3,F1,4725,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,133496,,SJVN,,2025-01-30,2025-01-30,122.50,PE,SJVN25JAN122.5PE,0.00,0.00,0.00,13.70,0.00,13.70,110.85,13.45,0,0,0,0.00,0,F1,4725,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,134143,,SJVN,,2025-02-27,2025-02-27,115.00,CE,SJVN25FEB115CE,0.00,0.00,0.00,16.75,0.00,16.75,110.85,7.40,0,0,0,0.00,0,F1,4725,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,148720,,SJVN,,2025-03-27,2025-03-27,115.00,CE,SJVN25MAR115CE,0.00,0.00,0.00,11.15,0.00,11.15,110.85,9.60,0,0,0,0.00,0,F1,4725,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,148726,,SJVN,,2025-03-27,2025-03-27,130.00,CE,SJVN25MAR130CE,0.00,0.00,0.00,6.50,0.00,6.50,110.85,4.85,0,0,0,0.00,0,F1,4725,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,134148,,SJVN,,2025-02-27,2025-02-27,125.00,PE,SJVN25FEB125PE,0.00,0.00,0.00,17.20,0.00,17.20,110.85,17.00,0,0,0,0.00,0,F1,4725,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,148721,,SJVN,,2025-03-27,2025-03-27,115.00,PE,SJVN25MAR115PE,0.00,0.00,0.00,15.20,0.00,15.20,110.85,11.95,0,0,0,0.00,0,F1,4725,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,133894,,SJVN,,2025-02-27,2025-02-27,85.00,PE,SJVN25FEB85PE,0.00,0.00,0.00,2.00,0.00,2.00,110.85,0.70,0,0,0,0.00,0,F1,4725,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,133893,,SJVN,,2025-02-27,2025-02-27,85.00,CE,SJVN25FEB85CE,0.00,0.00,0.00,36.45,0.00,36.45,110.85,27.45,0,0,0,0.00,0,F1,4725,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,133342,,SJVN,,2025-01-30,2025-01-30,85.00,PE,SJVN25JAN85PE,0.20,0.20,0.15,0.15,0.15,0.25,110.85,0.15,14175,4725,3,1207473.75,3,F1,4725,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,133341,,SJVN,,2025-01-30,2025-01-30,85.00,CE,SJVN25JAN85CE,0.00,0.00,0.00,35.10,0.00,35.10,110.85,26.45,0,0,0,0.00,0,F1,4725,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,148706,,SJVN,,2025-03-27,2025-03-27,80.00,CE,SJVN25MAR80CE,0.00,0.00,0.00,32.20,0.00,32.20,110.85,32.90,0,0,0,0.00,0,F1,4725,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,133350,,SJVN,,2025-01-30,2025-01-30,95.00,PE,SJVN25JAN95PE,0.95,0.95,0.50,0.60,0.50,0.95,110.85,0.60,444150,-61425,318,143682052.50,203,F1,4725,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,133345,,SJVN,,2025-01-30,2025-01-30,90.00,CE,SJVN25JAN90CE,0.00,0.00,0.00,30.85,0.00,30.85,110.85,21.70,0,0,0,0.00,0,F1,4725,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,133992,,SJVN,,2025-02-27,2025-02-27,90.00,PE,SJVN25FEB90PE,5.50,5.55,5.50,5.55,5.55,2.90,110.85,1.30,113400,113400,24,10832771.25,3,F1,4725,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,148710,,SJVN,,2025-03-27,2025-03-27,90.00,CE,SJVN25MAR90CE,0.00,0.00,0.00,24.60,0.00,24.60,110.85,24.50,0,0,0,0.00,0,F1,4725,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,133630,,SJVN,,2025-01-30,2025-01-30,130.00,PE,SJVN25JAN130PE,19.90,20.65,18.95,18.95,18.95,24.55,110.85,19.60,33075,23625,10,7087027.50,9,F1,4725,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,148715,,SJVN,,2025-03-27,2025-03-27,100.00,PE,SJVN25MAR100PE,0.00,0.00,0.00,7.60,0.00,7.60,110.85,5.00,0,0,0,0.00,0,F1,4725,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,148714,,SJVN,,2025-03-27,2025-03-27,100.00,CE,SJVN25MAR100CE,0.00,0.00,0.00,18.25,0.00,18.25,110.85,17.40,0,0,0,0.00,0,F1,4725,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,133996,,SJVN,,2025-02-27,2025-02-27,100.00,PE,SJVN25FEB100PE,0.00,0.00,0.00,5.55,0.00,5.55,110.85,3.60,0,0,0,0.00,0,F1,4725,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,148682,,SJVN,,2025-02-27,2025-02-27,117.50,CE,SJVN25FEB117.5CE,0.00,0.00,0.00,7.85,0.00,7.85,110.85,6.45,0,0,0,0.00,0,F1,4725,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,133494,,SJVN,,2025-01-30,2025-01-30,120.00,PE,SJVN25JAN120PE,10.60,11.20,10.00,10.80,10.80,10.35,110.85,11.55,122850,33075,9,5560380.00,9,F1,4725,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,148716,,SJVN,,2025-03-27,2025-03-27,105.00,CE,SJVN25MAR105CE,0.00,0.00,0.00,15.60,0.00,15.60,110.85,14.40,0,0,0,0.00,0,F1,4725,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,133358,,SJVN,,2025-01-30,2025-01-30,105.00,PE,SJVN25JAN105PE,3.20,3.50,2.05,2.25,2.20,4.00,110.85,2.25,1800225,1323000,1683,854102340.00,1163,F1,4725,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,133999,,SJVN,,2025-02-27,2025-02-27,105.00,CE,SJVN25FEB105CE,0.00,0.00,0.00,22.15,0.00,22.15,110.85,12.35,0,0,0,0.00,0,F1,4725,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,133357,,SJVN,,2025-01-30,2025-01-30,105.00,CE,SJVN25JAN105CE,5.40,9.05,5.35,8.30,8.35,4.30,110.85,8.30,486675,-151200,880,467135943.75,755,F1,4725,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,148717,,SJVN,,2025-03-27,2025-03-27,105.00,PE,SJVN25MAR105PE,0.00,0.00,0.00,9.80,0.00,9.80,110.85,6.95,0,0,0,0.00,0,F1,4725,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,134000,,SJVN,,2025-02-27,2025-02-27,105.00,PE,SJVN25FEB105PE,0.00,0.00,0.00,7.30,0.00,7.30,110.85,5.40,0,0,0,0.00,0,F1,4725,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,148674,,SJVN,,2025-02-27,2025-02-27,97.50,CE,SJVN25FEB97.5CE,0.00,0.00,0.00,17.60,0.00,17.60,110.85,17.25,0,0,0,0.00,0,F1,4725,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,134146,,SJVN,,2025-02-27,2025-02-27,120.00,PE,SJVN25FEB120PE,0.00,0.00,0.00,14.30,0.00,14.30,110.85,13.50,0,0,0,0.00,0,F1,4725,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,148724,,SJVN,,2025-03-27,2025-03-27,125.00,CE,SJVN25MAR125CE,0.00,0.00,0.00,7.80,0.00,7.80,110.85,6.10,0,0,0,0.00,0,F1,4725,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,133354,,SJVN,,2025-01-30,2025-01-30,100.00,PE,SJVN25JAN100PE,1.60,1.85,1.05,1.15,1.10,2.05,110.85,1.15,2291625,1535625,1333,637579687.50,883,F1,4725,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,133995,,SJVN,,2025-02-27,2025-02-27,100.00,CE,SJVN25FEB100CE,0.00,0.00,0.00,25.30,0.00,25.30,110.85,15.50,0,0,0,0.00,0,F1,4725,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,133365,,SJVN,,2025-01-30,2025-01-30,115.00,CE,SJVN25JAN115CE,1.95,3.60,1.65,2.95,3.00,1.20,110.85,2.95,3099600,1512000,5357,2985346428.75,4015,F1,4725,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,133366,,SJVN,,2025-01-30,2025-01-30,115.00,PE,SJVN25JAN115PE,9.20,9.40,6.45,6.70,6.70,11.25,110.85,6.70,486675,222075,120,69359692.50,113,F1,4725,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,133581,,SJVN,,2025-01-30,2025-01-30,125.00,CE,SJVN25JAN125CE,0.75,1.15,0.50,0.95,0.95,0.40,110.85,0.95,2093175,1615950,2074,1234193388.75,1455,F1,4725,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,148725,,SJVN,,2025-03-27,2025-03-27,125.00,PE,SJVN25MAR125PE,0.00,0.00,0.00,21.70,0.00,21.70,110.85,18.35,0,0,0,0.00,0,F1,4725,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,133364,,SJVN,,2025-01-30,2025-01-30,112.50,PE,SJVN25JAN112.5PE,6.75,6.75,5.00,5.30,5.15,8.85,110.85,5.30,633150,477225,372,207446400.00,317,F1,4725,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,148681,,SJVN,,2025-02-27,2025-02-27,112.50,PE,SJVN25FEB112.5PE,0.00,0.00,0.00,11.95,0.00,11.95,110.85,8.95,0,0,0,0.00,0,F1,4725,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,148680,,SJVN,,2025-02-27,2025-02-27,112.50,CE,SJVN25FEB112.5CE,0.00,0.00,0.00,9.75,0.00,9.75,110.85,8.50,0,0,0,0.00,0,F1,4725,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,133493,,SJVN,,2025-01-30,2025-01-30,120.00,CE,SJVN25JAN120CE,0.95,2.05,0.85,1.65,1.70,0.70,110.85,1.65,2783025,-61425,3820,2194794393.75,2904,F1,4725,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,133363,,SJVN,,2025-01-30,2025-01-30,112.50,CE,SJVN25JAN112.5CE,2.60,4.65,2.30,3.95,4.00,1.70,110.85,3.95,1219050,940275,2806,1543735698.75,2336,F1,4725,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,133629,,SJVN,,2025-01-30,2025-01-30,130.00,CE,SJVN25JAN130CE,0.30,0.70,0.30,0.55,0.50,0.25,110.85,0.55,1233225,708750,667,411393937.50,458,F1,4725,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,133355,,SJVN,,2025-01-30,2025-01-30,102.50,CE,SJVN25JAN102.5CE,7.40,10.85,7.40,10.20,10.20,5.70,110.85,10.20,61425,-61425,40,21141776.25,31,F1,4725,,,,,
2025-01-01,2025-01-01,FO,NSE,STO,134145,,SJVN,,2025-02-27,2025-02-27,120.00,CE,SJVN25FEB120CE,3.10,3.90,3.10,3.80,3.80,1.80,110.85,5.60,80325,4725,5,2916506.25,5,F1,4725,,,,,
