TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-01-02,2025-01-02,FO,NSE,STO,63899,,ABBOTINDIA,,2025-02-27,2025-02-27,32250.00,PE,ABBOTINDIA25FEB32250PE,0.00,0.00,0.00,3513.90,0.00,3513.90,29956.70,2308.65,0,0,0,0.00,0,F1,20,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,58322,,ABBOTINDIA,,2025-01-30,2025-01-30,32250.00,CE,ABBOTINDIA25JAN32250CE,0.00,0.00,0.00,118.00,0.00,118.00,29956.70,118.05,0,0,0,0.00,0,F1,20,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,58274,,ABBOTINDIA,,2025-01-30,2025-01-30,26750.00,PE,ABBOTINDIA25JAN26750PE,0.00,0.00,0.00,741.25,0.00,741.25,29956.70,15.70,0,0,0,0.00,0,F1,20,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,58306,,ABBOTINDIA,,2025-01-30,2025-01-30,30250.00,PE,ABBOTINDIA25JAN30250PE,0.00,0.00,0.00,2861.20,0.00,2861.20,29956.70,791.00,0,0,0,0.00,0,F1,20,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,63849,,ABBOTINDIA,,2025-02-27,2025-02-27,30250.00,CE,ABBOTINDIA25FEB30250CE,0.00,0.00,0.00,710.35,0.00,710.35,29956.70,1025.25,0,0,0,0.00,0,F1,20,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,58441,,ABBOTINDIA,,2025-02-27,2025-02-27,26500.00,PE,ABBOTINDIA25FEB26500PE,0.00,0.00,0.00,809.65,0.00,809.65,29956.70,60.40,0,0,0,0.00,0,F1,20,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,68771,,ABBOTINDIA,,2025-01-30,2025-01-30,29000.00,PE,ABBOTINDIA25JAN29000PE,383.45,393.10,305.00,325.00,325.00,329.15,29956.70,285.95,1220,100,24,14091546.00,21,F1,20,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,68752,,ABBOTINDIA,,2025-01-30,2025-01-30,25000.00,PE,ABBOTINDIA25JAN25000PE,0.00,0.00,0.00,166.95,0.00,166.95,29956.70,0.45,0,0,0,0.00,0,F1,20,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,58434,,ABBOTINDIA,,2025-02-27,2025-02-27,25000.00,CE,ABBOTINDIA25FEB25000CE,0.00,0.00,0.00,3207.30,0.00,3207.30,29956.70,5224.10,0,0,0,0.00,0,F1,20,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,58435,,ABBOTINDIA,,2025-02-27,2025-02-27,25000.00,PE,ABBOTINDIA25FEB25000PE,0.00,0.00,0.00,378.10,0.00,378.10,29956.70,9.85,0,0,0,0.00,0,F1,20,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,63888,,ABBOTINDIA,,2025-02-27,2025-02-27,31750.00,CE,ABBOTINDIA25FEB31750CE,0.00,0.00,0.00,345.15,0.00,345.15,29956.70,468.05,0,0,0,0.00,0,F1,20,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,58454,,ABBOTINDIA,,2025-02-27,2025-02-27,29000.00,CE,ABBOTINDIA25FEB29000CE,0.00,0.00,0.00,963.45,0.00,963.45,29956.70,1746.10,0,0,0,0.00,0,F1,20,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,68756,,ABBOTINDIA,,2025-01-30,2025-01-30,26000.00,PE,ABBOTINDIA25JAN26000PE,25.00,25.00,25.00,25.00,25.00,60.00,29956.70,4.00,320,0,1,520500.00,1,F1,20,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,58452,,ABBOTINDIA,,2025-02-27,2025-02-27,28500.00,PE,ABBOTINDIA25FEB28500PE,0.00,0.00,0.00,1758.55,0.00,1758.55,29956.70,348.50,0,0,0,0.00,0,F1,20,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,68769,,ABBOTINDIA,,2025-01-30,2025-01-30,28500.00,PE,ABBOTINDIA25JAN28500PE,0.00,0.00,0.00,300.00,300.00,300.00,29956.70,171.30,20,0,0,0.00,0,F1,20,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,58451,,ABBOTINDIA,,2025-02-27,2025-02-27,28500.00,CE,ABBOTINDIA25FEB28500CE,0.00,0.00,0.00,1150.90,0.00,1150.90,29956.70,2098.85,0,0,0,0.00,0,F1,20,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,58445,,ABBOTINDIA,,2025-02-27,2025-02-27,27500.00,PE,ABBOTINDIA25FEB27500PE,0.00,0.00,0.00,1229.75,0.00,1229.75,29956.70,157.70,0,0,0,0.00,0,F1,20,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,68763,,ABBOTINDIA,,2025-01-30,2025-01-30,27500.00,PE,ABBOTINDIA25JAN27500PE,0.00,0.00,0.00,109.10,109.10,109.10,29956.70,49.45,520,0,0,0.00,0,F1,20,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,58456,,ABBOTINDIA,,2025-02-27,2025-02-27,29500.00,CE,ABBOTINDIA25FEB29500CE,0.00,0.00,0.00,800.25,0.00,800.25,29956.70,1429.25,0,0,0,0.00,0,F1,20,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,68773,,ABBOTINDIA,,2025-01-30,2025-01-30,29500.00,PE,ABBOTINDIA25JAN29500PE,489.60,489.60,489.60,489.60,489.60,489.60,29956.70,489.60,680,0,1,599792.00,1,F1,20,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,58448,,ABBOTINDIA,,2025-02-27,2025-02-27,28000.00,CE,ABBOTINDIA25FEB28000CE,0.00,0.00,0.00,1500.00,1500.00,1500.00,29956.70,2484.15,20,0,0,0.00,0,F1,20,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,58450,,ABBOTINDIA,,2025-02-27,2025-02-27,28000.00,PE,ABBOTINDIA25FEB28000PE,0.00,0.00,0.00,450.00,450.00,450.00,29956.70,238.95,20,0,0,0.00,0,F1,20,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,68765,,ABBOTINDIA,,2025-01-30,2025-01-30,28000.00,PE,ABBOTINDIA25JAN28000PE,146.00,197.95,132.55,133.85,137.65,156.00,29956.70,133.85,2540,420,112,63064798.00,97,F1,20,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,58455,,ABBOTINDIA,,2025-02-27,2025-02-27,29000.00,PE,ABBOTINDIA25FEB29000PE,0.00,0.00,0.00,1400.00,1400.00,1400.00,29956.70,490.65,20,0,0,0.00,0,F1,20,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,58279,,ABBOTINDIA,,2025-01-30,2025-01-30,27750.00,PE,ABBOTINDIA25JAN27750PE,0.00,0.00,0.00,1193.25,0.00,1193.25,29956.70,69.50,0,0,0,0.00,0,F1,20,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,58309,,ABBOTINDIA,,2025-01-30,2025-01-30,30750.00,PE,ABBOTINDIA25JAN30750PE,0.00,0.00,0.00,3268.60,0.00,3268.60,29956.70,1087.25,0,0,0,0.00,0,F1,20,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,63857,,ABBOTINDIA,,2025-02-27,2025-02-27,30750.00,PE,ABBOTINDIA25FEB30750PE,0.00,0.00,0.00,2332.00,0.00,2332.00,29956.70,1280.20,0,0,0,0.00,0,F1,20,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,63851,,ABBOTINDIA,,2025-02-27,2025-02-27,30750.00,CE,ABBOTINDIA25FEB30750CE,0.00,0.00,0.00,564.50,0.00,564.50,29956.70,803.75,0,0,0,0.00,0,F1,20,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,58313,,ABBOTINDIA,,2025-01-30,2025-01-30,31250.00,PE,ABBOTINDIA25JAN31250PE,0.00,0.00,0.00,3693.75,0.00,3693.75,29956.70,1433.20,0,0,0,0.00,0,F1,20,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,58312,,ABBOTINDIA,,2025-01-30,2025-01-30,31250.00,CE,ABBOTINDIA25JAN31250CE,0.00,0.00,0.00,254.25,254.25,254.25,29956.70,301.30,80,0,0,0.00,0,F1,20,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,63896,,ABBOTINDIA,,2025-02-27,2025-02-27,32250.00,CE,ABBOTINDIA25FEB32250CE,0.00,0.00,0.00,265.25,0.00,265.25,29956.70,347.60,0,0,0,0.00,0,F1,20,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,58273,,ABBOTINDIA,,2025-01-30,2025-01-30,26750.00,CE,ABBOTINDIA25JAN26750CE,0.00,0.00,0.00,1704.50,0.00,1704.50,29956.70,3360.55,0,0,0,0.00,0,F1,20,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,58471,,ABBOTINDIA,,2025-02-27,2025-02-27,31500.00,PE,ABBOTINDIA25FEB31500PE,0.00,0.00,0.00,3907.45,0.00,3907.45,29956.70,1758.20,0,0,0,0.00,0,F1,20,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,68786,,ABBOTINDIA,,2025-01-30,2025-01-30,31500.00,CE,ABBOTINDIA25JAN31500CE,300.00,300.00,300.00,300.00,300.00,300.00,29956.70,242.10,200,0,1,636000.00,1,F1,20,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,58470,,ABBOTINDIA,,2025-02-27,2025-02-27,31500.00,CE,ABBOTINDIA25FEB31500CE,0.00,0.00,0.00,353.85,0.00,353.85,29956.70,539.45,0,0,0,0.00,0,F1,20,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,68787,,ABBOTINDIA,,2025-01-30,2025-01-30,31500.00,PE,ABBOTINDIA25JAN31500PE,0.00,0.00,0.00,2722.00,0.00,2722.00,29956.70,1622.70,0,0,0,0.00,0,F1,20,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,58281,,ABBOTINDIA,,2025-01-30,2025-01-30,28250.00,PE,ABBOTINDIA25JAN28250PE,0.00,0.00,0.00,205.15,205.15,205.15,29956.70,129.20,40,0,0,0.00,0,F1,20,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,58480,,ABBOTINDIA,,2025-02-27,2025-02-27,32500.00,PE,ABBOTINDIA25FEB32500PE,0.00,0.00,0.00,4760.80,0.00,4760.80,29956.70,2506.00,0,0,0,0.00,0,F1,20,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,58479,,ABBOTINDIA,,2025-02-27,2025-02-27,32500.00,CE,ABBOTINDIA25FEB32500CE,0.00,0.00,0.00,225.25,0.00,225.25,29956.70,297.50,0,0,0,0.00,0,F1,20,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,68796,,ABBOTINDIA,,2025-01-30,2025-01-30,32500.00,CE,ABBOTINDIA25JAN32500CE,125.00,150.00,113.55,120.75,113.55,143.35,29956.70,120.75,2220,80,10,6526866.00,7,F1,20,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,68799,,ABBOTINDIA,,2025-01-30,2025-01-30,32500.00,PE,ABBOTINDIA25JAN32500PE,0.00,0.00,0.00,3462.85,0.00,3462.85,29956.70,2466.50,0,0,0,0.00,0,F1,20,,,,,
