TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-01-02,2025-01-02,FO,NSE,STO,84716,,BATAINDIA,,2025-02-27,2025-02-27,1270.00,CE,BATAINDIA25FEB1270CE,0.00,0.00,0.00,115.55,0.00,115.55,1421.55,167.90,0,0,0,0.00,0,F1,375,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,66355,,BATAINDIA,,2025-02-27,2025-02-27,1440.00,CE,BATAINDIA25FEB1440CE,0.00,0.00,0.00,46.00,0.00,46.00,1421.55,45.00,0,0,0,0.00,0,F1,375,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,84721,,BATAINDIA,,2025-02-27,2025-02-27,1310.00,PE,BATAINDIA25FEB1310PE,0.00,0.00,0.00,31.20,0.00,31.20,1421.55,7.40,0,0,0,0.00,0,F1,375,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,66183,,BATAINDIA,,2025-01-30,2025-01-30,1310.00,CE,BATAINDIA25JAN1310CE,0.00,0.00,0.00,66.25,66.25,66.25,1421.55,120.70,3375,0,0,0.00,0,F1,375,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,66322,,BATAINDIA,,2025-02-27,2025-02-27,1260.00,PE,BATAINDIA25FEB1260PE,0.00,0.00,0.00,20.35,0.00,20.35,1421.55,2.60,0,0,0,0.00,0,F1,375,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,78610,,BATAINDIA,,2025-01-30,2025-01-30,1160.00,PE,BATAINDIA25JAN1160PE,0.00,0.00,0.00,0.75,0.75,0.75,1421.55,0.05,34500,0,0,0.00,0,F1,375,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,66281,,BATAINDIA,,2025-02-27,2025-02-27,1160.00,PE,BATAINDIA25FEB1160PE,0.00,0.00,0.00,5.25,0.00,5.25,1421.55,0.15,0,0,0,0.00,0,F1,375,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,66377,,BATAINDIA,,2025-02-27,2025-02-27,1600.00,CE,BATAINDIA25FEB1600CE,0.00,0.00,0.00,11.40,0.00,11.40,1421.55,5.55,0,0,0,0.00,0,F1,375,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,66360,,BATAINDIA,,2025-02-27,2025-02-27,1480.00,PE,BATAINDIA25FEB1480PE,0.00,0.00,0.00,124.55,0.00,124.55,1421.55,72.15,0,0,0,0.00,0,F1,375,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,78774,,BATAINDIA,,2025-01-30,2025-01-30,1600.00,PE,BATAINDIA25JAN1600PE,0.00,0.00,0.00,214.65,214.65,214.65,1421.55,171.05,375,0,0,0.00,0,F1,375,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,66380,,BATAINDIA,,2025-02-27,2025-02-27,1620.00,PE,BATAINDIA25FEB1620PE,0.00,0.00,0.00,237.90,0.00,237.90,1421.55,185.75,0,0,0,0.00,0,F1,375,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,78640,,BATAINDIA,,2025-01-30,2025-01-30,1460.00,PE,BATAINDIA25JAN1460PE,52.00,52.00,51.75,51.75,51.75,119.00,1421.55,51.10,2625,750,5,2834906.25,3,F1,375,,,,,
