TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-01-02,2025-01-02,FO,NSE,STO,83469,,CANFINHOME,,2025-01-30,2025-01-30,740.00,CE,CANFINHOME25JAN740CE,20.70,22.70,15.10,20.65,20.20,21.45,729.45,20.65,288600,78975,689,509959125.00,602,F1,975,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,83470,,CANFINHOME,,2025-01-30,2025-01-30,740.00,PE,CANFINHOME25JAN740PE,29.30,35.00,23.95,25.65,25.50,27.75,729.45,25.65,117975,20475,240,179953946.25,204,F1,975,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,70585,,CANFINHOME,,2025-01-30,2025-01-30,790.00,PE,CANFINHOME25JAN790PE,0.00,0.00,0.00,43.30,43.30,43.30,729.45,64.10,17550,0,0,0.00,0,F1,975,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,70660,,CANFINHOME,,2025-02-27,2025-02-27,620.00,PE,CANFINHOME25FEB620PE,0.00,0.00,0.00,3.60,0.00,3.60,729.45,3.30,0,0,0,0.00,0,F1,975,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,70685,,CANFINHOME,,2025-02-27,2025-02-27,840.00,CE,CANFINHOME25FEB840CE,0.00,0.00,0.00,62.10,0.00,62.10,729.45,7.65,0,0,0,0.00,0,F1,975,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,91478,,CANFINHOME,,2025-02-27,2025-02-27,670.00,CE,CANFINHOME25FEB670CE,0.00,0.00,0.00,82.10,0.00,82.10,729.45,77.75,0,0,0,0.00,0,F1,975,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,83472,,CANFINHOME,,2025-01-30,2025-01-30,760.00,PE,CANFINHOME25JAN760PE,36.60,48.40,36.60,37.35,37.35,40.05,729.45,41.90,126750,-2925,56,43781985.00,51,F1,975,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,70575,,CANFINHOME,,2025-01-30,2025-01-30,710.00,PE,CANFINHOME25JAN710PE,14.00,18.95,12.25,12.60,12.80,14.70,729.45,12.60,92625,-4875,173,122343195.00,142,F1,975,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,91483,,CANFINHOME,,2025-02-27,2025-02-27,710.00,PE,CANFINHOME25FEB710PE,0.00,0.00,0.00,34.85,0.00,34.85,729.45,24.25,0,0,0,0.00,0,F1,975,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,91493,,CANFINHOME,,2025-02-27,2025-02-27,810.00,PE,CANFINHOME25FEB810PE,0.00,0.00,0.00,95.65,0.00,95.65,729.45,84.95,0,0,0,0.00,0,F1,975,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,70587,,CANFINHOME,,2025-01-30,2025-01-30,810.00,PE,CANFINHOME25JAN810PE,0.00,0.00,0.00,41.85,0.00,41.85,729.45,80.95,0,0,0,0.00,0,F1,975,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,83453,,CANFINHOME,,2025-01-30,2025-01-30,640.00,CE,CANFINHOME25JAN640CE,0.00,0.00,0.00,242.70,0.00,242.70,729.45,94.45,0,0,0,0.00,0,F1,975,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,70664,,CANFINHOME,,2025-02-27,2025-02-27,640.00,PE,CANFINHOME25FEB640PE,0.00,0.00,0.00,5.30,0.00,5.30,729.45,5.70,0,0,0,0.00,0,F1,975,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,83457,,CANFINHOME,,2025-01-30,2025-01-30,660.00,CE,CANFINHOME25JAN660CE,0.00,0.00,0.00,102.00,102.00,102.00,729.45,76.50,1950,0,0,0.00,0,F1,975,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,83471,,CANFINHOME,,2025-01-30,2025-01-30,760.00,CE,CANFINHOME25JAN760CE,11.95,14.20,9.10,12.75,12.55,13.45,729.45,12.75,230100,-38025,469,352787321.25,420,F1,975,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,91481,,CANFINHOME,,2025-02-27,2025-02-27,690.00,PE,CANFINHOME25FEB690PE,0.00,0.00,0.00,26.65,0.00,26.65,729.45,17.05,0,0,0,0.00,0,F1,975,,,,,
