TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-01-02,2025-01-02,FO,NSE,STO,83848,,CHAMBLFERT,,2025-01-30,2025-01-30,540.00,CE,CHAMBLFERT25JAN540CE,6.75,6.85,4.80,5.45,5.65,6.15,506.30,5.45,799900,412300,720,746341945.00,590,F1,1900,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,93400,,CHAMBLFERT,,2025-03-27,2025-03-27,400.00,PE,CHAMBLFERT25MAR400PE,0.00,0.00,0.00,10.05,0.00,10.05,506.30,4.50,0,0,0,0.00,0,F1,1900,,,,,
2025-01-02,2025-01-02,FO,NSE,STF,35428,,CHAMBLFERT,,2025-03-27,2025-03-27,,,CHAMBLFERT25MARFUT,506.00,511.00,502.75,510.45,511.00,501.30,506.30,510.45,20900,1900,5,4815740.00,5,F1,1900,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,93343,,CHAMBLFERT,,2025-02-27,2025-02-27,550.00,CE,CHAMBLFERT25FEB550CE,9.75,10.05,9.50,10.05,10.05,11.90,506.30,18.60,11400,5700,4,4254195.00,4,F1,1900,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,93308,,CHAMBLFERT,,2025-02-27,2025-02-27,450.00,CE,CHAMBLFERT25FEB450CE,0.00,0.00,0.00,73.65,0.00,73.65,506.30,70.55,0,0,0,0.00,0,F1,1900,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,83843,,CHAMBLFERT,,2025-01-30,2025-01-30,480.00,PE,CHAMBLFERT25JAN480PE,7.00,8.20,5.10,5.60,5.15,7.10,506.30,5.60,444600,15200,299,276469855.00,275,F1,1900,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,83838,,CHAMBLFERT,,2025-01-30,2025-01-30,480.00,CE,CHAMBLFERT25JAN480CE,32.10,35.50,29.50,34.95,35.50,33.55,506.30,34.95,87400,0,30,29265795.00,28,F1,1900,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,93428,,CHAMBLFERT,,2025-03-27,2025-03-27,480.00,CE,CHAMBLFERT25MAR480CE,0.00,0.00,0.00,64.70,0.00,64.70,506.30,58.25,0,0,0,0.00,0,F1,1900,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,83837,,CHAMBLFERT,,2025-01-30,2025-01-30,460.00,PE,CHAMBLFERT25JAN460PE,2.95,3.55,2.05,2.20,2.05,3.10,506.30,2.20,292600,-26600,206,181119970.00,183,F1,1900,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,93392,,CHAMBLFERT,,2025-03-27,2025-03-27,400.00,CE,CHAMBLFERT25MAR400CE,0.00,0.00,0.00,117.65,0.00,117.65,506.30,116.95,0,0,0,0.00,0,F1,1900,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,72904,,CHAMBLFERT,,2025-02-27,2025-02-27,520.00,PE,CHAMBLFERT25FEB520PE,0.00,0.00,0.00,58.65,0.00,58.65,506.30,37.70,0,0,0,0.00,0,F1,1900,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,83846,,CHAMBLFERT,,2025-01-30,2025-01-30,520.00,CE,CHAMBLFERT25JAN520CE,12.95,13.15,9.65,11.65,11.75,11.95,506.30,11.65,630800,-13300,551,556386215.00,509,F1,1900,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,83855,,CHAMBLFERT,,2025-01-30,2025-01-30,580.00,CE,CHAMBLFERT25JAN580CE,1.40,1.45,0.90,1.05,1.05,1.35,506.30,1.05,549100,123500,497,548724275.00,386,F1,1900,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,72840,,CHAMBLFERT,,2025-01-30,2025-01-30,530.00,CE,CHAMBLFERT25JAN530CE,9.20,9.65,6.80,8.10,8.20,8.70,506.30,8.10,556700,60800,473,483594365.00,421,F1,1900,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,93330,,CHAMBLFERT,,2025-02-27,2025-02-27,490.00,PE,CHAMBLFERT25FEB490PE,0.00,0.00,0.00,33.40,0.00,33.40,506.30,22.80,0,0,0,0.00,0,F1,1900,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,93457,,CHAMBLFERT,,2025-03-27,2025-03-27,600.00,PE,CHAMBLFERT25MAR600PE,0.00,0.00,0.00,110.10,0.00,110.10,506.30,98.35,0,0,0,0.00,0,F1,1900,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,83824,,CHAMBLFERT,,2025-01-30,2025-01-30,420.00,CE,CHAMBLFERT25JAN420CE,0.00,0.00,0.00,90.45,0.00,90.45,506.30,89.55,0,0,0,0.00,0,F1,1900,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,83945,,CHAMBLFERT,,2025-01-30,2025-01-30,620.00,CE,CHAMBLFERT25JAN620CE,0.35,0.40,0.20,0.40,0.35,0.35,506.30,0.40,20900,5700,12,14143315.00,12,F1,1900,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,93443,,CHAMBLFERT,,2025-03-27,2025-03-27,560.00,PE,CHAMBLFERT25MAR560PE,0.00,0.00,0.00,81.10,0.00,81.10,506.30,68.55,0,0,0,0.00,0,F1,1900,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,83943,,CHAMBLFERT,,2025-01-30,2025-01-30,600.00,CE,CHAMBLFERT25JAN600CE,0.75,0.80,0.50,0.65,0.65,0.80,506.30,0.65,319200,22800,72,82174525.00,70,F1,1900,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,72834,,CHAMBLFERT,,2025-01-30,2025-01-30,470.00,CE,CHAMBLFERT25JAN470CE,38.05,38.05,37.80,37.85,37.85,40.60,506.30,46.95,15200,1900,3,2895030.00,3,F1,1900,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,83826,,CHAMBLFERT,,2025-01-30,2025-01-30,440.00,CE,CHAMBLFERT25JAN440CE,0.00,0.00,0.00,77.65,0.00,77.65,506.30,71.30,0,0,0,0.00,0,F1,1900,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,83827,,CHAMBLFERT,,2025-01-30,2025-01-30,440.00,PE,CHAMBLFERT25JAN440PE,1.05,1.35,0.90,0.90,0.90,1.20,506.30,0.90,201400,39900,195,163438285.00,158,F1,1900,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,83942,,CHAMBLFERT,,2025-01-30,2025-01-30,580.00,PE,CHAMBLFERT25JAN580PE,0.00,0.00,0.00,108.05,0.00,108.05,506.30,74.75,0,0,0,0.00,0,F1,1900,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,72905,,CHAMBLFERT,,2025-02-27,2025-02-27,540.00,CE,CHAMBLFERT25FEB540CE,13.10,13.10,13.10,13.10,13.10,38.50,506.30,13.10,1900,1900,1,1050890.00,1,F1,1900,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,72897,,CHAMBLFERT,,2025-02-27,2025-02-27,460.00,CE,CHAMBLFERT25FEB460CE,0.00,0.00,0.00,75.60,0.00,75.60,506.30,63.30,0,0,0,0.00,0,F1,1900,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,83828,,CHAMBLFERT,,2025-01-30,2025-01-30,460.00,CE,CHAMBLFERT25JAN460CE,47.65,51.45,47.65,51.45,51.45,48.75,506.30,51.45,9500,0,3,2901870.00,3,F1,1900,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,72835,,CHAMBLFERT,,2025-01-30,2025-01-30,470.00,PE,CHAMBLFERT25JAN470PE,4.55,5.55,3.30,3.50,3.30,4.75,506.30,3.50,134900,11400,84,75708825.00,74,F1,1900,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,72850,,CHAMBLFERT,,2025-01-30,2025-01-30,590.00,CE,CHAMBLFERT25JAN590CE,0.95,0.95,0.65,0.70,0.65,0.95,506.30,0.70,197600,-3800,25,28063285.00,25,F1,1900,,,,,
