TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-01-02,2025-01-02,FO,NSE,STO,81004,,ESCORTS,,2025-02-27,2025-02-27,3500.00,CE,ESCORTS25FEB3500CE,0.00,0.00,0.00,281.90,0.00,281.90,3352.05,104.30,0,0,0,0.00,0,F1,150,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,106612,,ESCORTS,,2025-03-27,2025-03-27,3400.00,PE,ESCORTS25MAR3400PE,0.00,0.00,0.00,329.10,0.00,329.10,3352.05,182.90,0,0,0,0.00,0,F1,150,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,91677,,ESCORTS,,2025-01-30,2025-01-30,3600.00,CE,ESCORTS25JAN3600CE,17.15,27.75,14.00,22.65,21.00,15.70,3352.05,22.65,60900,-1200,954,518078347.50,638,F1,150,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,106411,,ESCORTS,,2025-02-27,2025-02-27,2950.00,CE,ESCORTS25FEB2950CE,0.00,0.00,0.00,317.80,0.00,317.80,3352.05,451.50,0,0,0,0.00,0,F1,150,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,106412,,ESCORTS,,2025-02-27,2025-02-27,2950.00,PE,ESCORTS25FEB2950PE,0.00,0.00,0.00,79.70,0.00,79.70,3352.05,19.05,0,0,0,0.00,0,F1,150,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,106607,,ESCORTS,,2025-03-27,2025-03-27,3200.00,CE,ESCORTS25MAR3200CE,0.00,0.00,0.00,220.70,0.00,220.70,3352.05,298.00,0,0,0,0.00,0,F1,150,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,80847,,ESCORTS,,2025-01-30,2025-01-30,3350.00,CE,ESCORTS25JAN3350CE,80.25,114.70,67.60,105.50,102.50,78.90,3352.05,105.50,43350,3900,2957,1528574647.50,2488,F1,150,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,106420,,ESCORTS,,2025-02-27,2025-02-27,3350.00,PE,ESCORTS25FEB3350PE,0.00,0.00,0.00,273.65,0.00,273.65,3352.05,132.90,0,0,0,0.00,0,F1,150,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,106594,,ESCORTS,,2025-03-27,2025-03-27,2600.00,PE,ESCORTS25MAR2600PE,0.00,0.00,0.00,26.35,0.00,26.35,3352.05,4.00,0,0,0,0.00,0,F1,150,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,80991,,ESCORTS,,2025-02-27,2025-02-27,2800.00,PE,ESCORTS25FEB2800PE,0.00,0.00,0.00,19.75,0.00,19.75,3352.05,6.60,0,0,0,0.00,0,F1,150,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,106616,,ESCORTS,,2025-03-27,2025-03-27,3600.00,PE,ESCORTS25MAR3600PE,0.00,0.00,0.00,470.90,0.00,470.90,3352.05,302.00,0,0,0,0.00,0,F1,150,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,106608,,ESCORTS,,2025-03-27,2025-03-27,3200.00,PE,ESCORTS25MAR3200PE,0.00,0.00,0.00,211.85,0.00,211.85,3352.05,96.60,0,0,0,0.00,0,F1,150,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,106606,,ESCORTS,,2025-03-27,2025-03-27,3100.00,PE,ESCORTS25MAR3100PE,0.00,0.00,0.00,163.60,0.00,163.60,3352.05,65.90,0,0,0,0.00,0,F1,150,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,91667,,ESCORTS,,2025-01-30,2025-01-30,3100.00,CE,ESCORTS25JAN3100CE,256.05,256.05,256.05,256.05,256.05,200.00,3352.05,287.85,6300,0,1,503407.50,1,F1,150,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,91668,,ESCORTS,,2025-01-30,2025-01-30,3100.00,PE,ESCORTS25JAN3100PE,26.00,26.00,15.20,17.25,18.00,27.25,3352.05,17.25,61500,-5700,366,171286140.00,293,F1,150,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,80846,,ESCORTS,,2025-01-30,2025-01-30,3250.00,PE,ESCORTS25JAN3250PE,65.55,66.05,41.40,46.10,48.95,68.50,3352.05,46.10,33900,-1350,460,227818372.50,406,F1,150,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,80851,,ESCORTS,,2025-01-30,2025-01-30,3450.00,CE,ESCORTS25JAN3450CE,45.65,67.00,39.85,61.40,59.35,43.45,3352.05,61.40,20250,150,338,177617047.50,306,F1,150,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,81011,,ESCORTS,,2025-02-27,2025-02-27,3800.00,PE,ESCORTS25FEB3800PE,0.00,0.00,0.00,375.85,0.00,375.85,3352.05,441.20,0,0,0,0.00,0,F1,150,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,106603,,ESCORTS,,2025-03-27,2025-03-27,3000.00,CE,ESCORTS25MAR3000CE,0.00,0.00,0.00,327.90,0.00,327.90,3352.05,441.05,0,0,0,0.00,0,F1,150,,,,,
2025-01-02,2025-01-02,FO,NSE,STF,38503,,ESCORTS,,2025-02-27,2025-02-27,,,ESCORTS25FEBFUT,3336.60,3409.25,3330.00,3394.00,3390.75,3331.35,3352.05,3394.00,31200,2700,115,58266337.50,107,F1,150,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,91670,,ESCORTS,,2025-01-30,2025-01-30,3200.00,PE,ESCORTS25JAN3200PE,49.25,49.40,29.45,33.70,36.00,51.20,3352.05,33.70,127650,-9900,1542,748905615.00,1193,F1,150,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,91686,,ESCORTS,,2025-01-30,2025-01-30,4000.00,PE,ESCORTS25JAN4000PE,0.00,0.00,0.00,792.00,810.00,792.00,3352.05,628.95,13200,0,0,0.00,0,F1,150,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,80996,,ESCORTS,,2025-02-27,2025-02-27,3100.00,CE,ESCORTS25FEB3100CE,0.00,0.00,0.00,535.35,0.00,535.35,3352.05,329.00,0,0,0,0.00,0,F1,150,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,106417,,ESCORTS,,2025-02-27,2025-02-27,3250.00,CE,ESCORTS25FEB3250CE,0.00,0.00,0.00,154.30,0.00,154.30,3352.05,225.75,0,0,0,0.00,0,F1,150,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,91672,,ESCORTS,,2025-01-30,2025-01-30,3300.00,PE,ESCORTS25JAN3300PE,89.70,89.70,56.25,61.80,65.00,89.70,3352.05,61.80,85050,9900,1287,650453670.00,1144,F1,150,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,106609,,ESCORTS,,2025-03-27,2025-03-27,3300.00,CE,ESCORTS25MAR3300CE,0.00,0.00,0.00,177.85,0.00,177.85,3352.05,238.45,0,0,0,0.00,0,F1,150,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,106427,,ESCORTS,,2025-02-27,2025-02-27,3650.00,CE,ESCORTS25FEB3650CE,0.00,0.00,0.00,45.45,0.00,45.45,3352.05,60.05,0,0,0,0.00,0,F1,150,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,106452,,ESCORTS,,2025-02-27,2025-02-27,3650.00,PE,ESCORTS25FEB3650PE,0.00,0.00,0.00,498.60,0.00,498.60,3352.05,320.40,0,0,0,0.00,0,F1,150,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,81006,,ESCORTS,,2025-02-27,2025-02-27,3600.00,CE,ESCORTS25FEB3600CE,0.00,0.00,0.00,234.40,0.00,234.40,3352.05,72.70,0,0,0,0.00,0,F1,150,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,91682,,ESCORTS,,2025-01-30,2025-01-30,3800.00,PE,ESCORTS25JAN3800PE,0.00,0.00,0.00,496.05,496.05,496.05,3352.05,436.65,8100,0,0,0.00,0,F1,150,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,91688,,ESCORTS,,2025-01-30,2025-01-30,4100.00,PE,ESCORTS25JAN4100PE,0.00,0.00,0.00,908.00,908.00,908.00,3352.05,727.45,6900,0,0,0.00,0,F1,150,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,80854,,ESCORTS,,2025-01-30,2025-01-30,3450.00,PE,ESCORTS25JAN3450PE,175.60,179.45,134.60,136.15,137.35,173.90,3352.05,136.15,1650,450,23,12405150.00,23,F1,150,,,,,
