TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-01-02,2025-01-02,FO,NSE,STO,114636,,HINDCOPPER,,2025-03-27,2025-03-27,260.00,CE,HINDCOPPER25MAR260CE,0.00,0.00,0.00,33.30,0.00,33.30,249.75,20.00,0,0,0,0.00,0,F1,2650,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,87362,,HINDCOPPER,,2025-02-27,2025-02-27,250.00,CE,HINDCOPPER25FEB250CE,0.00,0.00,0.00,47.15,0.00,47.15,249.75,19.65,0,0,0,0.00,0,F1,2650,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,87407,,HINDCOPPER,,2025-02-27,2025-02-27,280.00,PE,HINDCOPPER25FEB280PE,0.00,0.00,0.00,32.05,0.00,32.05,249.75,36.20,0,0,0,0.00,0,F1,2650,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,87406,,HINDCOPPER,,2025-02-27,2025-02-27,280.00,CE,HINDCOPPER25FEB280CE,5.50,5.50,5.50,5.50,5.50,4.50,249.75,8.80,42400,2650,1,756575.00,1,F1,2650,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,87364,,HINDCOPPER,,2025-02-27,2025-02-27,250.00,PE,HINDCOPPER25FEB250PE,0.00,0.00,0.00,17.80,0.00,17.80,249.75,17.30,0,0,0,0.00,0,F1,2650,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,87356,,HINDCOPPER,,2025-02-27,2025-02-27,240.00,CE,HINDCOPPER25FEB240CE,0.00,0.00,0.00,53.30,0.00,53.30,249.75,24.85,0,0,0,0.00,0,F1,2650,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,87318,,HINDCOPPER,,2025-01-30,2025-01-30,295.00,CE,HINDCOPPER25JAN295CE,0.95,0.95,0.70,0.70,0.70,0.85,249.75,1.90,111300,0,2,1567872.50,2,F1,2650,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,87279,,HINDCOPPER,,2025-01-30,2025-01-30,245.00,PE,HINDCOPPER25JAN245PE,7.70,7.70,5.85,6.00,6.00,7.45,249.75,6.00,267650,34450,44,29340005.00,41,F1,2650,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,98024,,HINDCOPPER,,2025-01-30,2025-01-30,320.00,CE,HINDCOPPER25JAN320CE,0.00,0.00,0.00,0.20,0.20,0.20,249.75,0.50,148400,0,0,0.00,0,F1,2650,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,114640,,HINDCOPPER,,2025-03-27,2025-03-27,280.00,CE,HINDCOPPER25MAR280CE,0.00,0.00,0.00,24.75,0.00,24.75,249.75,13.10,0,0,0,0.00,0,F1,2650,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,98014,,HINDCOPPER,,2025-01-30,2025-01-30,280.00,CE,HINDCOPPER25JAN280CE,1.80,2.20,1.60,2.00,1.90,1.85,249.75,2.00,1351500,190800,280,209176955.00,214,F1,2650,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,114632,,HINDCOPPER,,2025-03-27,2025-03-27,240.00,CE,HINDCOPPER25MAR240CE,0.00,0.00,0.00,43.95,0.00,43.95,249.75,29.45,0,0,0,0.00,0,F1,2650,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,114633,,HINDCOPPER,,2025-03-27,2025-03-27,240.00,PE,HINDCOPPER25MAR240PE,0.00,0.00,0.00,16.40,0.00,16.40,249.75,16.00,0,0,0,0.00,0,F1,2650,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,114549,,HINDCOPPER,,2025-02-27,2025-02-27,215.00,CE,HINDCOPPER25FEB215CE,0.00,0.00,0.00,56.35,0.00,56.35,249.75,41.60,0,0,0,0.00,0,F1,2650,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,114550,,HINDCOPPER,,2025-02-27,2025-02-27,215.00,PE,HINDCOPPER25FEB215PE,0.00,0.00,0.00,5.45,0.00,5.45,249.75,4.65,0,0,0,0.00,0,F1,2650,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,98020,,HINDCOPPER,,2025-01-30,2025-01-30,300.00,PE,HINDCOPPER25JAN300PE,0.00,0.00,0.00,50.00,50.00,50.00,249.75,50.15,302100,0,0,0.00,0,F1,2650,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,98006,,HINDCOPPER,,2025-01-30,2025-01-30,240.00,CE,HINDCOPPER25JAN240CE,15.00,16.00,13.80,15.80,15.85,14.35,249.75,15.80,108650,-23850,72,48688582.50,52,F1,2650,,,,,
2025-01-02,2025-01-02,FO,NSE,STF,38747,,HINDCOPPER,,2025-02-27,2025-02-27,,,HINDCOPPER25FEBFUT,250.83,253.66,249.69,253.02,252.52,250.37,249.75,253.00,1669500,704900,358,238517278.00,152,F1,2650,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,87379,,HINDCOPPER,,2025-02-27,2025-02-27,260.00,PE,HINDCOPPER25FEB260PE,18.25,18.35,17.65,17.65,17.65,18.90,249.75,17.65,15900,0,3,2210762.50,3,F1,2650,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,114637,,HINDCOPPER,,2025-03-27,2025-03-27,260.00,PE,HINDCOPPER25MAR260PE,0.00,0.00,0.00,25.40,0.00,25.40,249.75,26.20,0,0,0,0.00,0,F1,2650,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,87366,,HINDCOPPER,,2025-02-27,2025-02-27,260.00,CE,HINDCOPPER25FEB260CE,13.25,13.25,8.40,11.60,11.60,41.60,249.75,15.25,21200,21200,10,7176862.50,9,F1,2650,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,114561,,HINDCOPPER,,2025-02-27,2025-02-27,275.00,CE,HINDCOPPER25FEB275CE,0.00,0.00,0.00,21.10,0.00,21.10,249.75,10.15,0,0,0,0.00,0,F1,2650,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,87281,,HINDCOPPER,,2025-01-30,2025-01-30,255.00,PE,HINDCOPPER25JAN255PE,12.00,12.00,10.70,11.05,11.20,11.60,249.75,11.05,267650,13250,11,7755622.50,11,F1,2650,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,114557,,HINDCOPPER,,2025-02-27,2025-02-27,255.00,CE,HINDCOPPER25FEB255CE,0.00,0.00,0.00,30.25,0.00,30.25,249.75,17.35,0,0,0,0.00,0,F1,2650,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,114620,,HINDCOPPER,,2025-03-27,2025-03-27,200.00,PE,HINDCOPPER25MAR200PE,0.00,0.00,0.00,5.00,0.00,5.00,249.75,3.85,0,0,0,0.00,0,F1,2650,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,114619,,HINDCOPPER,,2025-03-27,2025-03-27,200.00,CE,HINDCOPPER25MAR200CE,0.00,0.00,0.00,71.80,0.00,71.80,249.75,56.70,0,0,0,0.00,0,F1,2650,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,87405,,HINDCOPPER,,2025-02-27,2025-02-27,270.00,PE,HINDCOPPER25FEB270PE,0.00,0.00,0.00,26.80,0.00,26.80,249.75,29.15,0,0,0,0.00,0,F1,2650,,,,,
