TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-01-02,2025-01-02,FO,NSE,STO,90715,,IGL,,2025-01-30,2025-01-30,330.00,PE,IGL25JAN330PE,0.35,0.40,0.30,0.35,0.35,0.50,425.75,0.35,537625,-20625,31,14080825.00,25,F1,1375,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,117533,,IGL,,2025-01-30,2025-01-30,355.00,CE,IGL25JAN355CE,0.00,0.00,0.00,46.35,0.00,46.35,425.75,73.50,0,0,0,0.00,0,F1,1375,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,90934,,IGL,,2025-02-27,2025-02-27,440.00,PE,IGL25FEB440PE,0.00,0.00,0.00,117.15,0.00,117.15,425.75,32.70,0,0,0,0.00,0,F1,1375,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,117925,,IGL,,2025-03-27,2025-03-27,440.00,CE,IGL25MAR440CE,0.00,0.00,0.00,22.50,0.00,22.50,425.75,30.05,0,0,0,0.00,0,F1,1375,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,100961,,IGL,,2025-01-30,2025-01-30,380.00,PE,IGL25JAN380PE,4.85,4.85,2.70,2.90,2.85,5.00,425.75,2.90,662750,48125,581,306263100.00,456,F1,1375,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,117746,,IGL,,2025-02-27,2025-02-27,405.00,PE,IGL25FEB405PE,0.00,0.00,0.00,36.85,0.00,36.85,425.75,15.85,0,0,0,0.00,0,F1,1375,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,117564,,IGL,,2025-01-30,2025-01-30,405.00,CE,IGL25JAN405CE,17.95,23.90,17.95,23.50,23.90,17.25,425.75,23.50,211750,-8250,200,117156943.75,192,F1,1375,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,117744,,IGL,,2025-02-27,2025-02-27,395.00,PE,IGL25FEB395PE,0.00,0.00,0.00,31.30,0.00,31.30,425.75,12.35,0,0,0,0.00,0,F1,1375,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,117761,,IGL,,2025-02-27,2025-02-27,455.00,CE,IGL25FEB455CE,0.00,0.00,0.00,12.30,0.00,12.30,425.75,17.45,0,0,0,0.00,0,F1,1375,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,117903,,IGL,,2025-03-27,2025-03-27,360.00,CE,IGL25MAR360CE,0.00,0.00,0.00,57.55,0.00,57.55,425.75,78.50,0,0,0,0.00,0,F1,1375,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,117751,,IGL,,2025-02-27,2025-02-27,425.00,CE,IGL25FEB425CE,0.00,0.00,0.00,20.20,0.00,20.20,425.75,29.75,0,0,0,0.00,0,F1,1375,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,100957,,IGL,,2025-01-30,2025-01-30,360.00,PE,IGL25JAN360PE,1.65,1.65,1.10,1.20,1.20,2.15,425.75,1.20,398750,-48125,220,109300675.00,180,F1,1375,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,90823,,IGL,,2025-02-27,2025-02-27,360.00,CE,IGL25FEB360CE,0.00,0.00,0.00,18.15,0.00,18.15,425.75,73.65,0,0,0,0.00,0,F1,1375,,,,,
2025-01-02,2025-01-02,FO,NSE,STF,41038,,IGL,,2025-01-30,2025-01-30,,,IGL25JANFUT,408.05,421.25,408.05,420.00,419.80,409.05,425.75,420.00,22181500,269500,5438,3118320356.25,4460,F1,1375,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,117758,,IGL,,2025-02-27,2025-02-27,445.00,PE,IGL25FEB445PE,0.00,0.00,0.00,63.50,0.00,63.50,425.75,35.65,0,0,0,0.00,0,F1,1375,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,117600,,IGL,,2025-01-30,2025-01-30,445.00,CE,IGL25JAN445CE,4.50,6.35,4.50,6.05,6.05,4.20,425.75,6.05,290125,68750,301,186488500.00,284,F1,1375,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,100937,,IGL,,2025-01-30,2025-01-30,320.00,PE,IGL25JAN320PE,0.30,0.30,0.25,0.30,0.30,0.40,425.75,0.05,342375,-31625,42,18496637.50,27,F1,1375,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,38100,,IGL,,2025-01-30,2025-01-30,490.00,PE,IGL25JAN490PE,0.00,0.00,0.00,141.95,0.00,141.95,425.75,64.65,0,0,0,0.00,0,F1,1375,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,117608,,IGL,,2025-01-30,2025-01-30,485.00,CE,IGL25JAN485CE,0.00,0.00,0.00,2.50,0.00,2.50,425.75,3.50,0,0,0,0.00,0,F1,1375,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,117769,,IGL,,2025-02-27,2025-02-27,485.00,CE,IGL25FEB485CE,0.00,0.00,0.00,7.25,0.00,7.25,425.75,9.55,0,0,0,0.00,0,F1,1375,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,90722,,IGL,,2025-01-30,2025-01-30,410.00,CE,IGL25JAN410CE,14.85,20.90,14.80,20.00,20.05,14.85,425.75,20.00,899250,-228250,1123,661400850.00,1012,F1,1375,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,117916,,IGL,,2025-03-27,2025-03-27,410.00,PE,IGL25MAR410PE,0.00,0.00,0.00,44.80,0.00,44.80,425.75,22.65,0,0,0,0.00,0,F1,1375,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,90828,,IGL,,2025-02-27,2025-02-27,400.00,CE,IGL25FEB400CE,32.35,33.25,32.35,33.10,33.25,28.50,425.75,33.10,22000,1375,3,1785437.50,3,F1,1375,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,117857,,IGL,,2025-03-27,2025-03-27,340.00,CE,IGL25MAR340CE,0.00,0.00,0.00,70.45,0.00,70.45,425.75,94.95,0,0,0,0.00,0,F1,1375,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,100942,,IGL,,2025-01-30,2025-01-30,340.00,PE,IGL25JAN340PE,0.60,0.60,0.40,0.50,0.50,0.75,425.75,0.50,364375,-5500,20,9364643.75,19,F1,1375,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,90821,,IGL,,2025-02-27,2025-02-27,340.00,CE,IGL25FEB340CE,0.00,0.00,0.00,26.00,26.00,26.00,425.75,91.20,1375,0,0,0.00,0,F1,1375,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,117596,,IGL,,2025-01-30,2025-01-30,425.00,CE,IGL25JAN425CE,8.85,13.05,8.85,12.40,12.45,8.95,425.75,12.40,334125,152625,894,536884287.50,737,F1,1375,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,117764,,IGL,,2025-02-27,2025-02-27,465.00,PE,IGL25FEB465PE,0.00,0.00,0.00,79.00,0.00,79.00,425.75,48.85,0,0,0,0.00,0,F1,1375,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,117900,,IGL,,2025-03-27,2025-03-27,340.00,PE,IGL25MAR340PE,0.00,0.00,0.00,13.80,0.00,13.80,425.75,3.95,0,0,0,0.00,0,F1,1375,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,100941,,IGL,,2025-01-30,2025-01-30,340.00,CE,IGL25JAN340CE,0.00,0.00,0.00,62.70,60.45,62.70,425.75,87.85,12375,0,0,0.00,0,F1,1375,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,117545,,IGL,,2025-01-30,2025-01-30,385.00,PE,IGL25JAN385PE,5.60,5.60,3.45,3.60,3.50,6.25,425.75,3.60,144375,52250,213,113986125.00,195,F1,1375,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,100830,,IGL,,2025-01-30,2025-01-30,240.00,PE,IGL25JAN240PE,0.10,0.10,0.10,0.10,0.10,0.15,425.75,0.05,19250,5500,4,1320550.00,2,F1,1375,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,117654,,IGL,,2025-02-27,2025-02-27,370.00,PE,IGL25FEB370PE,0.00,0.00,0.00,8.60,8.60,8.60,425.75,5.95,16500,0,0,0.00,0,F1,1375,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,90936,,IGL,,2025-02-27,2025-02-27,460.00,CE,IGL25FEB460CE,0.00,0.00,0.00,3.15,0.00,3.15,425.75,15.85,0,0,0,0.00,0,F1,1375,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,100994,,IGL,,2025-01-30,2025-01-30,460.00,PE,IGL25JAN460PE,46.90,47.55,46.90,47.55,47.55,75.00,425.75,39.85,4125,1375,2,1394868.75,2,F1,1375,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,117929,,IGL,,2025-03-27,2025-03-27,460.00,CE,IGL25MAR460CE,0.00,0.00,0.00,17.30,0.00,17.30,425.75,22.55,0,0,0,0.00,0,F1,1375,,,,,
