TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-01-02,2025-01-02,FO,NSE,STO,103514,,IPCALAB,,2025-01-30,2025-01-30,1800.00,CE,IPCALAB25JAN1800CE,17.15,24.35,15.65,23.45,23.75,17.55,1744.00,23.45,384150,-33800,1847,2186853207.50,1552,F1,650,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,94258,,IPCALAB,,2025-02-27,2025-02-27,1680.00,PE,IPCALAB25FEB1680PE,0.00,0.00,0.00,184.55,0.00,184.55,1744.00,39.70,0,0,0,0.00,0,F1,650,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,103450,,IPCALAB,,2025-01-30,2025-01-30,1680.00,PE,IPCALAB25JAN1680PE,38.00,42.90,24.00,24.95,25.05,41.00,1744.00,24.95,55900,-1950,188,209133275.00,174,F1,650,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,103437,,IPCALAB,,2025-01-30,2025-01-30,1440.00,PE,IPCALAB25JAN1440PE,0.00,0.00,0.00,33.70,0.00,33.70,1744.00,0.20,0,0,0,0.00,0,F1,650,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,94253,,IPCALAB,,2025-02-27,2025-02-27,1600.00,CE,IPCALAB25FEB1600CE,0.00,0.00,0.00,106.65,106.65,106.65,1744.00,178.70,1950,0,0,0.00,0,F1,650,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,121555,,IPCALAB,,2025-02-27,2025-02-27,1740.00,CE,IPCALAB25FEB1740CE,62.20,69.85,62.20,67.00,67.00,51.05,1744.00,67.00,3250,1300,3,3522382.50,3,F1,650,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,121556,,IPCALAB,,2025-02-27,2025-02-27,1740.00,PE,IPCALAB25FEB1740PE,0.00,0.00,0.00,165.00,0.00,165.00,1744.00,64.15,0,0,0,0.00,0,F1,650,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,121545,,IPCALAB,,2025-02-27,2025-02-27,1620.00,CE,IPCALAB25FEB1620CE,0.00,0.00,0.00,84.10,0.00,84.10,1744.00,163.20,0,0,0,0.00,0,F1,650,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,103492,,IPCALAB,,2025-01-30,2025-01-30,1720.00,PE,IPCALAB25JAN1720PE,60.75,65.05,39.15,40.30,41.30,60.75,1744.00,40.30,46800,32500,229,263002090.00,216,F1,650,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,94020,,IPCALAB,,2025-01-30,2025-01-30,1860.00,PE,IPCALAB25JAN1860PE,0.00,0.00,0.00,331.30,0.00,331.30,1744.00,123.60,0,0,0,0.00,0,F1,650,,,,,
