TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-01-02,2025-01-02,FO,NSE,STO,111875,,MGL,,2025-01-30,2025-01-30,1300.00,CE,MGL25JAN1300CE,43.95,54.50,43.70,47.20,46.55,41.30,1296.10,47.20,517200,-56400,2214,1195190620.00,1932,F1,400,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,131300,,MGL,,2025-02-27,2025-02-27,1140.00,PE,MGL25FEB1140PE,0.00,0.00,0.00,48.00,0.00,48.00,1296.10,19.35,0,0,0,0.00,0,F1,400,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,112063,,MGL,,2025-02-27,2025-02-27,1040.00,CE,MGL25FEB1040CE,0.00,0.00,0.00,204.35,0.00,204.35,1296.10,272.40,0,0,0,0.00,0,F1,400,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,114462,,MGL,,2025-01-30,2025-01-30,1240.00,PE,MGL25JAN1240PE,21.45,23.00,16.80,19.80,19.75,24.40,1296.10,19.80,92400,1200,241,121456980.00,215,F1,400,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,114472,,MGL,,2025-01-30,2025-01-30,1440.00,CE,MGL25JAN1440CE,8.00,10.60,8.00,8.55,8.45,7.15,1296.10,8.55,55200,3200,108,62604400.00,106,F1,400,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,131435,,MGL,,2025-03-27,2025-03-27,1120.00,PE,MGL25MAR1120PE,0.00,0.00,0.00,55.55,0.00,55.55,1296.10,25.30,0,0,0,0.00,0,F1,400,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,112081,,MGL,,2025-02-27,2025-02-27,1360.00,CE,MGL25FEB1360CE,0.00,0.00,0.00,59.65,0.00,59.65,1296.10,59.65,0,0,0,0.00,0,F1,400,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,131306,,MGL,,2025-02-27,2025-02-27,1260.00,PE,MGL25FEB1260PE,0.00,0.00,0.00,101.40,0.00,101.40,1296.10,57.00,0,0,0,0.00,0,F1,400,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,131302,,MGL,,2025-02-27,2025-02-27,1180.00,PE,MGL25FEB1180PE,0.00,0.00,0.00,63.20,0.00,63.20,1296.10,28.95,0,0,0,0.00,0,F1,400,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,111869,,MGL,,2025-01-30,2025-01-30,1180.00,CE,MGL25JAN1180CE,0.00,0.00,0.00,126.70,126.75,126.70,1296.10,135.95,8400,0,0,0.00,0,F1,400,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,131434,,MGL,,2025-03-27,2025-03-27,1120.00,CE,MGL25MAR1120CE,0.00,0.00,0.00,194.70,0.00,194.70,1296.10,218.65,0,0,0,0.00,0,F1,400,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,112074,,MGL,,2025-02-27,2025-02-27,1200.00,PE,MGL25FEB1200PE,25.00,25.00,21.75,23.00,23.00,35.00,1296.10,23.00,2800,800,4,1956700.00,4,F1,400,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,131438,,MGL,,2025-03-27,2025-03-27,1200.00,CE,MGL25MAR1200CE,0.00,0.00,0.00,148.30,0.00,148.30,1296.10,162.45,0,0,0,0.00,0,F1,400,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,111877,,MGL,,2025-01-30,2025-01-30,1340.00,CE,MGL25JAN1340CE,28.95,36.00,28.25,30.25,29.60,26.30,1296.10,30.25,62800,-8400,532,291983620.00,516,F1,400,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,112075,,MGL,,2025-02-27,2025-02-27,1240.00,CE,MGL25FEB1240CE,0.00,0.00,0.00,98.50,0.00,98.50,1296.10,117.70,0,0,0,0.00,0,F1,400,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,131297,,MGL,,2025-02-27,2025-02-27,1100.00,CE,MGL25FEB1100CE,0.00,0.00,0.00,188.20,0.00,188.20,1296.10,219.70,0,0,0,0.00,0,F1,400,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,112066,,MGL,,2025-02-27,2025-02-27,1080.00,PE,MGL25FEB1080PE,0.00,0.00,0.00,59.25,0.00,59.25,1296.10,9.60,0,0,0,0.00,0,F1,400,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,114459,,MGL,,2025-01-30,2025-01-30,1200.00,CE,MGL25JAN1200CE,112.00,118.35,112.00,118.35,118.35,105.00,1296.10,120.45,43600,0,14,7361300.00,5,F1,400,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,131436,,MGL,,2025-03-27,2025-03-27,1160.00,CE,MGL25MAR1160CE,0.00,0.00,0.00,170.40,0.00,170.40,1296.10,189.35,0,0,0,0.00,0,F1,400,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,131437,,MGL,,2025-03-27,2025-03-27,1160.00,PE,MGL25MAR1160PE,0.00,0.00,0.00,70.50,0.00,70.50,1296.10,35.35,0,0,0,0.00,0,F1,400,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,112071,,MGL,,2025-02-27,2025-02-27,1160.00,CE,MGL25FEB1160CE,0.00,0.00,0.00,134.20,0.00,134.20,1296.10,171.85,0,0,0,0.00,0,F1,400,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,131457,,MGL,,2025-03-27,2025-03-27,1440.00,PE,MGL25MAR1440PE,0.00,0.00,0.00,232.90,0.00,232.90,1296.10,175.35,0,0,0,0.00,0,F1,400,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,131309,,MGL,,2025-02-27,2025-02-27,1340.00,CE,MGL25FEB1340CE,0.00,0.00,0.00,65.25,0.00,65.25,1296.10,67.40,0,0,0,0.00,0,F1,400,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,111872,,MGL,,2025-01-30,2025-01-30,1220.00,PE,MGL25JAN1220PE,16.90,17.75,12.50,13.90,13.85,18.95,1296.10,13.90,76400,10000,161,79564920.00,138,F1,400,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,111871,,MGL,,2025-01-30,2025-01-30,1220.00,CE,MGL25JAN1220CE,100.65,103.00,97.25,103.00,103.00,82.85,1296.10,105.95,24800,400,5,2640120.00,5,F1,400,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,111879,,MGL,,2025-01-30,2025-01-30,1380.00,CE,MGL25JAN1380CE,19.00,23.00,17.90,18.65,18.50,15.90,1296.10,18.65,59600,-11600,209,117027900.00,179,F1,400,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,114486,,MGL,,2025-01-30,2025-01-30,1680.00,PE,MGL25JAN1680PE,0.00,0.00,0.00,426.00,426.00,426.00,1296.10,375.80,400,0,0,0.00,0,F1,400,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,131298,,MGL,,2025-02-27,2025-02-27,1100.00,PE,MGL25FEB1100PE,0.00,0.00,0.00,35.45,0.00,35.45,1296.10,12.30,0,0,0,0.00,0,F1,400,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,112065,,MGL,,2025-02-27,2025-02-27,1080.00,CE,MGL25FEB1080CE,0.00,0.00,0.00,178.65,0.00,178.65,1296.10,236.80,0,0,0,0.00,0,F1,400,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,131445,,MGL,,2025-03-27,2025-03-27,1320.00,PE,MGL25MAR1320PE,0.00,0.00,0.00,151.85,0.00,151.85,1296.10,100.65,0,0,0,0.00,0,F1,400,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,112079,,MGL,,2025-02-27,2025-02-27,1320.00,CE,MGL25FEB1320CE,0.00,0.00,0.00,70.85,0.00,70.85,1296.10,75.90,0,0,0,0.00,0,F1,400,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,114460,,MGL,,2025-01-30,2025-01-30,1200.00,PE,MGL25JAN1200PE,12.00,13.45,9.30,11.20,11.25,14.10,1296.10,11.20,137200,23600,434,210363980.00,376,F1,400,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,114468,,MGL,,2025-01-30,2025-01-30,1360.00,PE,MGL25JAN1360PE,77.75,77.75,75.95,75.95,75.95,93.15,1296.10,91.10,2800,400,2,1149480.00,2,F1,400,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,114476,,MGL,,2025-01-30,2025-01-30,1480.00,PE,MGL25JAN1480PE,0.00,0.00,0.00,222.00,222.00,222.00,1296.10,185.60,400,0,0,0.00,0,F1,400,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,112087,,MGL,,2025-02-27,2025-02-27,1480.00,CE,MGL25FEB1480CE,0.00,0.00,0.00,34.80,0.00,34.80,1296.10,26.55,0,0,0,0.00,0,F1,400,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,114457,,MGL,,2025-01-30,2025-01-30,1160.00,CE,MGL25JAN1160CE,0.00,0.00,0.00,324.95,0.00,324.95,1296.10,152.25,0,0,0,0.00,0,F1,400,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,112083,,MGL,,2025-02-27,2025-02-27,1400.00,CE,MGL25FEB1400CE,0.00,0.00,0.00,50.05,0.00,50.05,1296.10,46.20,0,0,0,0.00,0,F1,400,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,131303,,MGL,,2025-02-27,2025-02-27,1220.00,CE,MGL25FEB1220CE,0.00,0.00,0.00,115.30,0.00,115.30,1296.10,130.10,0,0,0,0.00,0,F1,400,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,114478,,MGL,,2025-01-30,2025-01-30,1520.00,PE,MGL25JAN1520PE,0.00,0.00,0.00,260.00,260.00,260.00,1296.10,221.75,2400,0,0,0.00,0,F1,400,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,112076,,MGL,,2025-02-27,2025-02-27,1240.00,PE,MGL25FEB1240PE,35.00,35.00,35.00,35.00,35.00,40.55,1296.10,48.80,800,0,1,510000.00,1,F1,400,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,131446,,MGL,,2025-03-27,2025-03-27,1360.00,CE,MGL25MAR1360CE,0.00,0.00,0.00,80.65,0.00,80.65,1296.10,80.35,0,0,0,0.00,0,F1,400,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,112077,,MGL,,2025-02-27,2025-02-27,1280.00,CE,MGL25FEB1280CE,0.00,0.00,0.00,83.75,0.00,83.75,1296.10,95.25,0,0,0,0.00,0,F1,400,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,112078,,MGL,,2025-02-27,2025-02-27,1280.00,PE,MGL25FEB1280PE,0.00,0.00,0.00,160.70,0.00,160.70,1296.10,65.95,0,0,0,0.00,0,F1,400,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,114443,,MGL,,2025-01-30,2025-01-30,960.00,PE,MGL25JAN960PE,0.00,0.00,0.00,1.05,1.05,1.05,1296.10,0.10,10400,0,0,0.00,0,F1,400,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,131301,,MGL,,2025-02-27,2025-02-27,1180.00,CE,MGL25FEB1180CE,0.00,0.00,0.00,136.95,0.00,136.95,1296.10,157.20,0,0,0,0.00,0,F1,400,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,114454,,MGL,,2025-01-30,2025-01-30,1080.00,PE,MGL25JAN1080PE,0.00,0.00,0.00,3.25,3.25,3.25,1296.10,2.40,22000,0,0,0.00,0,F1,400,,,,,
2025-01-02,2025-01-02,FO,NSE,STF,43184,,MGL,,2025-03-27,2025-03-27,,,MGL25MARFUT,1310.20,1318.45,1301.00,1312.60,1312.60,1295.35,1296.10,1316.40,11200,4400,15,7873740.00,13,F1,400,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,131313,,MGL,,2025-02-27,2025-02-27,1420.00,CE,MGL25FEB1420CE,0.00,0.00,0.00,42.95,0.00,42.95,1296.10,40.45,0,0,0,0.00,0,F1,400,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,131299,,MGL,,2025-02-27,2025-02-27,1140.00,CE,MGL25FEB1140CE,0.00,0.00,0.00,161.25,0.00,161.25,1296.10,187.20,0,0,0,0.00,0,F1,400,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,111865,,MGL,,2025-01-30,2025-01-30,1100.00,CE,MGL25JAN1100CE,0.00,0.00,0.00,145.95,0.00,145.95,1296.10,205.35,0,0,0,0.00,0,F1,400,,,,,
2025-01-02,2025-01-02,FO,NSE,STF,39213,,MGL,,2025-02-27,2025-02-27,,,MGL25FEBFUT,1292.70,1314.00,1292.70,1302.05,1301.00,1291.25,1296.10,1302.05,148000,10000,140,73019120.00,128,F1,400,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,114482,,MGL,,2025-01-30,2025-01-30,1600.00,PE,MGL25JAN1600PE,0.00,0.00,0.00,345.00,345.00,345.00,1296.10,297.55,5600,0,0,0.00,0,F1,400,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,112085,,MGL,,2025-02-27,2025-02-27,1440.00,CE,MGL25FEB1440CE,0.00,0.00,0.00,41.85,0.00,41.85,1296.10,35.25,0,0,0,0.00,0,F1,400,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,131455,,MGL,,2025-03-27,2025-03-27,1400.00,PE,MGL25MAR1400PE,0.00,0.00,0.00,204.20,0.00,204.20,1296.10,148.25,0,0,0,0.00,0,F1,400,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,111873,,MGL,,2025-01-30,2025-01-30,1260.00,CE,MGL25JAN1260CE,69.80,78.00,65.90,71.25,70.80,62.85,1296.10,71.25,181200,-10400,336,179045460.00,285,F1,400,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,114452,,MGL,,2025-01-30,2025-01-30,1080.00,CE,MGL25JAN1080CE,0.00,0.00,0.00,392.40,0.00,392.40,1296.10,224.05,0,0,0,0.00,0,F1,400,,,,,
