TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-01-02,2025-01-02,FO,NSE,STO,133367,,MUTHOOTFIN,,2025-03-27,2025-03-27,2560.00,PE,MUTHOOTFIN25MAR2560PE,0.00,0.00,0.00,470.60,0.00,470.60,2256.90,297.65,0,0,0,0.00,0,F1,275,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,133328,,MUTHOOTFIN,,2025-03-27,2025-03-27,2560.00,CE,MUTHOOTFIN25MAR2560CE,0.00,0.00,0.00,19.35,0.00,19.35,2256.90,34.00,0,0,0,0.00,0,F1,275,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,114065,,MUTHOOTFIN,,2025-02-27,2025-02-27,2200.00,PE,MUTHOOTFIN25FEB2200PE,0.00,0.00,0.00,291.60,0.00,291.60,2256.90,59.30,0,0,0,0.00,0,F1,275,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,116944,,MUTHOOTFIN,,2025-01-30,2025-01-30,2200.00,PE,MUTHOOTFIN25JAN2200PE,56.95,58.00,32.60,36.40,37.10,54.55,2256.90,36.40,147675,30525,1566,966636453.75,1252,F1,275,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,116943,,MUTHOOTFIN,,2025-01-30,2025-01-30,2200.00,CE,MUTHOOTFIN25JAN2200CE,77.00,106.30,70.00,98.90,99.10,76.45,2256.90,98.90,180950,-27775,1898,1193360176.25,1663,F1,275,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,133138,,MUTHOOTFIN,,2025-03-27,2025-03-27,2040.00,CE,MUTHOOTFIN25MAR2040CE,0.00,0.00,0.00,162.10,0.00,162.10,2256.90,276.25,0,0,0,0.00,0,F1,275,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,133139,,MUTHOOTFIN,,2025-03-27,2025-03-27,2040.00,PE,MUTHOOTFIN25MAR2040PE,0.00,0.00,0.00,102.75,0.00,102.75,2256.90,27.90,0,0,0,0.00,0,F1,275,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,116936,,MUTHOOTFIN,,2025-01-30,2025-01-30,2040.00,PE,MUTHOOTFIN25JAN2040PE,12.40,12.75,8.00,8.15,8.05,12.40,2256.90,8.15,25025,6600,133,74970403.75,96,F1,275,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,132848,,MUTHOOTFIN,,2025-02-27,2025-02-27,2100.00,CE,MUTHOOTFIN25FEB2100CE,0.00,0.00,0.00,118.35,118.35,118.35,2256.90,207.25,825,0,0,0.00,0,F1,275,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,113756,,MUTHOOTFIN,,2025-01-30,2025-01-30,2100.00,CE,MUTHOOTFIN25JAN2100CE,140.00,185.00,140.00,177.25,175.00,143.05,2256.90,177.25,50600,-3025,110,68269341.25,90,F1,275,,,,,
