TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-01-02,2025-01-02,FO,NSE,STO,115480,,NCC,,2025-01-30,2025-01-30,230.00,PE,NCC25JAN230PE,0.00,0.00,0.00,3.05,0.00,3.05,278.45,0.75,0,0,0,0.00,0,F1,1775,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,115907,,NCC,,2025-02-27,2025-02-27,220.00,PE,NCC25FEB220PE,0.00,0.00,0.00,3.75,0.00,3.75,278.45,1.55,0,0,0,0.00,0,F1,1775,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,115906,,NCC,,2025-02-27,2025-02-27,220.00,CE,NCC25FEB220CE,0.00,0.00,0.00,91.10,0.00,91.10,278.45,62.30,0,0,0,0.00,0,F1,1775,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,115607,,NCC,,2025-01-30,2025-01-30,330.00,PE,NCC25JAN330PE,0.00,0.00,0.00,41.50,0.00,41.50,278.45,51.45,0,0,0,0.00,0,F1,1775,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,115594,,NCC,,2025-01-30,2025-01-30,320.00,CE,NCC25JAN320CE,1.20,1.20,0.85,0.90,0.90,1.20,278.45,0.90,140225,19525,40,22794195.00,30,F1,1775,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,134221,,NCC,,2025-03-27,2025-03-27,300.00,PE,NCC25MAR300PE,0.00,0.00,0.00,36.30,0.00,36.30,278.45,33.90,0,0,0,0.00,0,F1,1775,,,,,
2025-01-02,2025-01-02,FO,NSE,STF,39694,,NCC,,2025-01-30,2025-01-30,,,NCC25JANFUT,281.90,281.90,274.95,280.30,279.00,279.35,278.45,280.30,6927825,172175,848,419597663.75,795,F1,1775,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,115908,,NCC,,2025-02-27,2025-02-27,230.00,CE,NCC25FEB230CE,0.00,0.00,0.00,82.80,0.00,82.80,278.45,53.55,0,0,0,0.00,0,F1,1775,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,134225,,NCC,,2025-03-27,2025-03-27,320.00,PE,NCC25MAR320PE,0.00,0.00,0.00,49.05,0.00,49.05,278.45,47.70,0,0,0,0.00,0,F1,1775,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,115484,,NCC,,2025-01-30,2025-01-30,240.00,PE,NCC25JAN240PE,0.80,1.05,0.80,0.80,0.80,0.95,278.45,0.80,223650,-1775,22,9405015.00,20,F1,1775,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,134040,,NCC,,2025-02-27,2025-02-27,265.00,CE,NCC25FEB265CE,0.00,0.00,0.00,37.45,0.00,37.45,278.45,28.05,0,0,0,0.00,0,F1,1775,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,115494,,NCC,,2025-01-30,2025-01-30,265.00,PE,NCC25JAN265PE,4.75,5.70,4.30,4.35,4.35,4.95,278.45,7.25,17750,-10650,34,16276040.00,34,F1,1775,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,115493,,NCC,,2025-01-30,2025-01-30,265.00,CE,NCC25JAN265CE,18.20,19.10,17.50,19.10,19.10,19.25,278.45,22.05,10650,-14200,13,6533153.75,9,F1,1775,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,134041,,NCC,,2025-02-27,2025-02-27,265.00,PE,NCC25FEB265PE,0.00,0.00,0.00,14.60,0.00,14.60,278.45,11.85,0,0,0,0.00,0,F1,1775,,,,,
2025-01-02,2025-01-02,FO,NSE,STF,43212,,NCC,,2025-03-27,2025-03-27,,,NCC25MARFUT,281.80,281.80,281.80,281.80,281.80,282.30,278.45,282.80,26625,0,2,1002431.25,2,F1,1775,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,115590,,NCC,,2025-01-30,2025-01-30,315.00,CE,NCC25JAN315CE,1.60,1.60,1.25,1.25,1.25,1.65,278.45,3.30,55025,-14200,23,12914456.25,17,F1,1775,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,115554,,NCC,,2025-01-30,2025-01-30,300.00,PE,NCC25JAN300PE,24.15,24.15,22.85,22.90,22.85,24.00,278.45,22.90,115375,3550,4,2294897.50,4,F1,1775,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,115923,,NCC,,2025-02-27,2025-02-27,300.00,PE,NCC25FEB300PE,0.00,0.00,0.00,28.70,0.00,28.70,278.45,30.65,0,0,0,0.00,0,F1,1775,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,115611,,NCC,,2025-01-30,2025-01-30,340.00,CE,NCC25JAN340CE,0.00,0.00,0.00,0.40,0.40,0.40,278.45,0.95,53250,0,0,0.00,0,F1,1775,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,115924,,NCC,,2025-02-27,2025-02-27,310.00,CE,NCC25FEB310CE,0.00,0.00,0.00,32.90,0.00,32.90,278.45,9.30,0,0,0,0.00,0,F1,1775,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,134038,,NCC,,2025-02-27,2025-02-27,255.00,CE,NCC25FEB255CE,0.00,0.00,0.00,43.70,0.00,43.70,278.45,34.40,0,0,0,0.00,0,F1,1775,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,115548,,NCC,,2025-01-30,2025-01-30,285.00,PE,NCC25JAN285PE,13.75,14.40,12.60,12.60,12.60,14.25,278.45,12.60,39050,7100,7,3709040.00,5,F1,1775,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,115496,,NCC,,2025-01-30,2025-01-30,270.00,PE,NCC25JAN270PE,6.00,7.80,5.55,5.70,5.80,6.45,278.45,5.70,243175,-14200,51,25021553.75,47,F1,1775,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,115926,,NCC,,2025-02-27,2025-02-27,320.00,CE,NCC25FEB320CE,0.00,0.00,0.00,28.80,0.00,28.80,278.45,7.00,0,0,0,0.00,0,F1,1775,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,115483,,NCC,,2025-01-30,2025-01-30,240.00,CE,NCC25JAN240CE,0.00,0.00,0.00,70.85,0.00,70.85,278.45,41.35,0,0,0,0.00,0,F1,1775,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,134048,,NCC,,2025-02-27,2025-02-27,305.00,CE,NCC25FEB305CE,0.00,0.00,0.00,18.60,0.00,18.60,278.45,10.65,0,0,0,0.00,0,F1,1775,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,134218,,NCC,,2025-03-27,2025-03-27,290.00,CE,NCC25MAR290CE,0.00,0.00,0.00,30.35,0.00,30.35,278.45,20.70,0,0,0,0.00,0,F1,1775,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,115928,,NCC,,2025-02-27,2025-02-27,330.00,CE,NCC25FEB330CE,0.00,0.00,0.00,25.15,0.00,25.15,278.45,5.20,0,0,0,0.00,0,F1,1775,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,115909,,NCC,,2025-02-27,2025-02-27,230.00,PE,NCC25FEB230PE,0.00,0.00,0.00,5.30,0.00,5.30,278.45,2.75,0,0,0,0.00,0,F1,1775,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,115479,,NCC,,2025-01-30,2025-01-30,230.00,CE,NCC25JAN230CE,0.00,0.00,0.00,79.25,0.00,79.25,278.45,50.40,0,0,0,0.00,0,F1,1775,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,115916,,NCC,,2025-02-27,2025-02-27,270.00,CE,NCC25FEB270CE,0.00,0.00,0.00,54.00,0.00,54.00,278.45,25.15,0,0,0,0.00,0,F1,1775,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,115596,,NCC,,2025-01-30,2025-01-30,320.00,PE,NCC25JAN320PE,0.00,0.00,0.00,38.00,38.00,38.00,278.45,42.50,8875,0,0,0.00,0,F1,1775,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,115488,,NCC,,2025-01-30,2025-01-30,250.00,PE,NCC25JAN250PE,2.00,2.15,1.50,1.50,1.50,1.95,278.45,3.20,347900,-40825,69,30843820.00,47,F1,1775,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,115918,,NCC,,2025-02-27,2025-02-27,280.00,CE,NCC25FEB280CE,0.00,0.00,0.00,48.00,0.00,48.00,278.45,20.05,0,0,0,0.00,0,F1,1775,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,115927,,NCC,,2025-02-27,2025-02-27,320.00,PE,NCC25FEB320PE,0.00,0.00,0.00,39.70,0.00,39.70,278.45,45.25,0,0,0,0.00,0,F1,1775,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,134210,,NCC,,2025-03-27,2025-03-27,250.00,CE,NCC25MAR250CE,0.00,0.00,0.00,52.00,0.00,52.00,278.45,42.15,0,0,0,0.00,0,F1,1775,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,134184,,NCC,,2025-03-27,2025-03-27,240.00,CE,NCC25MAR240CE,0.00,0.00,0.00,58.80,0.00,58.80,278.45,49.15,0,0,0,0.00,0,F1,1775,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,115911,,NCC,,2025-02-27,2025-02-27,240.00,PE,NCC25FEB240PE,0.00,0.00,0.00,7.25,0.00,7.25,278.45,4.45,0,0,0,0.00,0,F1,1775,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,115910,,NCC,,2025-02-27,2025-02-27,240.00,CE,NCC25FEB240CE,0.00,0.00,0.00,74.95,0.00,74.95,278.45,45.35,0,0,0,0.00,0,F1,1775,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,115489,,NCC,,2025-01-30,2025-01-30,255.00,CE,NCC25JAN255CE,0.00,0.00,0.00,59.05,0.00,59.05,278.45,29.05,0,0,0,0.00,0,F1,1775,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,115490,,NCC,,2025-01-30,2025-01-30,255.00,PE,NCC25JAN255PE,2.50,3.05,2.40,2.40,2.40,2.70,278.45,2.40,122475,-15975,16,7324182.50,7,F1,1775,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,134039,,NCC,,2025-02-27,2025-02-27,255.00,PE,NCC25FEB255PE,0.00,0.00,0.00,11.00,0.00,11.00,278.45,8.30,0,0,0,0.00,0,F1,1775,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,134044,,NCC,,2025-02-27,2025-02-27,285.00,CE,NCC25FEB285CE,0.00,0.00,0.00,26.80,0.00,26.80,278.45,17.80,0,0,0,0.00,0,F1,1775,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,134036,,NCC,,2025-02-27,2025-02-27,245.00,CE,NCC25FEB245CE,0.00,0.00,0.00,50.65,0.00,50.65,278.45,41.55,0,0,0,0.00,0,F1,1775,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,115485,,NCC,,2025-01-30,2025-01-30,245.00,CE,NCC25JAN245CE,0.00,0.00,0.00,66.80,0.00,66.80,278.45,37.05,0,0,0,0.00,0,F1,1775,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,115921,,NCC,,2025-02-27,2025-02-27,290.00,PE,NCC25FEB290PE,0.00,0.00,0.00,23.90,0.00,23.90,278.45,24.30,0,0,0,0.00,0,F1,1775,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,134219,,NCC,,2025-03-27,2025-03-27,290.00,PE,NCC25MAR290PE,0.00,0.00,0.00,30.60,0.00,30.60,278.45,27.80,0,0,0,0.00,0,F1,1775,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,115549,,NCC,,2025-01-30,2025-01-30,290.00,CE,NCC25JAN290CE,6.60,6.70,4.80,6.10,5.90,6.55,278.45,6.10,237850,-42600,213,111846300.00,192,F1,1775,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,115922,,NCC,,2025-02-27,2025-02-27,300.00,CE,NCC25FEB300CE,0.00,0.00,0.00,37.45,0.00,37.45,278.45,12.15,0,0,0,0.00,0,F1,1775,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,115553,,NCC,,2025-01-30,2025-01-30,300.00,CE,NCC25JAN300CE,3.85,4.10,2.80,3.45,3.25,3.90,278.45,3.45,757925,-3550,352,189468203.75,247,F1,1775,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,115544,,NCC,,2025-01-30,2025-01-30,275.00,PE,NCC25JAN275PE,8.00,9.90,7.50,7.50,7.50,8.40,278.45,11.35,60350,15975,32,16108391.25,22,F1,1775,,,,,
2025-01-02,2025-01-02,FO,NSE,STF,39695,,NCC,,2025-02-27,2025-02-27,,,NCC25FEBFUT,282.20,283.00,277.50,282.15,281.85,281.30,278.45,282.15,445525,1775,55,27388693.75,52,F1,1775,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,115917,,NCC,,2025-02-27,2025-02-27,270.00,PE,NCC25FEB270PE,0.00,0.00,0.00,15.80,0.00,15.80,278.45,13.95,0,0,0,0.00,0,F1,1775,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,115914,,NCC,,2025-02-27,2025-02-27,260.00,CE,NCC25FEB260CE,0.00,0.00,0.00,60.50,0.00,60.50,278.45,31.10,0,0,0,0.00,0,F1,1775,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,115476,,NCC,,2025-01-30,2025-01-30,220.00,PE,NCC25JAN220PE,0.00,0.00,0.00,1.95,0.00,1.95,278.45,0.30,0,0,0,0.00,0,F1,1775,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,115606,,NCC,,2025-01-30,2025-01-30,330.00,CE,NCC25JAN330CE,0.50,0.65,0.50,0.50,0.50,0.75,278.45,1.60,163300,0,32,18776482.50,22,F1,1775,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,115555,,NCC,,2025-01-30,2025-01-30,305.00,CE,NCC25JAN305CE,2.95,2.95,2.20,2.50,2.35,2.90,278.45,2.50,211225,0,10,5458213.75,10,F1,1775,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,134049,,NCC,,2025-02-27,2025-02-27,305.00,PE,NCC25FEB305PE,0.00,0.00,0.00,35.30,0.00,35.30,278.45,34.05,0,0,0,0.00,0,F1,1775,,,,,
2025-01-02,2025-01-02,FO,NSE,STO,115920,,NCC,,2025-02-27,2025-02-27,290.00,CE,NCC25FEB290CE,0.00,0.00,0.00,42.50,0.00,42.50,278.45,15.75,0,0,0,0.00,0,F1,1775,,,,,
