TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-01-03,2025-01-03,FO,NSE,STO,81990,,BALKRISIND,,2025-02-27,2025-02-27,3040.00,PE,BALKRISIND25FEB3040PE,0.00,0.00,0.00,270.70,0.00,270.70,2818.55,247.25,0,0,0,0.00,0,F1,300,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,82352,,BALKRISIND,,2025-03-27,2025-03-27,3040.00,CE,BALKRISIND25MAR3040CE,0.00,0.00,0.00,130.50,0.00,130.50,2818.55,87.05,0,0,0,0.00,0,F1,300,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,64902,,BALKRISIND,,2025-02-27,2025-02-27,2900.00,PE,BALKRISIND25FEB2900PE,0.00,0.00,0.00,268.85,0.00,268.85,2818.55,155.00,0,0,0,0.00,0,F1,300,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,64846,,BALKRISIND,,2025-01-30,2025-01-30,2850.00,CE,BALKRISIND25JAN2850CE,112.05,113.05,70.60,77.40,70.60,121.20,2818.55,77.40,23400,-2100,77,67891455.00,76,F1,300,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,64847,,BALKRISIND,,2025-01-30,2025-01-30,2850.00,PE,BALKRISIND25JAN2850PE,70.00,105.80,70.00,100.60,105.80,60.60,2818.55,100.60,15300,900,82,72202320.00,63,F1,300,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,82349,,BALKRISIND,,2025-03-27,2025-03-27,2960.00,PE,BALKRISIND25MAR2960PE,0.00,0.00,0.00,241.50,0.00,241.50,2818.55,210.30,0,0,0,0.00,0,F1,300,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,64890,,BALKRISIND,,2025-02-27,2025-02-27,2400.00,CE,BALKRISIND25FEB2400CE,0.00,0.00,0.00,415.20,0.00,415.20,2818.55,450.90,0,0,0,0.00,0,F1,300,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,82328,,BALKRISIND,,2025-03-27,2025-03-27,2680.00,CE,BALKRISIND25MAR2680CE,0.00,0.00,0.00,300.45,0.00,300.45,2818.55,256.30,0,0,0,0.00,0,F1,300,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,81516,,BALKRISIND,,2025-01-30,2025-01-30,2860.00,PE,BALKRISIND25JAN2860PE,0.00,0.00,0.00,129.20,0.00,129.20,2818.55,103.05,0,0,0,0.00,0,F1,300,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,77213,,BALKRISIND,,2025-01-30,2025-01-30,2900.00,PE,BALKRISIND25JAN2900PE,85.00,136.00,75.00,129.85,136.00,81.70,2818.55,129.85,30000,9900,185,166539915.00,178,F1,300,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,81963,,BALKRISIND,,2025-02-27,2025-02-27,2720.00,CE,BALKRISIND25FEB2720CE,0.00,0.00,0.00,237.35,0.00,237.35,2818.55,196.40,0,0,0,0.00,0,F1,300,,,,,
