TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-01-03,2025-01-03,FO,NSE,STO,86908,,COROMANDEL,,2025-01-30,2025-01-30,1960.00,CE,COROMANDEL25JAN1960CE,55.00,62.95,49.30,59.90,60.50,58.50,1958.30,59.90,69650,12600,537,379245702.50,479,F1,350,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,74944,,COROMANDEL,,2025-02-27,2025-02-27,1800.00,PE,COROMANDEL25FEB1800PE,0.00,0.00,0.00,119.90,0.00,119.90,1958.30,18.05,0,0,0,0.00,0,F1,350,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,86901,,COROMANDEL,,2025-01-30,2025-01-30,1800.00,PE,COROMANDEL25JAN1800PE,8.40,9.60,7.85,8.35,8.65,8.40,1958.30,8.35,58450,-2450,140,88621277.50,82,F1,350,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,98388,,COROMANDEL,,2025-02-27,2025-02-27,1740.00,PE,COROMANDEL25FEB1740PE,0.00,0.00,0.00,42.95,0.00,42.95,1958.30,9.15,0,0,0,0.00,0,F1,350,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,74958,,COROMANDEL,,2025-02-27,2025-02-27,2080.00,PE,COROMANDEL25FEB2080PE,0.00,0.00,0.00,315.80,0.00,315.80,1958.30,141.40,0,0,0,0.00,0,F1,350,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,75021,,COROMANDEL,,2025-02-27,2025-02-27,2160.00,CE,COROMANDEL25FEB2160CE,0.00,0.00,0.00,18.90,0.00,18.90,1958.30,22.25,0,0,0,0.00,0,F1,350,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,86910,,COROMANDEL,,2025-01-30,2025-01-30,2000.00,CE,COROMANDEL25JAN2000CE,40.00,43.95,33.90,41.60,41.75,40.50,1958.30,41.60,110600,6300,855,610420230.00,638,F1,350,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,98328,,COROMANDEL,,2025-02-27,2025-02-27,1660.00,CE,COROMANDEL25FEB1660CE,0.00,0.00,0.00,228.55,0.00,228.55,1958.30,318.20,0,0,0,0.00,0,F1,350,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,98474,,COROMANDEL,,2025-02-27,2025-02-27,2100.00,PE,COROMANDEL25FEB2100PE,0.00,0.00,0.00,254.70,0.00,254.70,1958.30,155.70,0,0,0,0.00,0,F1,350,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,98447,,COROMANDEL,,2025-02-27,2025-02-27,1940.00,PE,COROMANDEL25FEB1940PE,0.00,0.00,0.00,137.40,0.00,137.40,1958.30,61.05,0,0,0,0.00,0,F1,350,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,86956,,COROMANDEL,,2025-01-30,2025-01-30,2160.00,PE,COROMANDEL25JAN2160PE,0.00,0.00,0.00,461.50,0.00,461.50,1958.30,197.50,0,0,0,0.00,0,F1,350,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,98389,,COROMANDEL,,2025-02-27,2025-02-27,1780.00,CE,COROMANDEL25FEB1780CE,0.00,0.00,0.00,144.05,0.00,144.05,1958.30,210.90,0,0,0,0.00,0,F1,350,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,98464,,COROMANDEL,,2025-02-27,2025-02-27,2060.00,CE,COROMANDEL25FEB2060CE,0.00,0.00,0.00,40.55,40.55,40.55,1958.30,46.90,350,0,0,0.00,0,F1,350,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,74881,,COROMANDEL,,2025-01-30,2025-01-30,1980.00,CE,COROMANDEL25JAN1980CE,46.00,51.90,41.80,50.25,50.05,48.15,1958.30,50.25,60900,-3150,149,105764260.00,139,F1,350,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,86945,,COROMANDEL,,2025-01-30,2025-01-30,2040.00,PE,COROMANDEL25JAN2040PE,99.30,99.70,98.40,98.40,98.40,98.00,1958.30,99.45,2450,-700,6,4492162.50,4,F1,350,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,86942,,COROMANDEL,,2025-01-30,2025-01-30,2040.00,CE,COROMANDEL25JAN2040CE,24.80,28.65,23.50,28.00,28.00,27.15,1958.30,27.90,31850,-2800,76,54947060.00,52,F1,350,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,74893,,COROMANDEL,,2025-01-30,2025-01-30,2140.00,CE,COROMANDEL25JAN2140CE,8.80,8.95,8.70,8.85,8.95,10.15,1958.30,8.85,4200,4200,13,9777197.50,9,F1,350,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,74947,,COROMANDEL,,2025-02-27,2025-02-27,1880.00,CE,COROMANDEL25FEB1880CE,0.00,0.00,0.00,76.80,0.00,76.80,1958.30,135.55,0,0,0,0.00,0,F1,350,,,,,
2025-01-03,2025-01-03,FO,NSE,STF,38107,,COROMANDEL,,2025-02-27,2025-02-27,,,COROMANDEL25FEBFUT,1961.80,1972.10,1952.80,1972.10,1972.10,1963.15,1958.30,1972.10,19600,0,10,6877990.00,10,F1,350,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,74943,,COROMANDEL,,2025-02-27,2025-02-27,1800.00,CE,COROMANDEL25FEB1800CE,0.00,0.00,0.00,108.10,0.00,108.10,1958.30,194.55,0,0,0,0.00,0,F1,350,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,74871,,COROMANDEL,,2025-01-30,2025-01-30,1780.00,CE,COROMANDEL25JAN1780CE,0.00,0.00,0.00,157.00,157.00,157.00,1958.30,191.90,8400,0,0,0.00,0,F1,350,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,74887,,COROMANDEL,,2025-01-30,2025-01-30,2060.00,CE,COROMANDEL25JAN2060CE,21.00,24.10,18.75,22.50,22.35,21.85,1958.30,22.50,41300,4550,62,45181027.50,58,F1,350,,,,,
