TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-01-03,2025-01-03,FO,NSE,STO,109960,,GRANULES,,2025-02-27,2025-02-27,550.00,PE,GRANULES25FEB550PE,0.00,0.00,0.00,24.40,0.00,24.40,605.20,12.80,0,0,0,0.00,0,F1,1000,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,110219,,GRANULES,,2025-03-27,2025-03-27,620.00,PE,GRANULES25MAR620PE,0.00,0.00,0.00,65.45,0.00,65.45,605.20,48.35,0,0,0,0.00,0,F1,1000,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,94292,,GRANULES,,2025-01-30,2025-01-30,620.00,PE,GRANULES25JAN620PE,27.40,27.40,23.85,23.95,23.95,22.35,605.20,32.45,43000,6000,15,9675500.00,15,F1,1000,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,109958,,GRANULES,,2025-02-27,2025-02-27,530.00,PE,GRANULES25FEB530PE,0.00,0.00,0.00,17.85,0.00,17.85,605.20,8.20,0,0,0,0.00,0,F1,1000,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,83500,,GRANULES,,2025-01-30,2025-01-30,530.00,CE,GRANULES25JAN530CE,0.00,0.00,0.00,79.85,0.00,79.85,605.20,80.70,0,0,0,0.00,0,F1,1000,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,83563,,GRANULES,,2025-02-27,2025-02-27,520.00,PE,GRANULES25FEB520PE,0.00,0.00,0.00,22.80,0.00,22.80,605.20,6.40,0,0,0,0.00,0,F1,1000,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,83517,,GRANULES,,2025-01-30,2025-01-30,670.00,PE,GRANULES25JAN670PE,0.00,0.00,0.00,97.20,0.00,97.20,605.20,68.30,0,0,0,0.00,0,F1,1000,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,109971,,GRANULES,,2025-02-27,2025-02-27,670.00,CE,GRANULES25FEB670CE,0.00,0.00,0.00,22.70,0.00,22.70,605.20,16.45,0,0,0,0.00,0,F1,1000,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,83562,,GRANULES,,2025-02-27,2025-02-27,520.00,CE,GRANULES25FEB520CE,0.00,0.00,0.00,95.85,0.00,95.85,605.20,96.85,0,0,0,0.00,0,F1,1000,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,83495,,GRANULES,,2025-01-30,2025-01-30,490.00,PE,GRANULES25JAN490PE,0.00,0.00,0.00,1.00,1.00,1.00,605.20,0.50,1000,0,0,0.00,0,F1,1000,,,,,
