TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-01-03,2025-01-03,FO,NSE,STO,118861,,INDIAMART,,2025-02-27,2025-02-27,2220.00,CE,INDIAMART25FEB2220CE,0.00,0.00,0.00,174.30,0.00,174.30,2250.45,149.20,0,0,0,0.00,0,F1,300,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,118863,,INDIAMART,,2025-02-27,2025-02-27,2240.00,CE,INDIAMART25FEB2240CE,0.00,0.00,0.00,164.50,0.00,164.50,2250.45,138.75,0,0,0,0.00,0,F1,300,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,118545,,INDIAMART,,2025-01-30,2025-01-30,2240.00,PE,INDIAMART25JAN2240PE,72.00,72.15,67.30,67.30,67.30,47.70,2250.45,75.00,3600,900,8,5545170.00,7,F1,300,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,118864,,INDIAMART,,2025-02-27,2025-02-27,2240.00,PE,INDIAMART25FEB2240PE,0.00,0.00,0.00,144.90,0.00,144.90,2250.45,105.60,0,0,0,0.00,0,F1,300,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,118557,,INDIAMART,,2025-01-30,2025-01-30,2380.00,CE,INDIAMART25JAN2380CE,0.00,0.00,0.00,64.60,0.00,64.60,2250.45,41.40,0,0,0,0.00,0,F1,300,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,101442,,INDIAMART,,2025-01-30,2025-01-30,1900.00,PE,INDIAMART25JAN1900PE,0.40,4.05,0.40,3.70,3.80,2.05,2250.45,3.70,111600,-21900,547,312221520.00,372,F1,300,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,118867,,INDIAMART,,2025-02-27,2025-02-27,2280.00,CE,INDIAMART25FEB2280CE,0.00,0.00,0.00,146.15,0.00,146.15,2250.45,119.35,0,0,0,0.00,0,F1,300,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,118542,,INDIAMART,,2025-01-30,2025-01-30,2220.00,CE,INDIAMART25JAN2220CE,0.00,0.00,0.00,94.75,94.75,94.75,2250.45,107.35,1500,0,0,0.00,0,F1,300,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,118566,,INDIAMART,,2025-01-30,2025-01-30,2460.00,PE,INDIAMART25JAN2460PE,0.00,0.00,0.00,255.15,0.00,255.15,2250.45,220.65,0,0,0,0.00,0,F1,300,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,118543,,INDIAMART,,2025-01-30,2025-01-30,2220.00,PE,INDIAMART25JAN2220PE,0.00,0.00,0.00,46.90,46.90,46.90,2250.45,65.85,1500,0,0,0.00,0,F1,300,,,,,
