TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-01-03,2025-01-03,FO,NSE,STO,94733,,IRB,,2025-01-30,2025-01-30,63.00,CE,IRB25JAN63CE,1.35,1.70,1.20,1.45,1.50,1.40,60.31,1.45,2039750,430500,285,188494425.00,233,F1,10250,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,94910,,IRB,,2025-02-27,2025-02-27,68.00,CE,IRB25FEB68CE,0.00,0.00,0.00,2.35,0.00,2.35,60.31,1.95,0,0,0,0.00,0,F1,10250,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,121609,,IRB,,2025-02-27,2025-02-27,49.00,PE,IRB25FEB49PE,0.00,0.00,0.00,2.10,0.00,2.10,60.31,0.55,0,0,0,0.00,0,F1,10250,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,94534,,IRB,,2025-01-30,2025-01-30,49.00,CE,IRB25JAN49CE,0.00,0.00,0.00,8.05,0.00,8.05,60.31,11.70,0,0,0,0.00,0,F1,10250,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,94743,,IRB,,2025-01-30,2025-01-30,66.00,PE,IRB25JAN66PE,0.00,0.00,0.00,13.30,0.00,13.30,60.31,6.60,0,0,0,0.00,0,F1,10250,,,,,
2025-01-03,2025-01-03,FO,NSE,STF,40481,,IRB,,2025-03-27,2025-03-27,,,IRB25MARFUT,60.95,61.60,60.95,61.60,61.60,60.95,60.31,61.24,174250,71750,7,4381772.50,6,F1,10250,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,94817,,IRB,,2025-02-27,2025-02-27,54.00,PE,IRB25FEB54PE,0.00,0.00,0.00,5.95,0.00,5.95,60.31,1.60,0,0,0,0.00,0,F1,10250,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,121749,,IRB,,2025-03-27,2025-03-27,54.00,PE,IRB25MAR54PE,0.00,0.00,0.00,4.90,0.00,4.90,60.31,2.25,0,0,0,0.00,0,F1,10250,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,94816,,IRB,,2025-02-27,2025-02-27,54.00,CE,IRB25FEB54CE,0.00,0.00,0.00,6.55,0.00,6.55,60.31,8.45,0,0,0,0.00,0,F1,10250,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,94909,,IRB,,2025-02-27,2025-02-27,66.00,PE,IRB25FEB66PE,0.00,0.00,0.00,13.90,0.00,13.90,60.31,7.50,0,0,0,0.00,0,F1,10250,,,,,
