TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-01-03,2025-01-03,FO,NSE,STO,103019,,LALPATHLAB,,2025-02-27,2025-02-27,3100.00,PE,LALPATHLAB25FEB3100PE,0.00,0.00,0.00,235.90,0.00,235.90,2944.65,200.75,0,0,0,0.00,0,F1,150,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,106078,,LALPATHLAB,,2025-01-30,2025-01-30,3100.00,CE,LALPATHLAB25JAN3100CE,48.50,57.65,23.65,28.95,28.00,46.35,2944.65,28.95,36000,5700,716,336480787.50,555,F1,150,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,102945,,LALPATHLAB,,2025-01-30,2025-01-30,3050.00,CE,LALPATHLAB25JAN3050CE,66.35,79.00,33.90,40.45,40.00,65.00,2944.65,40.45,26100,-4650,523,242940525.00,423,F1,150,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,125688,,LALPATHLAB,,2025-02-27,2025-02-27,3050.00,CE,LALPATHLAB25FEB3050CE,0.00,0.00,0.00,138.20,0.00,138.20,2944.65,94.55,0,0,0,0.00,0,F1,150,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,106077,,LALPATHLAB,,2025-01-30,2025-01-30,3000.00,PE,LALPATHLAB25JAN3000PE,55.10,127.05,54.80,100.75,106.10,68.70,2944.65,100.75,43500,-450,418,193981237.50,370,F1,150,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,103029,,LALPATHLAB,,2025-02-27,2025-02-27,3600.00,PE,LALPATHLAB25FEB3600PE,0.00,0.00,0.00,599.20,0.00,599.20,2944.65,624.35,0,0,0,0.00,0,F1,150,,,,,
2025-01-03,2025-01-03,FO,NSE,STF,41097,,LALPATHLAB,,2025-01-30,2025-01-30,,,LALPATHLAB25JANFUT,3024.30,3054.95,2917.85,2954.00,2947.95,3020.25,2944.65,2954.00,711000,33300,1955,871932352.50,1798,F1,150,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,102924,,LALPATHLAB,,2025-01-30,2025-01-30,2850.00,PE,LALPATHLAB25JAN2850PE,27.00,49.55,25.50,37.30,39.75,20.90,2944.65,37.30,11850,3150,171,74058652.50,147,F1,150,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,102923,,LALPATHLAB,,2025-01-30,2025-01-30,2850.00,CE,LALPATHLAB25JAN2850CE,143.90,143.90,129.45,132.00,132.00,160.60,2944.65,152.20,1050,600,15,6716287.50,14,F1,150,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,125684,,LALPATHLAB,,2025-02-27,2025-02-27,2850.00,PE,LALPATHLAB25FEB2850PE,0.00,0.00,0.00,99.30,0.00,99.30,2944.65,72.00,0,0,0,0.00,0,F1,150,,,,,
