TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-01-03,2025-01-03,FO,NSE,STO,120106,,NTPC,,2025-01-30,2025-01-30,420.00,CE,NTPC25JAN420CE,0.15,0.20,0.15,0.15,0.15,0.15,339.85,0.05,270000,-21000,43,27100125.00,25,F1,1500,,,,,
2025-01-03,2025-01-03,FO,NSE,STF,40369,,NTPC,,2025-02-27,2025-02-27,,,NTPC25FEBFUT,340.05,345.45,339.00,341.90,341.75,339.45,339.85,341.90,2578500,105000,426,218952900.00,369,F1,1500,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,135321,,NTPC,,2025-02-27,2025-02-27,315.00,PE,NTPC25FEB315PE,0.00,0.00,0.00,5.75,5.60,5.75,339.85,4.65,100500,0,0,0.00,0,F1,1500,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,135589,,NTPC,,2025-03-27,2025-03-27,350.00,PE,NTPC25MAR350PE,0.00,0.00,0.00,28.45,0.00,28.45,339.85,21.30,0,0,0,0.00,0,F1,1500,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,117802,,NTPC,,2025-02-27,2025-02-27,350.00,PE,NTPC25FEB350PE,0.00,0.00,0.00,17.05,0.00,17.05,339.85,18.90,0,0,0,0.00,0,F1,1500,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,135588,,NTPC,,2025-03-27,2025-03-27,350.00,CE,NTPC25MAR350CE,0.00,0.00,0.00,19.40,0.00,19.40,339.85,16.50,0,0,0,0.00,0,F1,1500,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,117806,,NTPC,,2025-02-27,2025-02-27,370.00,PE,NTPC25FEB370PE,0.00,0.00,0.00,26.50,0.00,26.50,339.85,32.40,0,0,0,0.00,0,F1,1500,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,117703,,NTPC,,2025-01-30,2025-01-30,415.00,PE,NTPC25JAN415PE,0.00,0.00,0.00,76.00,76.00,76.00,339.85,73.15,1500,0,0,0.00,0,F1,1500,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,117688,,NTPC,,2025-01-30,2025-01-30,345.00,CE,NTPC25JAN345CE,5.10,7.80,4.90,6.40,6.20,4.95,339.85,6.40,6411000,90000,6834,3603941700.00,5325,F1,1500,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,117734,,NTPC,,2025-02-27,2025-02-27,300.00,CE,NTPC25FEB300CE,0.00,0.00,0.00,71.10,0.00,71.10,339.85,44.85,0,0,0,0.00,0,F1,1500,,,,,
