TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-01-03,2025-01-03,FO,NSE,STO,127262,,RAMCOCEM,,2025-02-27,2025-02-27,940.00,CE,RAMCOCEM25FEB940CE,0.00,0.00,0.00,87.95,0.00,87.95,985.70,72.50,0,0,0,0.00,0,F1,850,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,147339,,RAMCOCEM,,2025-03-27,2025-03-27,940.00,PE,RAMCOCEM25MAR940PE,0.00,0.00,0.00,36.60,0.00,36.60,985.70,23.45,0,0,0,0.00,0,F1,850,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,127214,,RAMCOCEM,,2025-01-30,2025-01-30,1020.00,PE,RAMCOCEM25JAN1020PE,45.40,45.40,45.40,45.40,45.40,52.35,985.70,45.40,6800,-1700,2,1811180.00,2,F1,850,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,127307,,RAMCOCEM,,2025-02-27,2025-02-27,1020.00,CE,RAMCOCEM25FEB1020CE,0.00,0.00,0.00,48.40,0.00,48.40,985.70,29.55,0,0,0,0.00,0,F1,850,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,127213,,RAMCOCEM,,2025-01-30,2025-01-30,1020.00,CE,RAMCOCEM25JAN1020CE,13.25,15.50,12.15,12.90,12.65,13.45,985.70,12.90,64600,-15300,194,170436730.00,186,F1,850,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,126976,,RAMCOCEM,,2025-01-30,2025-01-30,890.00,PE,RAMCOCEM25JAN890PE,2.30,2.40,1.65,2.35,2.35,2.50,985.70,1.95,49300,1700,27,20474290.00,26,F1,850,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,147250,,RAMCOCEM,,2025-02-27,2025-02-27,890.00,CE,RAMCOCEM25FEB890CE,0.00,0.00,0.00,112.20,0.00,112.20,985.70,111.15,0,0,0,0.00,0,F1,850,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,127304,,RAMCOCEM,,2025-02-27,2025-02-27,980.00,PE,RAMCOCEM25FEB980PE,0.00,0.00,0.00,38.70,38.70,38.70,985.70,32.30,850,0,0,0.00,0,F1,850,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,147352,,RAMCOCEM,,2025-03-27,2025-03-27,1080.00,CE,RAMCOCEM25MAR1080CE,0.00,0.00,0.00,30.50,0.00,30.50,985.70,21.25,0,0,0,0.00,0,F1,850,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,147353,,RAMCOCEM,,2025-03-27,2025-03-27,1080.00,PE,RAMCOCEM25MAR1080PE,0.00,0.00,0.00,114.45,0.00,114.45,985.70,99.10,0,0,0,0.00,0,F1,850,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,127314,,RAMCOCEM,,2025-02-27,2025-02-27,1080.00,PE,RAMCOCEM25FEB1080PE,0.00,0.00,0.00,114.50,0.00,114.50,985.70,95.95,0,0,0,0.00,0,F1,850,,,,,
2025-01-03,2025-01-03,FO,NSE,STF,42490,,RAMCOCEM,,2025-01-30,2025-01-30,,,RAMCOCEM25JANFUT,985.00,997.95,977.20,988.95,987.40,989.55,985.70,988.95,6025650,-122400,1234,1038389792.50,1140,F1,850,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,127201,,RAMCOCEM,,2025-01-30,2025-01-30,920.00,CE,RAMCOCEM25JAN920CE,71.80,75.65,71.80,75.65,75.65,64.40,985.70,75.50,11050,0,2,1689332.50,2,F1,850,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,127235,,RAMCOCEM,,2025-02-27,2025-02-27,820.00,PE,RAMCOCEM25FEB820PE,0.00,0.00,0.00,7.10,0.00,7.10,985.70,1.00,0,0,0,0.00,0,F1,850,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,127189,,RAMCOCEM,,2025-01-30,2025-01-30,820.00,CE,RAMCOCEM25JAN820CE,0.00,0.00,0.00,101.90,0.00,101.90,985.70,169.85,0,0,0,0.00,0,F1,850,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,127000,,RAMCOCEM,,2025-01-30,2025-01-30,970.00,PE,RAMCOCEM25JAN970PE,17.45,17.90,13.30,17.05,16.80,16.90,985.70,17.05,73100,0,116,97270940.00,85,F1,850,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,147259,,RAMCOCEM,,2025-02-27,2025-02-27,970.00,PE,RAMCOCEM25FEB970PE,0.00,0.00,0.00,41.70,0.00,41.70,985.70,28.00,0,0,0,0.00,0,F1,850,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,126995,,RAMCOCEM,,2025-01-30,2025-01-30,970.00,CE,RAMCOCEM25JAN970CE,35.00,40.30,35.00,37.75,37.75,35.80,985.70,39.15,113050,0,10,8555420.00,10,F1,850,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,147258,,RAMCOCEM,,2025-02-27,2025-02-27,970.00,CE,RAMCOCEM25FEB970CE,0.00,0.00,0.00,60.45,0.00,60.45,985.70,53.50,0,0,0,0.00,0,F1,850,,,,,
