TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-01-03,2025-01-03,FO,NSE,STO,146207,,ZOMATO,,2025-01-30,2025-01-30,300.00,PE,ZOMATO25JAN300PE,20.00,28.90,19.15,28.15,28.60,19.40,272.85,28.15,1938000,104000,170,109972100.00,157,F1,2000,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,152931,,ZOMATO,,2025-02-27,2025-02-27,325.00,PE,ZOMATO25FEB325PE,0.00,0.00,0.00,54.80,0.00,54.80,272.85,52.35,0,0,0,0.00,0,F1,2000,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,152930,,ZOMATO,,2025-02-27,2025-02-27,325.00,CE,ZOMATO25FEB325CE,0.00,0.00,0.00,7.10,0.00,7.10,272.85,3.45,0,0,0,0.00,0,F1,2000,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,146221,,ZOMATO,,2025-01-30,2025-01-30,335.00,PE,ZOMATO25JAN335PE,0.00,0.00,0.00,60.80,60.80,60.80,272.85,60.90,4000,0,0,0.00,0,F1,2000,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,146215,,ZOMATO,,2025-01-30,2025-01-30,320.00,PE,ZOMATO25JAN320PE,36.30,40.90,36.30,40.90,40.90,40.95,272.85,46.70,54000,4000,4,2864700.00,4,F1,2000,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,146266,,ZOMATO,,2025-02-27,2025-02-27,280.00,CE,ZOMATO25FEB280CE,19.85,19.85,14.80,14.95,14.90,19.80,272.85,14.95,60000,10000,19,11258000.00,19,F1,2000,,,,,
2025-01-03,2025-01-03,FO,NSE,STF,43451,,ZOMATO,,2025-03-27,2025-03-27,,,ZOMATO25MARFUT,288.35,288.35,276.90,277.45,276.90,288.75,272.85,277.45,144000,54000,47,26488600.00,43,F1,2000,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,146274,,ZOMATO,,2025-02-27,2025-02-27,320.00,CE,ZOMATO25FEB320CE,0.00,0.00,0.00,17.35,0.00,17.35,272.85,4.15,0,0,0,0.00,0,F1,2000,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,152970,,ZOMATO,,2025-03-27,2025-03-27,320.00,CE,ZOMATO25MAR320CE,0.00,0.00,0.00,12.25,0.00,12.25,272.85,7.35,0,0,0,0.00,0,F1,2000,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,146220,,ZOMATO,,2025-01-30,2025-01-30,335.00,CE,ZOMATO25JAN335CE,0.75,0.75,0.45,0.45,0.45,0.70,272.85,0.45,720000,96000,79,53022600.00,76,F1,2000,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,146275,,ZOMATO,,2025-02-27,2025-02-27,320.00,PE,ZOMATO25FEB320PE,0.00,0.00,0.00,45.45,0.00,45.45,272.85,48.05,0,0,0,0.00,0,F1,2000,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,152926,,ZOMATO,,2025-02-27,2025-02-27,305.00,CE,ZOMATO25FEB305CE,0.00,0.00,0.00,11.60,0.00,11.60,272.85,7.00,0,0,0,0.00,0,F1,2000,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,146204,,ZOMATO,,2025-01-30,2025-01-30,295.00,CE,ZOMATO25JAN295CE,6.10,6.55,3.20,3.40,3.30,6.05,272.85,3.40,1464000,472000,1576,944073800.00,1179,F1,2000,,,,,
2025-01-03,2025-01-03,FO,NSE,STF,41603,,ZOMATO,,2025-02-27,2025-02-27,,,ZOMATO25FEBFUT,286.10,287.30,275.00,275.95,275.45,286.80,272.85,275.95,2336000,272000,527,295309800.00,500,F1,2000,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,146184,,ZOMATO,,2025-01-30,2025-01-30,245.00,CE,ZOMATO25JAN245CE,39.20,39.20,35.25,35.30,35.30,36.00,272.85,31.30,30000,-8000,5,2818100.00,5,F1,2000,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,146196,,ZOMATO,,2025-01-30,2025-01-30,275.00,CE,ZOMATO25JAN275CE,16.00,16.55,9.65,10.05,9.90,15.90,272.85,10.05,2178000,432000,1167,669508000.00,1077,F1,2000,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,146203,,ZOMATO,,2025-01-30,2025-01-30,290.00,PE,ZOMATO25JAN290PE,13.30,21.05,12.65,20.25,20.70,12.90,272.85,20.25,1570000,78000,370,226177400.00,351,F1,2000,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,146268,,ZOMATO,,2025-02-27,2025-02-27,290.00,CE,ZOMATO25FEB290CE,11.65,11.65,11.45,11.45,11.45,28.55,272.85,11.45,2000,2000,2,1206200.00,2,F1,2000,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,146211,,ZOMATO,,2025-01-30,2025-01-30,310.00,PE,ZOMATO25JAN310PE,27.70,28.75,27.70,28.70,28.70,27.25,272.85,37.70,262000,6000,5,3385000.00,4,F1,2000,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,146265,,ZOMATO,,2025-02-27,2025-02-27,270.00,PE,ZOMATO25FEB270PE,0.00,0.00,0.00,9.00,9.00,9.00,272.85,14.20,20000,0,0,0.00,0,F1,2000,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,152961,,ZOMATO,,2025-03-27,2025-03-27,270.00,PE,ZOMATO25MAR270PE,0.00,0.00,0.00,11.85,11.50,11.85,272.85,17.30,2000,0,0,0.00,0,F1,2000,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,152969,,ZOMATO,,2025-03-27,2025-03-27,310.00,PE,ZOMATO25MAR310PE,0.00,0.00,0.00,46.00,0.00,46.00,272.85,42.00,0,0,0,0.00,0,F1,2000,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,146273,,ZOMATO,,2025-02-27,2025-02-27,310.00,PE,ZOMATO25FEB310PE,0.00,0.00,0.00,38.90,0.00,38.90,272.85,39.90,0,0,0,0.00,0,F1,2000,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,146272,,ZOMATO,,2025-02-27,2025-02-27,310.00,CE,ZOMATO25FEB310CE,5.50,5.50,5.50,5.50,5.50,8.00,272.85,5.50,4000,2000,1,631000.00,1,F1,2000,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,146210,,ZOMATO,,2025-01-30,2025-01-30,310.00,CE,ZOMATO25JAN310CE,2.55,2.85,1.30,1.45,1.30,2.55,272.85,1.45,2428000,240000,1210,754880700.00,809,F1,2000,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,152968,,ZOMATO,,2025-03-27,2025-03-27,310.00,CE,ZOMATO25MAR310CE,0.00,0.00,0.00,14.80,0.00,14.80,272.85,9.55,0,0,0,0.00,0,F1,2000,,,,,
2025-01-03,2025-01-03,FO,NSE,STO,152959,,ZOMATO,,2025-03-27,2025-03-27,260.00,PE,ZOMATO25MAR260PE,0.00,0.00,0.00,17.35,0.00,17.35,272.85,12.90,0,0,0,0.00,0,F1,2000,,,,,
