TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-01-06,2025-01-06,FO,NSE,STO,72273,,APOLLOTYRE,,2025-01-30,2025-01-30,460.00,CE,APOLLOTYRE25JAN460CE,0.00,0.00,0.00,66.80,0.00,66.80,500.75,44.80,0,0,0,0.00,0,F1,1700,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,61711,,APOLLOTYRE,,2025-02-27,2025-02-27,460.00,PE,APOLLOTYRE25FEB460PE,0.00,0.00,0.00,12.80,0.00,12.80,500.75,5.65,0,0,0,0.00,0,F1,1700,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,74285,,APOLLOTYRE,,2025-02-27,2025-02-27,510.00,CE,APOLLOTYRE25FEB510CE,0.00,0.00,0.00,29.75,29.75,29.75,500.75,19.90,1700,0,0,0.00,0,F1,1700,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,61676,,APOLLOTYRE,,2025-01-30,2025-01-30,510.00,CE,APOLLOTYRE25JAN510CE,16.00,16.00,8.05,8.60,8.75,15.65,500.75,8.60,333200,195500,855,757731735.00,708,F1,1700,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,74284,,APOLLOTYRE,,2025-02-27,2025-02-27,490.00,PE,APOLLOTYRE25FEB490PE,0.00,0.00,0.00,9.20,0.00,9.20,500.75,14.75,0,0,0,0.00,0,F1,1700,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,61681,,APOLLOTYRE,,2025-01-30,2025-01-30,550.00,PE,APOLLOTYRE25JAN550PE,42.85,53.80,42.85,53.80,53.80,36.60,500.75,53.80,132600,-8500,16,16185955.00,12,F1,1700,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,61713,,APOLLOTYRE,,2025-02-27,2025-02-27,480.00,PE,APOLLOTYRE25FEB480PE,0.00,0.00,0.00,19.05,0.00,19.05,500.75,11.05,0,0,0,0.00,0,F1,1700,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,61670,,APOLLOTYRE,,2025-01-30,2025-01-30,450.00,CE,APOLLOTYRE25JAN450CE,0.00,0.00,0.00,72.90,0.00,72.90,500.75,53.80,0,0,0,0.00,0,F1,1700,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,61671,,APOLLOTYRE,,2025-01-30,2025-01-30,450.00,PE,APOLLOTYRE25JAN450PE,1.05,2.05,1.00,1.90,1.85,6.85,500.75,1.90,56100,56100,178,136608685.00,155,F1,1700,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,74279,,APOLLOTYRE,,2025-02-27,2025-02-27,450.00,CE,APOLLOTYRE25FEB450CE,0.00,0.00,0.00,100.70,0.00,100.70,500.75,58.90,0,0,0,0.00,0,F1,1700,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,61675,,APOLLOTYRE,,2025-01-30,2025-01-30,490.00,PE,APOLLOTYRE25JAN490PE,5.90,11.30,5.00,10.75,10.50,5.75,500.75,10.75,243100,-263500,918,778319415.00,889,F1,1700,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,74283,,APOLLOTYRE,,2025-02-27,2025-02-27,490.00,CE,APOLLOTYRE25FEB490CE,0.00,0.00,0.00,67.60,0.00,67.60,500.75,30.15,0,0,0,0.00,0,F1,1700,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,72270,,APOLLOTYRE,,2025-01-30,2025-01-30,440.00,CE,APOLLOTYRE25JAN440CE,0.00,0.00,0.00,81.45,0.00,81.45,500.75,63.20,0,0,0,0.00,0,F1,1700,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,74420,,APOLLOTYRE,,2025-03-27,2025-03-27,440.00,CE,APOLLOTYRE25MAR440CE,0.00,0.00,0.00,114.05,0.00,114.05,500.75,71.95,0,0,0,0.00,0,F1,1700,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,61717,,APOLLOTYRE,,2025-02-27,2025-02-27,520.00,PE,APOLLOTYRE25FEB520PE,0.00,0.00,0.00,16.00,16.00,16.00,500.75,30.10,1700,0,0,0.00,0,F1,1700,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,61682,,APOLLOTYRE,,2025-01-30,2025-01-30,570.00,CE,APOLLOTYRE25JAN570CE,1.55,1.55,0.75,0.85,0.85,1.45,500.75,0.85,442000,-100300,383,371736025.00,297,F1,1700,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,72306,,APOLLOTYRE,,2025-01-30,2025-01-30,600.00,CE,APOLLOTYRE25JAN600CE,0.50,0.55,0.35,0.40,0.45,0.60,500.75,0.40,833000,-10200,62,63285900.00,51,F1,1700,,,,,
