TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-01-06,2025-01-06,FO,NSE,STO,63038,,ATUL,,2025-02-27,2025-02-27,6400.00,PE,ATUL25FEB6400PE,0.00,0.00,0.00,111.95,0.00,111.95,6805.00,93.15,0,0,0,0.00,0,F1,100,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,74030,,ATUL,,2025-01-30,2025-01-30,6800.00,CE,ATUL25JAN6800CE,0.00,0.00,0.00,332.85,332.85,332.85,6805.00,202.85,500,0,0,0.00,0,F1,100,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,63049,,ATUL,,2025-02-27,2025-02-27,7600.00,CE,ATUL25FEB7600CE,0.00,0.00,0.00,355.15,0.00,355.15,6805.00,59.40,0,0,0,0.00,0,F1,100,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,63044,,ATUL,,2025-02-27,2025-02-27,7000.00,PE,ATUL25FEB7000PE,0.00,0.00,0.00,292.40,0.00,292.40,6805.00,343.90,0,0,0,0.00,0,F1,100,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,74032,,ATUL,,2025-01-30,2025-01-30,7000.00,CE,ATUL25JAN7000CE,176.00,232.50,150.00,157.00,162.00,176.00,6805.00,157.00,21700,5300,471,338746895.00,400,F1,100,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,63036,,ATUL,,2025-02-27,2025-02-27,6200.00,PE,ATUL25FEB6200PE,0.00,0.00,0.00,75.60,0.00,75.60,6805.00,51.75,0,0,0,0.00,0,F1,100,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,74020,,ATUL,,2025-01-30,2025-01-30,5800.00,CE,ATUL25JAN5800CE,0.00,0.00,0.00,2154.30,0.00,2154.30,6805.00,1031.85,0,0,0,0.00,0,F1,100,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,63033,,ATUL,,2025-02-27,2025-02-27,6000.00,CE,ATUL25FEB6000CE,0.00,0.00,0.00,1381.55,0.00,1381.55,6805.00,888.60,0,0,0,0.00,0,F1,100,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,62987,,ATUL,,2025-01-30,2025-01-30,7300.00,CE,ATUL25JAN7300CE,86.05,86.10,75.65,75.65,75.65,98.70,6805.00,42.80,1100,400,12,8857815.00,11,F1,100,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,77400,,ATUL,,2025-02-27,2025-02-27,6900.00,PE,ATUL25FEB6900PE,0.00,0.00,0.00,243.15,0.00,243.15,6805.00,287.90,0,0,0,0.00,0,F1,100,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,74038,,ATUL,,2025-01-30,2025-01-30,7600.00,CE,ATUL25JAN7600CE,37.00,37.00,37.00,37.00,37.00,39.15,6805.00,12.65,600,0,1,763700.00,1,F1,100,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,74027,,ATUL,,2025-01-30,2025-01-30,6400.00,PE,ATUL25JAN6400PE,67.25,67.25,66.00,66.00,66.00,48.45,6805.00,66.00,1100,-400,7,4526575.00,3,F1,100,,,,,
