TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-01-06,2025-01-06,FO,NSE,STO,66858,,BHARATFORG,,2025-01-30,2025-01-30,1220.00,PE,BHARATFORG25JAN1220PE,9.60,21.85,9.50,19.40,19.90,10.10,1260.70,19.40,66000,20000,221,136596725.00,203,F1,500,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,67026,,BHARATFORG,,2025-02-27,2025-02-27,1520.00,PE,BHARATFORG25FEB1520PE,0.00,0.00,0.00,209.85,0.00,209.85,1260.70,249.60,0,0,0,0.00,0,F1,500,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,66859,,BHARATFORG,,2025-01-30,2025-01-30,1260.00,CE,BHARATFORG25JAN1260CE,55.00,55.45,34.30,38.65,38.25,60.30,1260.70,38.65,189500,168500,771,501742925.00,442,F1,500,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,66996,,BHARATFORG,,2025-02-27,2025-02-27,1080.00,PE,BHARATFORG25FEB1080PE,0.00,0.00,0.00,14.05,0.00,14.05,1260.70,5.25,0,0,0,0.00,0,F1,500,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,66871,,BHARATFORG,,2025-01-30,2025-01-30,1340.00,CE,BHARATFORG25JAN1340CE,22.05,22.05,9.80,11.25,11.40,20.70,1260.70,11.25,391000,57500,995,673633975.00,819,F1,500,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,85914,,BHARATFORG,,2025-02-27,2025-02-27,1220.00,PE,BHARATFORG25FEB1220PE,0.00,0.00,0.00,36.25,0.00,36.25,1260.70,35.95,0,0,0,0.00,0,F1,500,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,79982,,BHARATFORG,,2025-01-30,2025-01-30,1160.00,PE,BHARATFORG25JAN1160PE,3.55,7.80,3.55,7.00,7.05,3.30,1260.70,7.00,59000,11500,192,111923050.00,180,F1,500,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,80181,,BHARATFORG,,2025-01-30,2025-01-30,1600.00,PE,BHARATFORG25JAN1600PE,0.00,0.00,0.00,290.00,290.00,290.00,1260.70,332.30,41500,0,0,0.00,0,F1,500,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,80152,,BHARATFORG,,2025-01-30,2025-01-30,1400.00,PE,BHARATFORG25JAN1400PE,101.40,144.05,101.40,137.45,137.45,99.00,1260.70,138.60,113000,-3000,13,9977825.00,13,F1,500,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,79991,,BHARATFORG,,2025-01-30,2025-01-30,1280.00,CE,BHARATFORG25JAN1280CE,48.35,48.35,25.70,29.20,28.85,49.05,1260.70,29.20,198500,107500,1087,713846150.00,801,F1,500,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,86067,,BHARATFORG,,2025-03-27,2025-03-27,1280.00,PE,BHARATFORG25MAR1280PE,0.00,0.00,0.00,71.25,0.00,71.25,1260.70,74.30,0,0,0,0.00,0,F1,500,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,66884,,BHARATFORG,,2025-01-30,2025-01-30,1460.00,PE,BHARATFORG25JAN1460PE,0.00,0.00,0.00,129.00,129.00,129.00,1260.70,194.55,1000,0,0,0.00,0,F1,500,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,86065,,BHARATFORG,,2025-03-27,2025-03-27,1240.00,PE,BHARATFORG25MAR1240PE,0.00,0.00,0.00,55.05,0.00,55.05,1260.70,55.10,0,0,0,0.00,0,F1,500,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,79989,,BHARATFORG,,2025-01-30,2025-01-30,1240.00,CE,BHARATFORG25JAN1240CE,64.45,69.20,45.00,49.35,48.60,76.50,1260.70,49.35,26500,20000,85,54809200.00,60,F1,500,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,67014,,BHARATFORG,,2025-02-27,2025-02-27,1360.00,CE,BHARATFORG25FEB1360CE,0.00,0.00,0.00,100.10,0.00,100.10,1260.70,27.95,0,0,0,0.00,0,F1,500,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,80149,,BHARATFORG,,2025-01-30,2025-01-30,1360.00,CE,BHARATFORG25JAN1360CE,16.75,16.75,7.20,8.20,8.20,15.00,1260.70,8.20,233500,33500,1169,800694875.00,943,F1,500,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,66866,,BHARATFORG,,2025-01-30,2025-01-30,1300.00,PE,BHARATFORG25JAN1300PE,35.90,63.10,32.90,58.50,58.05,35.95,1260.70,58.50,280500,26000,631,424655025.00,515,F1,500,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,85918,,BHARATFORG,,2025-02-27,2025-02-27,1300.00,PE,BHARATFORG25FEB1300PE,0.00,0.00,0.00,67.45,0.00,67.45,1260.70,74.75,0,0,0,0.00,0,F1,500,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,86068,,BHARATFORG,,2025-03-27,2025-03-27,1320.00,CE,BHARATFORG25MAR1320CE,0.00,0.00,0.00,108.05,0.00,108.05,1260.70,56.95,0,0,0,0.00,0,F1,500,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,67011,,BHARATFORG,,2025-02-27,2025-02-27,1320.00,CE,BHARATFORG25FEB1320CE,0.00,0.00,0.00,119.05,0.00,119.05,1260.70,40.30,0,0,0,0.00,0,F1,500,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,67002,,BHARATFORG,,2025-02-27,2025-02-27,1200.00,CE,BHARATFORG25FEB1200CE,0.00,0.00,0.00,190.60,0.00,190.60,1260.70,101.10,0,0,0,0.00,0,F1,500,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,85917,,BHARATFORG,,2025-02-27,2025-02-27,1300.00,CE,BHARATFORG25FEB1300CE,0.00,0.00,0.00,98.00,0.00,98.00,1260.70,47.85,0,0,0,0.00,0,F1,500,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,85926,,BHARATFORG,,2025-02-27,2025-02-27,1420.00,PE,BHARATFORG25FEB1420PE,0.00,0.00,0.00,136.60,0.00,136.60,1260.70,161.00,0,0,0,0.00,0,F1,500,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,66853,,BHARATFORG,,2025-01-30,2025-01-30,1180.00,CE,BHARATFORG25JAN1180CE,103.15,103.15,86.75,91.70,90.05,187.60,1260.70,91.70,2500,2500,7,4458775.00,7,F1,500,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,80177,,BHARATFORG,,2025-01-30,2025-01-30,1560.00,PE,BHARATFORG25JAN1560PE,0.00,0.00,0.00,229.00,229.00,229.00,1260.70,292.55,1000,0,0,0.00,0,F1,500,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,85915,,BHARATFORG,,2025-02-27,2025-02-27,1260.00,CE,BHARATFORG25FEB1260CE,0.00,0.00,0.00,120.35,0.00,120.35,1260.70,66.00,0,0,0,0.00,0,F1,500,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,66860,,BHARATFORG,,2025-01-30,2025-01-30,1260.00,PE,BHARATFORG25JAN1260PE,24.30,39.00,21.90,34.70,35.75,19.80,1260.70,34.70,107000,10000,506,326746050.00,466,F1,500,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,67006,,BHARATFORG,,2025-02-27,2025-02-27,1240.00,CE,BHARATFORG25FEB1240CE,0.00,0.00,0.00,164.25,0.00,164.25,1260.70,76.65,0,0,0,0.00,0,F1,500,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,80148,,BHARATFORG,,2025-01-30,2025-01-30,1320.00,PE,BHARATFORG25JAN1320PE,43.30,78.20,43.10,72.40,72.30,46.80,1260.70,72.40,149000,-30000,179,123893025.00,176,F1,500,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,86069,,BHARATFORG,,2025-03-27,2025-03-27,1320.00,PE,BHARATFORG25MAR1320PE,0.00,0.00,0.00,89.95,0.00,89.95,1260.70,96.85,0,0,0,0.00,0,F1,500,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,66997,,BHARATFORG,,2025-02-27,2025-02-27,1120.00,CE,BHARATFORG25FEB1120CE,0.00,0.00,0.00,249.95,0.00,249.95,1260.70,161.50,0,0,0,0.00,0,F1,500,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,86059,,BHARATFORG,,2025-03-27,2025-03-27,1120.00,PE,BHARATFORG25MAR1120PE,0.00,0.00,0.00,21.35,0.00,21.35,1260.70,17.30,0,0,0,0.00,0,F1,500,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,66999,,BHARATFORG,,2025-02-27,2025-02-27,1120.00,PE,BHARATFORG25FEB1120PE,0.00,0.00,0.00,20.55,0.00,20.55,1260.70,10.05,0,0,0,0.00,0,F1,500,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,67001,,BHARATFORG,,2025-02-27,2025-02-27,1160.00,PE,BHARATFORG25FEB1160PE,0.00,0.00,0.00,29.05,0.00,29.05,1260.70,17.75,0,0,0,0.00,0,F1,500,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,86061,,BHARATFORG,,2025-03-27,2025-03-27,1160.00,PE,BHARATFORG25MAR1160PE,0.00,0.00,0.00,30.35,0.00,30.35,1260.70,26.75,0,0,0,0.00,0,F1,500,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,85928,,BHARATFORG,,2025-02-27,2025-02-27,1460.00,PE,BHARATFORG25FEB1460PE,0.00,0.00,0.00,165.00,0.00,165.00,1260.70,195.20,0,0,0,0.00,0,F1,500,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,66881,,BHARATFORG,,2025-01-30,2025-01-30,1460.00,CE,BHARATFORG25JAN1460CE,2.05,2.40,1.60,1.65,1.60,3.10,1260.70,1.65,48500,500,72,52634000.00,67,F1,500,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,85927,,BHARATFORG,,2025-02-27,2025-02-27,1460.00,CE,BHARATFORG25FEB1460CE,0.00,0.00,0.00,37.55,0.00,37.55,1260.70,9.85,0,0,0,0.00,0,F1,500,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,79992,,BHARATFORG,,2025-01-30,2025-01-30,1280.00,PE,BHARATFORG25JAN1280PE,25.45,49.85,25.00,45.30,46.45,26.95,1260.70,45.30,185000,14000,753,495952575.00,600,F1,500,,,,,
