TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-01-06,2025-01-06,FO,NSE,STO,123438,,JSL,,2025-02-27,2025-02-27,690.00,CE,JSL25FEB690CE,0.00,0.00,0.00,84.50,0.00,84.50,664.15,30.65,0,0,0,0.00,0,F1,775,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,98556,,JSL,,2025-01-30,2025-01-30,600.00,CE,JSL25JAN600CE,0.00,0.00,0.00,101.40,101.40,101.40,664.15,71.45,1550,0,0,0.00,0,F1,775,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,98711,,JSL,,2025-01-30,2025-01-30,750.00,CE,JSL25JAN750CE,3.15,3.70,2.75,2.85,2.90,4.50,664.15,2.85,72850,-2325,79,46111221.25,62,F1,775,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,98685,,JSL,,2025-01-30,2025-01-30,670.00,CE,JSL25JAN670CE,24.00,25.40,21.40,21.40,21.40,30.00,664.15,25.10,6200,0,8,4306985.00,8,F1,775,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,123436,,JSL,,2025-02-27,2025-02-27,670.00,CE,JSL25FEB670CE,0.00,0.00,0.00,97.20,0.00,97.20,664.15,39.20,0,0,0,0.00,0,F1,775,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,98689,,JSL,,2025-01-30,2025-01-30,680.00,CE,JSL25JAN680CE,20.95,21.10,17.40,17.70,17.40,23.90,664.15,17.70,6975,0,10,5418102.50,10,F1,775,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,123623,,JSL,,2025-03-27,2025-03-27,820.00,PE,JSL25MAR820PE,0.00,0.00,0.00,112.15,0.00,112.15,664.15,153.45,0,0,0,0.00,0,F1,775,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,123622,,JSL,,2025-03-27,2025-03-27,820.00,CE,JSL25MAR820CE,0.00,0.00,0.00,40.85,0.00,40.85,664.15,9.65,0,0,0,0.00,0,F1,775,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,98704,,JSL,,2025-01-30,2025-01-30,710.00,PE,JSL25JAN710PE,43.65,55.05,43.65,54.65,54.45,35.15,664.15,54.65,6975,1550,4,2361890.00,3,F1,775,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,98716,,JSL,,2025-01-30,2025-01-30,770.00,PE,JSL25JAN770PE,0.00,0.00,0.00,95.35,0.00,95.35,664.15,104.85,0,0,0,0.00,0,F1,775,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,123443,,JSL,,2025-02-27,2025-02-27,730.00,PE,JSL25FEB730PE,0.00,0.00,0.00,49.55,0.00,49.55,664.15,76.70,0,0,0,0.00,0,F1,775,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,123442,,JSL,,2025-02-27,2025-02-27,730.00,CE,JSL25FEB730CE,0.00,0.00,0.00,62.55,0.00,62.55,664.15,17.85,0,0,0,0.00,0,F1,775,,,,,
2025-01-06,2025-01-06,FO,NSE,STF,39055,,JSL,,2025-01-30,2025-01-30,,,JSL25JANFUT,686.65,686.65,660.80,664.30,664.70,681.00,664.15,664.30,2535800,142600,1233,640195376.25,1107,F1,775,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,98542,,JSL,,2025-01-30,2025-01-30,590.00,CE,JSL25JAN590CE,0.00,0.00,0.00,126.20,0.00,126.20,664.15,80.05,0,0,0,0.00,0,F1,775,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,123434,,JSL,,2025-02-27,2025-02-27,650.00,CE,JSL25FEB650CE,0.00,0.00,0.00,111.05,0.00,111.05,664.15,49.40,0,0,0,0.00,0,F1,775,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,98725,,JSL,,2025-01-30,2025-01-30,820.00,CE,JSL25JAN820CE,0.00,0.00,0.00,1.10,1.10,1.10,664.15,0.55,30225,0,0,0.00,0,F1,775,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,123437,,JSL,,2025-02-27,2025-02-27,670.00,PE,JSL25FEB670PE,0.00,0.00,0.00,24.95,0.00,24.95,664.15,38.65,0,0,0,0.00,0,F1,775,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,98541,,JSL,,2025-01-30,2025-01-30,580.00,PE,JSL25JAN580PE,1.90,3.15,1.50,3.00,3.00,0.90,664.15,3.00,14725,10075,27,12188696.25,24,F1,775,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,98718,,JSL,,2025-01-30,2025-01-30,780.00,PE,JSL25JAN780PE,0.00,0.00,0.00,102.45,0.00,102.45,664.15,114.20,0,0,0,0.00,0,F1,775,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,98540,,JSL,,2025-01-30,2025-01-30,580.00,CE,JSL25JAN580CE,0.00,0.00,0.00,134.05,0.00,134.05,664.15,89.00,0,0,0,0.00,0,F1,775,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,98863,,JSL,,2025-02-27,2025-02-27,580.00,PE,JSL25FEB580PE,0.00,0.00,0.00,16.75,0.00,16.75,664.15,7.75,0,0,0,0.00,0,F1,775,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,98577,,JSL,,2025-01-30,2025-01-30,640.00,PE,JSL25JAN640PE,9.75,15.10,8.90,14.95,15.10,8.30,664.15,14.95,79050,21700,121,61148507.50,69,F1,775,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,98570,,JSL,,2025-01-30,2025-01-30,640.00,CE,JSL25JAN640CE,0.00,0.00,0.00,90.55,0.00,90.55,664.15,41.65,0,0,0,0.00,0,F1,775,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,98682,,JSL,,2025-01-30,2025-01-30,660.00,PE,JSL25JAN660PE,15.75,21.55,14.55,21.05,21.05,13.95,664.15,22.95,22475,-1550,37,19427390.00,27,F1,775,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,98837,,JSL,,2025-02-27,2025-02-27,580.00,CE,JSL25FEB580CE,0.00,0.00,0.00,143.25,0.00,143.25,664.15,97.45,0,0,0,0.00,0,F1,775,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,123432,,JSL,,2025-02-27,2025-02-27,630.00,CE,JSL25FEB630CE,0.00,0.00,0.00,125.85,0.00,125.85,664.15,61.20,0,0,0,0.00,0,F1,775,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,98881,,JSL,,2025-02-27,2025-02-27,660.00,CE,JSL25FEB660CE,0.00,0.00,0.00,90.55,0.00,90.55,664.15,44.10,0,0,0,0.00,0,F1,775,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,123448,,JSL,,2025-02-27,2025-02-27,750.00,CE,JSL25FEB750CE,0.00,0.00,0.00,53.25,0.00,53.25,664.15,13.30,0,0,0,0.00,0,F1,775,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,98876,,JSL,,2025-02-27,2025-02-27,600.00,PE,JSL25FEB600PE,0.00,0.00,0.00,21.85,0.00,21.85,664.15,12.00,0,0,0,0.00,0,F1,775,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,123449,,JSL,,2025-02-27,2025-02-27,750.00,PE,JSL25FEB750PE,0.00,0.00,0.00,60.00,0.00,60.00,664.15,91.95,0,0,0,0.00,0,F1,775,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,98712,,JSL,,2025-01-30,2025-01-30,750.00,PE,JSL25JAN750PE,0.00,0.00,0.00,66.05,66.05,66.05,664.15,86.70,2325,0,0,0.00,0,F1,775,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,98721,,JSL,,2025-01-30,2025-01-30,800.00,CE,JSL25JAN800CE,0.95,0.95,0.70,0.80,0.80,1.10,664.15,0.80,248000,-13175,49,30409527.50,49,F1,775,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,98889,,JSL,,2025-02-27,2025-02-27,740.00,CE,JSL25FEB740CE,0.00,0.00,0.00,53.30,0.00,53.30,664.15,15.40,0,0,0,0.00,0,F1,775,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,98723,,JSL,,2025-01-30,2025-01-30,810.00,CE,JSL25JAN810CE,0.00,0.00,0.00,1.50,1.50,1.50,664.15,0.75,45725,0,0,0.00,0,F1,775,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,123515,,JSL,,2025-02-27,2025-02-27,810.00,CE,JSL25FEB810CE,0.00,0.00,0.00,31.60,0.00,31.60,664.15,5.05,0,0,0,0.00,0,F1,775,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,123612,,JSL,,2025-03-27,2025-03-27,740.00,CE,JSL25MAR740CE,0.00,0.00,0.00,70.95,0.00,70.95,664.15,24.65,0,0,0,0.00,0,F1,775,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,98713,,JSL,,2025-01-30,2025-01-30,760.00,CE,JSL25JAN760CE,2.55,2.85,2.20,2.60,2.60,3.25,664.15,3.20,57350,6200,24,14180988.75,23,F1,775,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,123609,,JSL,,2025-03-27,2025-03-27,700.00,PE,JSL25MAR700PE,0.00,0.00,0.00,44.85,0.00,44.85,664.15,63.05,0,0,0,0.00,0,F1,775,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,98560,,JSL,,2025-01-30,2025-01-30,620.00,CE,JSL25JAN620CE,0.00,0.00,0.00,104.00,0.00,104.00,664.15,55.55,0,0,0,0.00,0,F1,775,,,,,
