TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-01-06,2025-01-06,FO,NSE,STO,107213,,LTTS,,2025-01-30,2025-01-30,5450.00,CE,LTTS25JAN5450CE,0.00,0.00,0.00,15.75,15.75,15.75,4763.70,4.75,600,0,0,0.00,0,F1,100,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,128079,,LTTS,,2025-03-27,2025-03-27,5200.00,PE,LTTS25MAR5200PE,0.00,0.00,0.00,589.95,0.00,589.95,4763.70,474.80,0,0,0,0.00,0,F1,100,,,,,
2025-01-06,2025-01-06,FO,NSE,STF,41165,,LTTS,,2025-01-30,2025-01-30,,,LTTS25JANFUT,4781.60,4848.95,4728.50,4771.60,4767.90,4807.20,4763.70,4771.60,637500,-25700,2173,1040205100.00,1961,F1,100,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,107313,,LTTS,,2025-02-27,2025-02-27,4700.00,PE,LTTS25FEB4700PE,0.00,0.00,0.00,188.00,188.00,188.00,4763.70,146.80,3900,0,0,0.00,0,F1,100,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,107296,,LTTS,,2025-02-27,2025-02-27,3900.00,PE,LTTS25FEB3900PE,0.00,0.00,0.00,8.95,0.00,8.95,4763.70,3.75,0,0,0,0.00,0,F1,100,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,128017,,LTTS,,2025-03-27,2025-03-27,3800.00,PE,LTTS25MAR3800PE,0.00,0.00,0.00,29.15,0.00,29.15,4763.70,6.75,0,0,0,0.00,0,F1,100,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,127783,,LTTS,,2025-02-27,2025-02-27,4750.00,CE,LTTS25FEB4750CE,0.00,0.00,0.00,248.15,0.00,248.15,4763.70,228.40,0,0,0,0.00,0,F1,100,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,108899,,LTTS,,2025-01-30,2025-01-30,4100.00,PE,LTTS25JAN4100PE,0.00,0.00,0.00,11.75,11.70,11.75,4763.70,1.65,14600,0,0,0.00,0,F1,100,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,128075,,LTTS,,2025-03-27,2025-03-27,5000.00,PE,LTTS25MAR5000PE,0.00,0.00,0.00,453.95,0.00,453.95,4763.70,340.35,0,0,0,0.00,0,F1,100,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,107421,,LTTS,,2025-02-27,2025-02-27,5600.00,PE,LTTS25FEB5600PE,0.00,0.00,0.00,498.70,0.00,498.70,4763.70,800.15,0,0,0,0.00,0,F1,100,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,127757,,LTTS,,2025-02-27,2025-02-27,4150.00,PE,LTTS25FEB4150PE,0.00,0.00,0.00,57.05,0.00,57.05,4763.70,16.55,0,0,0,0.00,0,F1,100,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,107148,,LTTS,,2025-01-30,2025-01-30,4750.00,CE,LTTS25JAN4750CE,188.00,210.35,167.55,176.75,174.65,189.40,4763.70,176.75,15600,-200,31,15308295.00,31,F1,100,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,127756,,LTTS,,2025-02-27,2025-02-27,4150.00,CE,LTTS25FEB4150CE,0.00,0.00,0.00,627.15,0.00,627.15,4763.70,669.95,0,0,0,0.00,0,F1,100,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,107159,,LTTS,,2025-01-30,2025-01-30,5050.00,CE,LTTS25JAN5050CE,75.80,81.00,75.80,76.60,76.60,75.80,4763.70,44.90,5400,100,4,2050980.00,4,F1,100,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,108897,,LTTS,,2025-01-30,2025-01-30,4000.00,PE,LTTS25JAN4000PE,5.15,6.55,3.45,6.00,6.25,4.95,4763.70,6.00,76300,100,389,155814055.00,335,F1,100,,,,,
