TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-01-06,2025-01-06,FO,NSE,STO,149585,,TATACOMM,,2025-03-27,2025-03-27,1520.00,PE,TATACOMM25MAR1520PE,0.00,0.00,0.00,28.10,0.00,28.10,1691.20,20.05,0,0,0,0.00,0,F1,250,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,142212,,TATACOMM,,2025-01-30,2025-01-30,1660.00,CE,TATACOMM25JAN1660CE,94.35,94.35,68.25,73.50,78.05,99.25,1691.20,73.50,4000,-250,54,23443662.50,54,F1,250,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,140092,,TATACOMM,,2025-01-30,2025-01-30,1480.00,CE,TATACOMM25JAN1480CE,0.00,0.00,0.00,338.95,0.00,338.95,1691.20,218.95,0,0,0,0.00,0,F1,250,,,,,
2025-01-06,2025-01-06,FO,NSE,STF,42510,,TATACOMM,,2025-01-30,2025-01-30,,,TATACOMM25JANFUT,1753.10,1753.90,1686.80,1696.50,1695.50,1745.10,1691.20,1696.50,5792000,-93000,3743,1605093637.50,3134,F1,250,,,,,
2025-01-06,2025-01-06,FO,NSE,STF,43378,,TATACOMM,,2025-03-27,2025-03-27,,,TATACOMM25MARFUT,1765.00,1765.00,1714.65,1714.65,1714.65,1765.00,1691.20,1716.40,5500,-250,9,3910612.50,9,F1,250,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,140123,,TATACOMM,,2025-01-30,2025-01-30,2080.00,PE,TATACOMM25JAN2080PE,0.00,0.00,0.00,349.95,349.95,349.95,1691.20,379.70,250,0,0,0.00,0,F1,250,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,149534,,TATACOMM,,2025-02-27,2025-02-27,1780.00,CE,TATACOMM25FEB1780CE,0.00,0.00,0.00,86.20,0.00,86.20,1691.20,42.65,0,0,0,0.00,0,F1,250,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,140125,,TATACOMM,,2025-01-30,2025-01-30,2120.00,PE,TATACOMM25JAN2120PE,0.00,0.00,0.00,405.00,405.00,405.00,1691.20,419.45,500,0,0,0.00,0,F1,250,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,140107,,TATACOMM,,2025-01-30,2025-01-30,1760.00,PE,TATACOMM25JAN1760PE,55.95,93.45,55.95,89.65,90.15,56.95,1691.20,89.65,66750,1750,107,49133162.50,104,F1,250,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,149608,,TATACOMM,,2025-03-27,2025-03-27,2000.00,CE,TATACOMM25MAR2000CE,0.00,0.00,0.00,41.80,0.00,41.80,1691.20,14.50,0,0,0,0.00,0,F1,250,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,140112,,TATACOMM,,2025-01-30,2025-01-30,1880.00,CE,TATACOMM25JAN1880CE,8.65,11.60,5.75,5.85,5.95,10.30,1691.20,5.85,36750,-3250,201,94881537.50,168,F1,250,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,149603,,TATACOMM,,2025-03-27,2025-03-27,1880.00,PE,TATACOMM25MAR1880PE,0.00,0.00,0.00,185.20,0.00,185.20,1691.20,194.80,0,0,0,0.00,0,F1,250,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,140088,,TATACOMM,,2025-01-30,2025-01-30,1400.00,CE,TATACOMM25JAN1400CE,0.00,0.00,0.00,408.60,0.00,408.60,1691.20,297.50,0,0,0,0.00,0,F1,250,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,140089,,TATACOMM,,2025-01-30,2025-01-30,1400.00,PE,TATACOMM25JAN1400PE,1.05,2.00,1.05,2.00,2.00,1.00,1691.20,0.10,51250,5000,63,22074187.50,58,F1,250,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,149591,,TATACOMM,,2025-03-27,2025-03-27,1640.00,PE,TATACOMM25MAR1640PE,0.00,0.00,0.00,61.65,0.00,61.65,1691.20,54.15,0,0,0,0.00,0,F1,250,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,140111,,TATACOMM,,2025-01-30,2025-01-30,1840.00,PE,TATACOMM25JAN1840PE,0.00,0.00,0.00,120.45,120.45,120.45,1691.20,149.20,500,0,0,0.00,0,F1,250,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,149527,,TATACOMM,,2025-02-27,2025-02-27,1620.00,PE,TATACOMM25FEB1620PE,0.00,0.00,0.00,41.40,0.00,41.40,1691.20,34.70,0,0,0,0.00,0,F1,250,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,149606,,TATACOMM,,2025-03-27,2025-03-27,1960.00,CE,TATACOMM25MAR1960CE,0.00,0.00,0.00,50.50,0.00,50.50,1691.20,19.40,0,0,0,0.00,0,F1,250,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,142479,,TATACOMM,,2025-02-27,2025-02-27,1960.00,PE,TATACOMM25FEB1960PE,0.00,0.00,0.00,234.80,0.00,234.80,1691.20,258.75,0,0,0,0.00,0,F1,250,,,,,
