TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-01-06,2025-01-06,FO,NSE,STO,141508,,UBL,,2025-01-30,2025-01-30,2320.00,CE,UBL25JAN2320CE,6.00,6.00,3.35,3.35,3.35,7.05,2075.75,2.15,14400,400,9,8368760.00,8,F1,400,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,144343,,UBL,,2025-01-30,2025-01-30,2220.00,PE,UBL25JAN2220PE,0.00,0.00,0.00,122.00,122.00,122.00,2075.75,144.70,2400,0,0,0.00,0,F1,400,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,151715,,UBL,,2025-02-27,2025-02-27,2220.00,PE,UBL25FEB2220PE,0.00,0.00,0.00,211.60,0.00,211.60,2075.75,153.20,0,0,0,0.00,0,F1,400,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,144410,,UBL,,2025-02-27,2025-02-27,1960.00,CE,UBL25FEB1960CE,0.00,0.00,0.00,116.05,0.00,116.05,2075.75,158.25,0,0,0,0.00,0,F1,400,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,144411,,UBL,,2025-02-27,2025-02-27,1960.00,PE,UBL25FEB1960PE,0.00,0.00,0.00,107.35,0.00,107.35,2075.75,23.75,0,0,0,0.00,0,F1,400,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,141494,,UBL,,2025-01-30,2025-01-30,2040.00,CE,UBL25JAN2040CE,73.45,74.00,73.45,74.00,74.00,100.00,2075.75,75.45,23200,-3600,10,8454540.00,9,F1,400,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,144340,,UBL,,2025-01-30,2025-01-30,2180.00,CE,UBL25JAN2180CE,19.70,29.35,16.25,16.45,16.25,29.30,2075.75,16.45,12400,800,50,44042320.00,47,F1,400,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,151712,,UBL,,2025-02-27,2025-02-27,2180.00,CE,UBL25FEB2180CE,0.00,0.00,0.00,44.00,0.00,44.00,2075.75,41.25,0,0,0,0.00,0,F1,400,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,151713,,UBL,,2025-02-27,2025-02-27,2180.00,PE,UBL25FEB2180PE,0.00,0.00,0.00,181.55,0.00,181.55,2075.75,124.65,0,0,0,0.00,0,F1,400,,,,,
2025-01-06,2025-01-06,FO,NSE,STO,144341,,UBL,,2025-01-30,2025-01-30,2180.00,PE,UBL25JAN2180PE,0.00,0.00,0.00,120.00,120.00,120.00,2075.75,112.10,1200,0,0,0.00,0,F1,400,,,,,
