TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-01-07,2025-01-07,FO,NSE,STO,73059,,CHOLAFIN,,2025-02-27,2025-02-27,1000.00,CE,CHOLAFIN25FEB1000CE,0.00,0.00,0.00,295.30,0.00,295.30,1276.00,286.35,0,0,0,0.00,0,F1,625,,,,,
2025-01-07,2025-01-07,FO,NSE,STO,84180,,CHOLAFIN,,2025-01-30,2025-01-30,1000.00,CE,CHOLAFIN25JAN1000CE,0.00,0.00,0.00,222.00,222.00,222.00,1276.00,280.30,625,0,0,0.00,0,F1,625,,,,,
2025-01-07,2025-01-07,FO,NSE,STO,84178,,CHOLAFIN,,2025-01-30,2025-01-30,960.00,PE,CHOLAFIN25JAN960PE,0.00,0.00,0.00,0.60,0.60,0.60,1276.00,0.05,3750,0,0,0.00,0,F1,625,,,,,
2025-01-07,2025-01-07,FO,NSE,STO,72987,,CHOLAFIN,,2025-01-30,2025-01-30,1060.00,CE,CHOLAFIN25JAN1060CE,0.00,0.00,0.00,231.70,0.00,231.70,1276.00,220.85,0,0,0,0.00,0,F1,625,,,,,
2025-01-07,2025-01-07,FO,NSE,STO,93892,,CHOLAFIN,,2025-03-27,2025-03-27,1280.00,PE,CHOLAFIN25MAR1280PE,0.00,0.00,0.00,130.60,0.00,130.60,1276.00,70.15,0,0,0,0.00,0,F1,625,,,,,
2025-01-07,2025-01-07,FO,NSE,STO,84218,,CHOLAFIN,,2025-01-30,2025-01-30,1440.00,CE,CHOLAFIN25JAN1440CE,4.85,4.85,2.70,3.05,2.95,4.75,1276.00,3.05,245625,-49375,360,324815968.75,328,F1,625,,,,,
2025-01-07,2025-01-07,FO,NSE,STO,84216,,CHOLAFIN,,2025-01-30,2025-01-30,1400.00,CE,CHOLAFIN25JAN1400CE,9.35,9.45,5.35,5.85,5.80,9.15,1276.00,5.85,426250,45000,1133,996409968.75,913,F1,625,,,,,
2025-01-07,2025-01-07,FO,NSE,STO,93906,,CHOLAFIN,,2025-03-27,2025-03-27,1520.00,PE,CHOLAFIN25MAR1520PE,0.00,0.00,0.00,317.75,0.00,317.75,1276.00,237.90,0,0,0,0.00,0,F1,625,,,,,
2025-01-07,2025-01-07,FO,NSE,STO,73119,,CHOLAFIN,,2025-02-27,2025-02-27,1520.00,CE,CHOLAFIN25FEB1520CE,0.00,0.00,0.00,28.70,0.00,28.70,1276.00,6.95,0,0,0,0.00,0,F1,625,,,,,
2025-01-07,2025-01-07,FO,NSE,STO,84184,,CHOLAFIN,,2025-01-30,2025-01-30,1040.00,PE,CHOLAFIN25JAN1040PE,0.65,0.70,0.60,0.70,0.70,0.80,1276.00,0.15,93125,-4375,14,9105843.75,13,F1,625,,,,,
