TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-01-07,2025-01-07,FO,NSE,STO,97538,,JKCEMENT,,2025-01-30,2025-01-30,4150.00,PE,JKCEMENT25JAN4150PE,12.90,12.90,9.25,9.25,9.25,15.00,4823.45,1.20,7500,-125,2,1040268.75,2,F1,125,,,,,
2025-01-07,2025-01-07,FO,NSE,STO,97592,,JKCEMENT,,2025-01-30,2025-01-30,5150.00,CE,JKCEMENT25JAN5150CE,35.00,35.00,27.70,27.70,27.70,21.85,4823.45,34.15,2250,875,8,5179362.50,8,F1,125,,,,,
2025-01-07,2025-01-07,FO,NSE,STO,104853,,JKCEMENT,,2025-01-30,2025-01-30,4700.00,CE,JKCEMENT25JAN4700CE,159.00,247.30,150.00,227.75,220.25,139.80,4823.45,227.75,13250,-7625,526,322001118.75,477,F1,125,,,,,
2025-01-07,2025-01-07,FO,NSE,STO,123203,,JKCEMENT,,2025-02-27,2025-02-27,4550.00,PE,JKCEMENT25FEB4550PE,0.00,0.00,0.00,197.75,0.00,197.75,4823.45,71.35,0,0,0,0.00,0,F1,125,,,,,
2025-01-07,2025-01-07,FO,NSE,STO,97546,,JKCEMENT,,2025-01-30,2025-01-30,4550.00,PE,JKCEMENT25JAN4550PE,68.55,68.80,45.50,55.95,61.25,86.75,4823.45,55.95,6250,1500,64,36846812.50,59,F1,125,,,,,
2025-01-07,2025-01-07,FO,NSE,STO,97535,,JKCEMENT,,2025-01-30,2025-01-30,4050.00,CE,JKCEMENT25JAN4050CE,0.00,0.00,0.00,297.20,0.00,297.20,4823.45,791.05,0,0,0,0.00,0,F1,125,,,,,
2025-01-07,2025-01-07,FO,NSE,STO,123171,,JKCEMENT,,2025-02-27,2025-02-27,4050.00,PE,JKCEMENT25FEB4050PE,0.00,0.00,0.00,46.20,0.00,46.20,4823.45,6.15,0,0,0,0.00,0,F1,125,,,,,
2025-01-07,2025-01-07,FO,NSE,STO,123199,,JKCEMENT,,2025-02-27,2025-02-27,4450.00,PE,JKCEMENT25FEB4450PE,0.00,0.00,0.00,155.45,0.00,155.45,4823.45,48.15,0,0,0,0.00,0,F1,125,,,,,
2025-01-07,2025-01-07,FO,NSE,STO,123197,,JKCEMENT,,2025-02-27,2025-02-27,4350.00,PE,JKCEMENT25FEB4350PE,0.00,0.00,0.00,119.40,0.00,119.40,4823.45,31.10,0,0,0,0.00,0,F1,125,,,,,
2025-01-07,2025-01-07,FO,NSE,STO,97542,,JKCEMENT,,2025-01-30,2025-01-30,4350.00,PE,JKCEMENT25JAN4350PE,29.75,36.50,22.05,22.20,22.20,27.55,4823.45,7.65,3250,625,23,12587437.50,23,F1,125,,,,,
