TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-01-07,2025-01-07,FO,NSE,STO,113068,,MRF,,2025-01-30,2025-01-30,128500.00,CE,MRF25JAN128500CE,900.00,1039.30,717.00,717.00,717.00,1176.70,121220.65,520.10,245,45,18,11640175.25,17,F1,5,,,,,
2025-01-07,2025-01-07,FO,NSE,STO,116231,,MRF,,2025-01-30,2025-01-30,137000.00,CE,MRF25JAN137000CE,220.85,220.85,109.35,110.05,110.05,210.35,121220.65,110.05,685,-30,54,37022752.25,50,F1,5,,,,,
2025-01-07,2025-01-07,FO,NSE,STO,113067,,MRF,,2025-01-30,2025-01-30,127500.00,PE,MRF25JAN127500PE,6684.55,6684.55,6684.55,6684.55,6684.55,2508.60,121220.65,6421.75,35,0,1,670922.75,1,F1,5,,,,,
2025-01-07,2025-01-07,FO,NSE,STO,112984,,MRF,,2025-01-30,2025-01-30,124500.00,PE,MRF25JAN124500PE,0.00,0.00,0.00,4832.10,0.00,4832.10,121220.65,4182.45,0,0,0,0.00,0,F1,5,,,,,
2025-01-07,2025-01-07,FO,NSE,STO,132278,,MRF,,2025-02-27,2025-02-27,125500.00,CE,MRF25FEB125500CE,0.00,0.00,0.00,9704.80,0.00,9704.80,121220.65,2488.80,0,0,0,0.00,0,F1,5,,,,,
2025-01-07,2025-01-07,FO,NSE,STO,132644,,MRF,,2025-03-27,2025-03-27,133000.00,CE,MRF25MAR133000CE,0.00,0.00,0.00,6829.50,0.00,6829.50,121220.65,1478.60,0,0,0,0.00,0,F1,5,,,,,
2025-01-07,2025-01-07,FO,NSE,STF,43196,,MRF,,2025-03-27,2025-03-27,,,MRF25MARFUT,124965.00,125000.00,123000.00,123548.55,123534.50,125417.25,121220.65,123548.55,215,80,22,13628472.75,21,F1,5,,,,,
2025-01-07,2025-01-07,FO,NSE,STO,116020,,MRF,,2025-01-30,2025-01-30,111000.00,CE,MRF25JAN111000CE,0.00,0.00,0.00,14966.30,0.00,14966.30,121220.65,10789.80,0,0,0,0.00,0,F1,5,,,,,
2025-01-07,2025-01-07,FO,NSE,STO,132198,,MRF,,2025-02-27,2025-02-27,117500.00,CE,MRF25FEB117500CE,0.00,0.00,0.00,15925.75,0.00,15925.75,121220.65,6616.65,0,0,0,0.00,0,F1,5,,,,,
2025-01-07,2025-01-07,FO,NSE,STO,112917,,MRF,,2025-01-30,2025-01-30,117500.00,CE,MRF25JAN117500CE,0.00,0.00,0.00,9747.95,0.00,9747.95,121220.65,5158.55,0,0,0,0.00,0,F1,5,,,,,
2025-01-07,2025-01-07,FO,NSE,STO,112960,,MRF,,2025-01-30,2025-01-30,121500.00,PE,MRF25JAN121500PE,2868.05,3181.95,2258.10,2615.65,2536.25,1955.00,121220.65,2615.65,100,95,114,70737238.75,102,F1,5,,,,,
2025-01-07,2025-01-07,FO,NSE,STO,132491,,MRF,,2025-03-27,2025-03-27,117000.00,PE,MRF25MAR117000PE,0.00,0.00,0.00,1134.90,0.00,1134.90,121220.65,2238.10,0,0,0,0.00,0,F1,5,,,,,
2025-01-07,2025-01-07,FO,NSE,STO,116058,,MRF,,2025-01-30,2025-01-30,121000.00,CE,MRF25JAN121000CE,3300.00,3400.00,3103.85,3232.25,3182.80,4540.35,121220.65,3232.25,80,75,32,19879050.50,31,F1,5,,,,,
2025-01-07,2025-01-07,FO,NSE,STO,113483,,MRF,,2025-02-27,2025-02-27,141000.00,CE,MRF25FEB141000CE,0.00,0.00,0.00,1692.00,0.00,1692.00,121220.65,143.45,0,0,0,0.00,0,F1,5,,,,,
2025-01-07,2025-01-07,FO,NSE,STO,132294,,MRF,,2025-02-27,2025-02-27,132500.00,CE,MRF25FEB132500CE,0.00,0.00,0.00,5617.30,0.00,5617.30,121220.65,802.95,0,0,0,0.00,0,F1,5,,,,,
2025-01-07,2025-01-07,FO,NSE,STO,132295,,MRF,,2025-02-27,2025-02-27,132500.00,PE,MRF25FEB132500PE,0.00,0.00,0.00,5251.80,0.00,5251.80,121220.65,10838.50,0,0,0,0.00,0,F1,5,,,,,
2025-01-07,2025-01-07,FO,NSE,STO,132293,,MRF,,2025-02-27,2025-02-27,131500.00,PE,MRF25FEB131500PE,0.00,0.00,0.00,4763.00,0.00,4763.00,121220.65,10004.00,0,0,0,0.00,0,F1,5,,,,,
2025-01-07,2025-01-07,FO,NSE,STO,113145,,MRF,,2025-01-30,2025-01-30,131500.00,PE,MRF25JAN131500PE,0.00,0.00,0.00,8986.50,0.00,8986.50,121220.65,9932.25,0,0,0,0.00,0,F1,5,,,,,
2025-01-07,2025-01-07,FO,NSE,STF,41270,,MRF,,2025-01-30,2025-01-30,,,MRF25JANFUT,123067.40,124443.90,121010.15,121723.45,121848.60,123486.80,121220.65,121723.45,66525,410,2638,1612582693.75,2455,F1,5,,,,,
2025-01-07,2025-01-07,FO,NSE,STO,132280,,MRF,,2025-02-27,2025-02-27,126500.00,CE,MRF25FEB126500CE,0.00,0.00,0.00,9036.60,0.00,9036.60,121220.65,2151.70,0,0,0,0.00,0,F1,5,,,,,
2025-01-07,2025-01-07,FO,NSE,STO,132283,,MRF,,2025-02-27,2025-02-27,126500.00,PE,MRF25FEB126500PE,0.00,0.00,0.00,2746.35,0.00,2746.35,121220.65,6243.55,0,0,0,0.00,0,F1,5,,,,,
2025-01-07,2025-01-07,FO,NSE,STO,113065,,MRF,,2025-01-30,2025-01-30,126500.00,PE,MRF25JAN126500PE,0.00,0.00,0.00,5876.50,0.00,5876.50,121220.65,5628.80,0,0,0,0.00,0,F1,5,,,,,
2025-01-07,2025-01-07,FO,NSE,STO,113064,,MRF,,2025-01-30,2025-01-30,126500.00,CE,MRF25JAN126500CE,1900.00,1900.00,1097.85,1112.75,1100.00,1676.00,121220.65,1112.75,420,70,23,14693142.00,20,F1,5,,,,,
2025-01-07,2025-01-07,FO,NSE,STO,132291,,MRF,,2025-02-27,2025-02-27,130500.00,PE,MRF25FEB130500PE,0.00,0.00,0.00,4302.45,0.00,4302.45,121220.65,9193.80,0,0,0,0.00,0,F1,5,,,,,
2025-01-07,2025-01-07,FO,NSE,STO,132592,,MRF,,2025-03-27,2025-03-27,130000.00,CE,MRF25MAR130000CE,0.00,0.00,0.00,8379.75,0.00,8379.75,121220.65,2165.85,0,0,0,0.00,0,F1,5,,,,,
2025-01-07,2025-01-07,FO,NSE,STO,132289,,MRF,,2025-02-27,2025-02-27,129500.00,PE,MRF25FEB129500PE,0.00,0.00,0.00,3870.70,0.00,3870.70,121220.65,8410.25,0,0,0,0.00,0,F1,5,,,,,
2025-01-07,2025-01-07,FO,NSE,STO,113136,,MRF,,2025-01-30,2025-01-30,129500.00,PE,MRF25JAN129500PE,7715.75,8282.65,7715.75,8282.65,8282.65,6030.60,121220.65,8120.05,250,5,2,1374992.00,2,F1,5,,,,,
2025-01-07,2025-01-07,FO,NSE,STO,116230,,MRF,,2025-01-30,2025-01-30,136000.00,PE,MRF25JAN136000PE,0.00,0.00,0.00,13473.05,0.00,13473.05,121220.65,14245.45,0,0,0,0.00,0,F1,5,,,,,
2025-01-07,2025-01-07,FO,NSE,STO,116229,,MRF,,2025-01-30,2025-01-30,136000.00,CE,MRF25JAN136000CE,0.00,0.00,0.00,1041.50,1041.50,1041.50,121220.65,43.35,15,0,0,0.00,0,F1,5,,,,,
2025-01-07,2025-01-07,FO,NSE,STO,113441,,MRF,,2025-02-27,2025-02-27,136000.00,PE,MRF25FEB136000PE,0.00,0.00,0.00,12603.90,0.00,12603.90,121220.65,13916.15,0,0,0,0.00,0,F1,5,,,,,
2025-01-07,2025-01-07,FO,NSE,STO,132583,,MRF,,2025-03-27,2025-03-27,128000.00,PE,MRF25MAR128000PE,0.00,0.00,0.00,4015.90,0.00,4015.90,121220.65,7672.50,0,0,0,0.00,0,F1,5,,,,,
2025-01-07,2025-01-07,FO,NSE,STO,132582,,MRF,,2025-03-27,2025-03-27,128000.00,CE,MRF25MAR128000CE,0.00,0.00,0.00,9531.75,0.00,9531.75,121220.65,2749.55,0,0,0,0.00,0,F1,5,,,,,
2025-01-07,2025-01-07,FO,NSE,STO,113414,,MRF,,2025-02-27,2025-02-27,128000.00,CE,MRF25FEB128000CE,0.00,0.00,0.00,5335.95,0.00,5335.95,121220.65,1712.45,0,0,0,0.00,0,F1,5,,,,,
2025-01-07,2025-01-07,FO,NSE,STO,132201,,MRF,,2025-02-27,2025-02-27,118500.00,PE,MRF25FEB118500PE,0.00,0.00,0.00,884.85,0.00,884.85,121220.65,2125.65,0,0,0,0.00,0,F1,5,,,,,
2025-01-07,2025-01-07,FO,NSE,STO,132200,,MRF,,2025-02-27,2025-02-27,118500.00,CE,MRF25FEB118500CE,0.00,0.00,0.00,15074.80,0.00,15074.80,121220.65,5958.65,0,0,0,0.00,0,F1,5,,,,,
