TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-01-07,2025-01-07,FO,NSE,STO,121463,,PEL,,2025-02-27,2025-02-27,1320.00,PE,PEL25FEB1320PE,0.00,0.00,0.00,180.40,0.00,180.40,1060.20,252.50,0,0,0,0.00,0,F1,750,,,,,
2025-01-07,2025-01-07,FO,NSE,STO,121462,,PEL,,2025-02-27,2025-02-27,1320.00,CE,PEL25FEB1320CE,0.00,0.00,0.00,64.20,0.00,64.20,1060.20,5.10,0,0,0,0.00,0,F1,750,,,,,
2025-01-07,2025-01-07,FO,NSE,STO,121452,,PEL,,2025-02-27,2025-02-27,1120.00,CE,PEL25FEB1120CE,0.00,0.00,0.00,149.00,0.00,149.00,1060.20,39.70,0,0,0,0.00,0,F1,750,,,,,
2025-01-07,2025-01-07,FO,NSE,STO,138751,,PEL,,2025-03-27,2025-03-27,1120.00,PE,PEL25MAR1120PE,0.00,0.00,0.00,99.80,0.00,99.80,1060.20,99.70,0,0,0,0.00,0,F1,750,,,,,
2025-01-07,2025-01-07,FO,NSE,STO,121444,,PEL,,2025-02-27,2025-02-27,960.00,CE,PEL25FEB960CE,0.00,0.00,0.00,258.25,0.00,258.25,1060.20,127.25,0,0,0,0.00,0,F1,750,,,,,
2025-01-07,2025-01-07,FO,NSE,STO,121458,,PEL,,2025-02-27,2025-02-27,1240.00,CE,PEL25FEB1240CE,0.00,0.00,0.00,91.60,0.00,91.60,1060.20,12.45,0,0,0,0.00,0,F1,750,,,,,
2025-01-07,2025-01-07,FO,NSE,STO,121459,,PEL,,2025-02-27,2025-02-27,1240.00,PE,PEL25FEB1240PE,0.00,0.00,0.00,129.25,0.00,129.25,1060.20,180.60,0,0,0,0.00,0,F1,750,,,,,
2025-01-07,2025-01-07,FO,NSE,STO,138757,,PEL,,2025-03-27,2025-03-27,1240.00,PE,PEL25MAR1240PE,0.00,0.00,0.00,174.55,0.00,174.55,1060.20,185.60,0,0,0,0.00,0,F1,750,,,,,
2025-01-07,2025-01-07,FO,NSE,STO,138756,,PEL,,2025-03-27,2025-03-27,1240.00,CE,PEL25MAR1240CE,0.00,0.00,0.00,55.40,0.00,55.40,1060.20,23.80,0,0,0,0.00,0,F1,750,,,,,
2025-01-07,2025-01-07,FO,NSE,STO,122290,,PEL,,2025-01-30,2025-01-30,1240.00,CE,PEL25JAN1240CE,2.60,2.70,2.20,2.55,2.50,2.80,1060.20,2.55,131250,7500,37,34481700.00,29,F1,750,,,,,
2025-01-07,2025-01-07,FO,NSE,STO,122291,,PEL,,2025-01-30,2025-01-30,1240.00,PE,PEL25JAN1240PE,0.00,0.00,0.00,177.25,177.25,177.25,1060.20,177.05,10500,0,0,0.00,0,F1,750,,,,,
2025-01-07,2025-01-07,FO,NSE,STO,121461,,PEL,,2025-02-27,2025-02-27,1280.00,PE,PEL25FEB1280PE,0.00,0.00,0.00,153.85,0.00,153.85,1060.20,215.85,0,0,0,0.00,0,F1,750,,,,,
2025-01-07,2025-01-07,FO,NSE,STO,122293,,PEL,,2025-01-30,2025-01-30,1280.00,PE,PEL25JAN1280PE,0.00,0.00,0.00,231.00,0.00,231.00,1060.20,215.50,0,0,0,0.00,0,F1,750,,,,,
2025-01-07,2025-01-07,FO,NSE,STO,138595,,PEL,,2025-02-27,2025-02-27,1060.00,PE,PEL25FEB1060PE,0.00,0.00,0.00,57.30,0.00,57.30,1060.20,54.60,0,0,0,0.00,0,F1,750,,,,,
2025-01-07,2025-01-07,FO,NSE,STO,122284,,PEL,,2025-01-30,2025-01-30,1120.00,CE,PEL25JAN1120CE,18.00,19.55,15.35,17.45,17.70,16.70,1060.20,17.45,246000,-12750,231,197038425.00,200,F1,750,,,,,
2025-01-07,2025-01-07,FO,NSE,STO,121348,,PEL,,2025-01-30,2025-01-30,1020.00,PE,PEL25JAN1020PE,25.95,26.00,20.85,22.55,22.55,27.95,1060.20,22.55,71250,6750,86,67289400.00,79,F1,750,,,,,
2025-01-07,2025-01-07,FO,NSE,STO,138593,,PEL,,2025-02-27,2025-02-27,1020.00,PE,PEL25FEB1020PE,0.00,0.00,0.00,41.65,0.00,41.65,1060.20,36.90,0,0,0,0.00,0,F1,750,,,,,
2025-01-07,2025-01-07,FO,NSE,STO,121347,,PEL,,2025-01-30,2025-01-30,1020.00,CE,PEL25JAN1020CE,0.00,0.00,0.00,55.75,55.75,55.75,1060.20,65.55,5250,0,0,0.00,0,F1,750,,,,,
