TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-01-07,2025-01-07,FO,NSE,STO,123250,,PIIND,,2025-02-27,2025-02-27,3900.00,CE,PIIND25FEB3900CE,0.00,0.00,0.00,357.20,0.00,357.20,3593.05,40.60,0,0,0,0.00,0,F1,125,,,,,
2025-01-07,2025-01-07,FO,NSE,STO,146464,,PIIND,,2025-03-27,2025-03-27,4200.00,CE,PIIND25MAR4200CE,0.00,0.00,0.00,88.55,0.00,88.55,3593.05,21.85,0,0,0,0.00,0,F1,125,,,,,
2025-01-07,2025-01-07,FO,NSE,STO,146455,,PIIND,,2025-03-27,2025-03-27,3700.00,PE,PIIND25MAR3700PE,0.00,0.00,0.00,163.65,0.00,163.65,3593.05,190.95,0,0,0,0.00,0,F1,125,,,,,
2025-01-07,2025-01-07,FO,NSE,STO,146404,,PIIND,,2025-02-27,2025-02-27,4050.00,CE,PIIND25FEB4050CE,0.00,0.00,0.00,88.00,0.00,88.00,3593.05,18.70,0,0,0,0.00,0,F1,125,,,,,
2025-01-07,2025-01-07,FO,NSE,STO,123062,,PIIND,,2025-01-30,2025-01-30,4050.00,CE,PIIND25JAN4050CE,10.60,11.05,8.85,9.20,9.20,10.85,3593.05,9.20,9000,-1500,39,19791418.75,39,F1,125,,,,,
2025-01-07,2025-01-07,FO,NSE,STO,123063,,PIIND,,2025-01-30,2025-01-30,4050.00,PE,PIIND25JAN4050PE,0.00,0.00,0.00,179.45,0.00,179.45,3593.05,442.35,0,0,0,0.00,0,F1,125,,,,,
2025-01-07,2025-01-07,FO,NSE,STO,146401,,PIIND,,2025-02-27,2025-02-27,3850.00,PE,PIIND25FEB3850PE,0.00,0.00,0.00,212.55,0.00,212.55,3593.05,272.30,0,0,0,0.00,0,F1,125,,,,,
2025-01-07,2025-01-07,FO,NSE,STO,123058,,PIIND,,2025-01-30,2025-01-30,3850.00,PE,PIIND25JAN3850PE,255.65,255.65,235.80,235.80,235.80,240.20,3593.05,257.25,3750,1250,13,6652912.50,13,F1,125,,,,,
2025-01-07,2025-01-07,FO,NSE,STO,123161,,PIIND,,2025-02-27,2025-02-27,3200.00,CE,PIIND25FEB3200CE,0.00,0.00,0.00,910.65,0.00,910.65,3593.05,434.75,0,0,0,0.00,0,F1,125,,,,,
2025-01-07,2025-01-07,FO,NSE,STO,146389,,PIIND,,2025-02-27,2025-02-27,3250.00,PE,PIIND25FEB3250PE,0.00,0.00,0.00,20.60,0.00,20.60,3593.05,16.95,0,0,0,0.00,0,F1,125,,,,,
