TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-01-07,2025-01-07,FO,NSE,STO,148565,,SIEMENS,,2025-02-27,2025-02-27,5900.00,PE,SIEMENS25FEB5900PE,0.00,0.00,0.00,115.75,0.00,115.75,6482.05,86.60,0,0,0,0.00,0,F1,75,,,,,
2025-01-07,2025-01-07,FO,NSE,STO,132597,,SIEMENS,,2025-01-30,2025-01-30,5900.00,CE,SIEMENS25JAN5900CE,0.00,0.00,0.00,1624.35,0.00,1624.35,6482.05,637.25,0,0,0,0.00,0,F1,75,,,,,
2025-01-07,2025-01-07,FO,NSE,STO,133068,,SIEMENS,,2025-02-27,2025-02-27,7600.00,PE,SIEMENS25FEB7600PE,0.00,0.00,0.00,593.15,0.00,593.15,6482.05,1094.80,0,0,0,0.00,0,F1,75,,,,,
2025-01-07,2025-01-07,FO,NSE,STO,148627,,SIEMENS,,2025-03-27,2025-03-27,6400.00,PE,SIEMENS25MAR6400PE,0.00,0.00,0.00,334.25,0.00,334.25,6482.05,312.85,0,0,0,0.00,0,F1,75,,,,,
2025-01-07,2025-01-07,FO,NSE,STO,148626,,SIEMENS,,2025-03-27,2025-03-27,6400.00,CE,SIEMENS25MAR6400CE,0.00,0.00,0.00,755.40,0.00,755.40,6482.05,487.70,0,0,0,0.00,0,F1,75,,,,,
2025-01-07,2025-01-07,FO,NSE,STO,133038,,SIEMENS,,2025-02-27,2025-02-27,6400.00,CE,SIEMENS25FEB6400CE,0.00,0.00,0.00,1277.15,0.00,1277.15,6482.05,393.70,0,0,0,0.00,0,F1,75,,,,,
2025-01-07,2025-01-07,FO,NSE,STO,148576,,SIEMENS,,2025-02-27,2025-02-27,7100.00,CE,SIEMENS25FEB7100CE,0.00,0.00,0.00,318.70,0.00,318.70,6482.05,128.75,0,0,0,0.00,0,F1,75,,,,,
2025-01-07,2025-01-07,FO,NSE,STO,148635,,SIEMENS,,2025-03-27,2025-03-27,7200.00,PE,SIEMENS25MAR7200PE,0.00,0.00,0.00,750.50,0.00,750.50,6482.05,794.55,0,0,0,0.00,0,F1,75,,,,,
2025-01-07,2025-01-07,FO,NSE,STO,136895,,SIEMENS,,2025-01-30,2025-01-30,7200.00,CE,SIEMENS25JAN7200CE,35.35,35.35,23.20,28.10,28.05,31.20,6482.05,28.10,116400,19575,1072,581133592.50,713,F1,75,,,,,
2025-01-07,2025-01-07,FO,NSE,STO,136896,,SIEMENS,,2025-01-30,2025-01-30,7200.00,PE,SIEMENS25JAN7200PE,730.05,730.05,708.00,708.00,708.00,756.60,6482.05,718.80,4650,75,3,1782603.75,3,F1,75,,,,,
2025-01-07,2025-01-07,FO,NSE,STO,133070,,SIEMENS,,2025-02-27,2025-02-27,7800.00,PE,SIEMENS25FEB7800PE,0.00,0.00,0.00,706.45,0.00,706.45,6482.05,1276.00,0,0,0,0.00,0,F1,75,,,,,
2025-01-07,2025-01-07,FO,NSE,STO,148623,,SIEMENS,,2025-03-27,2025-03-27,6000.00,PE,SIEMENS25MAR6000PE,0.00,0.00,0.00,196.60,0.00,196.60,6482.05,162.80,0,0,0,0.00,0,F1,75,,,,,
2025-01-07,2025-01-07,FO,NSE,STO,57576,,SIEMENS,,2025-02-27,2025-02-27,5400.00,CE,SIEMENS25FEB5400CE,0.00,0.00,0.00,1565.00,0.00,1565.00,6482.05,1152.00,0,0,0,0.00,0,F1,75,,,,,
2025-01-07,2025-01-07,FO,NSE,STO,133060,,SIEMENS,,2025-02-27,2025-02-27,7000.00,PE,SIEMENS25FEB7000PE,0.00,0.00,0.00,318.20,0.00,318.20,6482.05,606.15,0,0,0,0.00,0,F1,75,,,,,
2025-01-07,2025-01-07,FO,NSE,STO,148632,,SIEMENS,,2025-03-27,2025-03-27,7000.00,CE,SIEMENS25MAR7000CE,0.00,0.00,0.00,461.55,0.00,461.55,6482.05,237.05,0,0,0,0.00,0,F1,75,,,,,
