TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-01-08,2025-01-08,FO,NSE,STO,62472,,AARTIIND,,2025-02-27,2025-02-27,455.00,CE,AARTIIND25FEB455CE,0.00,0.00,0.00,17.00,0.00,17.00,397.85,5.55,0,0,0,0.00,0,F1,1000,,,,,
2025-01-08,2025-01-08,FO,NSE,STO,62737,,AARTIIND,,2025-03-27,2025-03-27,480.00,CE,AARTIIND25MAR480CE,0.00,0.00,0.00,16.85,0.00,16.85,397.85,5.85,0,0,0,0.00,0,F1,1000,,,,,
2025-01-08,2025-01-08,FO,NSE,STO,67499,,AARTIIND,,2025-01-30,2025-01-30,480.00,CE,AARTIIND25JAN480CE,0.40,0.40,0.30,0.40,0.40,0.55,397.85,0.40,379000,3000,116,55721900.00,58,F1,1000,,,,,
2025-01-08,2025-01-08,FO,NSE,STO,62119,,AARTIIND,,2025-01-30,2025-01-30,425.00,PE,AARTIIND25JAN425PE,27.25,35.45,25.70,28.85,28.85,22.35,397.85,30.80,69000,-21000,51,23326050.00,49,F1,1000,,,,,
2025-01-08,2025-01-08,FO,NSE,STO,62463,,AARTIIND,,2025-02-27,2025-02-27,425.00,PE,AARTIIND25FEB425PE,0.00,0.00,0.00,34.10,0.00,34.10,397.85,35.65,0,0,0,0.00,0,F1,1000,,,,,
2025-01-08,2025-01-08,FO,NSE,STO,62385,,AARTIIND,,2025-02-27,2025-02-27,365.00,PE,AARTIIND25FEB365PE,0.00,0.00,0.00,9.60,0.00,9.60,397.85,7.30,0,0,0,0.00,0,F1,1000,,,,,
2025-01-08,2025-01-08,FO,NSE,STO,62384,,AARTIIND,,2025-02-27,2025-02-27,365.00,CE,AARTIIND25FEB365CE,0.00,0.00,0.00,62.45,0.00,62.45,397.85,43.50,0,0,0,0.00,0,F1,1000,,,,,
2025-01-08,2025-01-08,FO,NSE,STO,67490,,AARTIIND,,2025-01-30,2025-01-30,380.00,PE,AARTIIND25JAN380PE,3.90,7.20,3.85,4.75,4.90,3.45,397.85,4.75,453000,84000,550,211838900.00,488,F1,1000,,,,,
2025-01-08,2025-01-08,FO,NSE,STO,62475,,AARTIIND,,2025-02-27,2025-02-27,465.00,PE,AARTIIND25FEB465PE,0.00,0.00,0.00,60.25,0.00,60.25,397.85,67.00,0,0,0,0.00,0,F1,1000,,,,,
2025-01-08,2025-01-08,FO,NSE,STO,62392,,AARTIIND,,2025-02-27,2025-02-27,370.00,CE,AARTIIND25FEB370CE,0.00,0.00,0.00,58.85,0.00,58.85,397.85,39.95,0,0,0,0.00,0,F1,1000,,,,,
2025-01-08,2025-01-08,FO,NSE,STO,62725,,AARTIIND,,2025-03-27,2025-03-27,460.00,PE,AARTIIND25MAR460PE,0.00,0.00,0.00,60.60,0.00,60.60,397.85,64.65,0,0,0,0.00,0,F1,1000,,,,,
2025-01-08,2025-01-08,FO,NSE,STO,62695,,AARTIIND,,2025-03-27,2025-03-27,400.00,CE,AARTIIND25MAR400CE,0.00,0.00,0.00,46.90,0.00,46.90,397.85,28.55,0,0,0,0.00,0,F1,1000,,,,,
2025-01-08,2025-01-08,FO,NSE,STO,62486,,AARTIIND,,2025-02-27,2025-02-27,470.00,CE,AARTIIND25FEB470CE,0.00,0.00,0.00,13.15,0.00,13.15,397.85,3.55,0,0,0,0.00,0,F1,1000,,,,,
2025-01-08,2025-01-08,FO,NSE,STO,57876,,AARTIIND,,2025-01-30,2025-01-30,410.00,CE,AARTIIND25JAN410CE,11.15,11.30,5.75,8.00,8.00,11.10,397.85,8.00,809000,364000,1441,602075400.00,1130,F1,1000,,,,,
2025-01-08,2025-01-08,FO,NSE,STO,62111,,AARTIIND,,2025-01-30,2025-01-30,385.00,PE,AARTIIND25JAN385PE,5.05,9.25,5.05,6.15,6.10,4.45,397.85,6.15,69000,22000,220,86204900.00,198,F1,1000,,,,,
2025-01-08,2025-01-08,FO,NSE,STO,62402,,AARTIIND,,2025-02-27,2025-02-27,385.00,CE,AARTIIND25FEB385CE,0.00,0.00,0.00,48.75,0.00,48.75,397.85,30.30,0,0,0,0.00,0,F1,1000,,,,,
2025-01-08,2025-01-08,FO,NSE,STO,62151,,AARTIIND,,2025-01-30,2025-01-30,465.00,PE,AARTIIND25JAN465PE,0.00,0.00,0.00,55.75,0.00,55.75,397.85,66.00,0,0,0,0.00,0,F1,1000,,,,,
2025-01-08,2025-01-08,FO,NSE,STO,62114,,AARTIIND,,2025-01-30,2025-01-30,405.00,CE,AARTIIND25JAN405CE,13.65,13.65,7.25,9.90,9.85,13.50,397.85,9.90,166000,68000,512,212337400.00,459,F1,1000,,,,,
2025-01-08,2025-01-08,FO,NSE,STO,62115,,AARTIIND,,2025-01-30,2025-01-30,405.00,PE,AARTIIND25JAN405PE,10.70,19.95,10.70,14.65,14.70,11.05,397.85,14.65,155000,30000,227,95401550.00,203,F1,1000,,,,,
2025-01-08,2025-01-08,FO,NSE,STO,62703,,AARTIIND,,2025-03-27,2025-03-27,410.00,PE,AARTIIND25MAR410PE,0.00,0.00,0.00,31.10,0.00,31.10,397.85,30.35,0,0,0,0.00,0,F1,1000,,,,,
2025-01-08,2025-01-08,FO,NSE,STO,57923,,AARTIIND,,2025-02-27,2025-02-27,400.00,PE,AARTIIND25FEB400PE,18.25,22.60,17.20,18.40,18.40,13.65,397.85,20.70,77000,7000,40,16775900.00,39,F1,1000,,,,,
2025-01-08,2025-01-08,FO,NSE,STO,57922,,AARTIIND,,2025-02-27,2025-02-27,400.00,CE,AARTIIND25FEB400CE,20.95,20.95,17.50,19.90,19.90,31.00,397.85,19.90,24000,19000,21,8804250.00,18,F1,1000,,,,,
2025-01-08,2025-01-08,FO,NSE,STO,62696,,AARTIIND,,2025-03-27,2025-03-27,400.00,PE,AARTIIND25MAR400PE,0.00,0.00,0.00,26.45,0.00,26.45,397.85,25.00,0,0,0,0.00,0,F1,1000,,,,,
