TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-01-08,2025-01-08,FO,NSE,STO,108922,,GNFC,,2025-02-27,2025-02-27,550.00,PE,GNFC25FEB550PE,0.00,0.00,0.00,23.95,0.00,23.95,557.30,22.55,0,0,0,0.00,0,F1,1300,,,,,
2025-01-08,2025-01-08,FO,NSE,STO,93376,,GNFC,,2025-01-30,2025-01-30,620.00,CE,GNFC25JAN620CE,2.10,2.70,1.50,2.50,2.65,2.10,557.30,2.50,436800,29900,121,97870045.00,112,F1,1300,,,,,
2025-01-08,2025-01-08,FO,NSE,STO,82948,,GNFC,,2025-02-27,2025-02-27,620.00,PE,GNFC25FEB620PE,0.00,0.00,0.00,48.30,0.00,48.30,557.30,66.75,0,0,0,0.00,0,F1,1300,,,,,
2025-01-08,2025-01-08,FO,NSE,STO,93381,,GNFC,,2025-01-30,2025-01-30,660.00,PE,GNFC25JAN660PE,0.00,0.00,0.00,86.65,86.65,86.65,557.30,100.55,14300,0,0,0.00,0,F1,1300,,,,,
2025-01-08,2025-01-08,FO,NSE,STO,93384,,GNFC,,2025-01-30,2025-01-30,680.00,CE,GNFC25JAN680CE,0.00,0.00,0.00,0.40,0.40,0.40,557.30,0.20,158600,0,0,0.00,0,F1,1300,,,,,
2025-01-08,2025-01-08,FO,NSE,STO,108920,,GNFC,,2025-02-27,2025-02-27,530.00,PE,GNFC25FEB530PE,0.00,0.00,0.00,16.90,0.00,16.90,557.30,14.60,0,0,0,0.00,0,F1,1300,,,,,
2025-01-08,2025-01-08,FO,NSE,STO,108923,,GNFC,,2025-02-27,2025-02-27,570.00,CE,GNFC25FEB570CE,0.00,0.00,0.00,45.30,0.00,45.30,557.30,25.25,0,0,0,0.00,0,F1,1300,,,,,
2025-01-08,2025-01-08,FO,NSE,STO,82839,,GNFC,,2025-01-30,2025-01-30,570.00,CE,GNFC25JAN570CE,9.45,13.35,8.60,12.20,12.95,10.45,557.30,12.20,405600,23400,121,91352235.00,117,F1,1300,,,,,
2025-01-08,2025-01-08,FO,NSE,STO,93379,,GNFC,,2025-01-30,2025-01-30,640.00,PE,GNFC25JAN640PE,0.00,0.00,0.00,45.90,45.90,45.90,557.30,81.35,1300,0,0,0.00,0,F1,1300,,,,,
2025-01-08,2025-01-08,FO,NSE,STO,82951,,GNFC,,2025-02-27,2025-02-27,660.00,CE,GNFC25FEB660CE,0.00,0.00,0.00,37.40,0.00,37.40,557.30,4.00,0,0,0,0.00,0,F1,1300,,,,,
