TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-01-08,2025-01-08,FO,NSE,STO,141011,,TATACHEM,,2025-02-27,2025-02-27,1040.00,PE,TATACHEM25FEB1040PE,0.00,0.00,0.00,51.70,0.00,51.70,1003.70,64.55,0,0,0,0.00,0,F1,550,,,,,
2025-01-08,2025-01-08,FO,NSE,STO,139967,,TATACHEM,,2025-01-30,2025-01-30,1000.00,PE,TATACHEM25JAN1000PE,23.00,28.50,20.60,23.65,23.85,22.70,1003.70,23.65,711150,76450,1079,608175535.00,969,F1,550,,,,,
2025-01-08,2025-01-08,FO,NSE,STO,139966,,TATACHEM,,2025-01-30,2025-01-30,1000.00,CE,TATACHEM25JAN1000CE,40.05,40.05,31.10,33.80,33.60,41.10,1003.70,33.80,273350,77000,1341,762540762.50,1215,F1,550,,,,,
2025-01-08,2025-01-08,FO,NSE,STO,140842,,TATACHEM,,2025-02-27,2025-02-27,960.00,CE,TATACHEM25FEB960CE,0.00,0.00,0.00,93.00,93.00,93.00,1003.70,78.85,550,0,0,0.00,0,F1,550,,,,,
2025-01-08,2025-01-08,FO,NSE,STO,140697,,TATACHEM,,2025-02-27,2025-02-27,920.00,PE,TATACHEM25FEB920PE,12.00,12.00,12.00,12.00,12.00,12.00,1003.70,14.65,21450,0,2,1025200.00,2,F1,550,,,,,
2025-01-08,2025-01-08,FO,NSE,STO,139569,,TATACHEM,,2025-01-30,2025-01-30,1100.00,CE,TATACHEM25JAN1100CE,7.85,7.85,5.70,6.35,6.55,8.25,1003.70,6.35,2190650,271150,2571,1564507780.00,1796,F1,550,,,,,
2025-01-08,2025-01-08,FO,NSE,STO,149431,,TATACHEM,,2025-02-27,2025-02-27,980.00,PE,TATACHEM25FEB980PE,0.00,0.00,0.00,31.75,0.00,31.75,1003.70,33.95,0,0,0,0.00,0,F1,550,,,,,
2025-01-08,2025-01-08,FO,NSE,STO,139972,,TATACHEM,,2025-01-30,2025-01-30,1120.00,CE,TATACHEM25JAN1120CE,5.30,5.30,3.85,4.55,4.60,5.65,1003.70,4.55,574750,13200,780,482400655.00,717,F1,550,,,,,
2025-01-08,2025-01-08,FO,NSE,STO,139973,,TATACHEM,,2025-01-30,2025-01-30,1120.00,PE,TATACHEM25JAN1120PE,121.15,121.15,112.50,112.55,112.55,128.00,1003.70,112.55,24750,-1650,4,2717220.00,4,F1,550,,,,,
2025-01-08,2025-01-08,FO,NSE,STO,149481,,TATACHEM,,2025-03-27,2025-03-27,1120.00,PE,TATACHEM25MAR1120PE,0.00,0.00,0.00,108.95,0.00,108.95,1003.70,126.80,0,0,0,0.00,0,F1,550,,,,,
2025-01-08,2025-01-08,FO,NSE,STO,149473,,TATACHEM,,2025-03-27,2025-03-27,960.00,PE,TATACHEM25MAR960PE,0.00,0.00,0.00,35.25,0.00,35.25,1003.70,35.50,0,0,0,0.00,0,F1,550,,,,,
2025-01-08,2025-01-08,FO,NSE,STO,139960,,TATACHEM,,2025-01-30,2025-01-30,880.00,CE,TATACHEM25JAN880CE,0.00,0.00,0.00,293.05,0.00,293.05,1003.70,128.85,0,0,0,0.00,0,F1,550,,,,,
2025-01-08,2025-01-08,FO,NSE,STO,139980,,TATACHEM,,2025-01-30,2025-01-30,1280.00,CE,TATACHEM25JAN1280CE,0.65,0.65,0.45,0.50,0.50,0.70,1003.70,0.05,173800,-6600,24,16903590.00,24,F1,550,,,,,
2025-01-08,2025-01-08,FO,NSE,STO,139974,,TATACHEM,,2025-01-30,2025-01-30,1160.00,CE,TATACHEM25JAN1160CE,2.20,2.60,1.95,2.50,2.40,2.85,1003.70,2.50,361900,-39600,452,288957102.50,324,F1,550,,,,,
2025-01-08,2025-01-08,FO,NSE,STO,149482,,TATACHEM,,2025-03-27,2025-03-27,1160.00,CE,TATACHEM25MAR1160CE,0.00,0.00,0.00,53.00,0.00,53.00,1003.70,18.30,0,0,0,0.00,0,F1,550,,,,,
2025-01-08,2025-01-08,FO,NSE,STO,141010,,TATACHEM,,2025-02-27,2025-02-27,1040.00,CE,TATACHEM25FEB1040CE,42.20,42.20,36.45,36.45,36.45,43.00,1003.70,37.80,4400,2200,7,4154012.50,7,F1,550,,,,,
