TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-01-08,2025-01-08,FO,NSE,STO,143832,,TIINDIA,,2025-02-27,2025-02-27,3400.00,CE,TIINDIA25FEB3400CE,0.00,0.00,0.00,458.45,0.00,458.45,3522.00,280.15,0,0,0,0.00,0,F1,150,,,,,
2025-01-08,2025-01-08,FO,NSE,STO,150844,,TIINDIA,,2025-02-27,2025-02-27,3150.00,CE,TIINDIA25FEB3150CE,0.00,0.00,0.00,601.60,0.00,601.60,3522.00,451.85,0,0,0,0.00,0,F1,150,,,,,
2025-01-08,2025-01-08,FO,NSE,STO,143737,,TIINDIA,,2025-01-30,2025-01-30,3200.00,PE,TIINDIA25JAN3200PE,44.80,57.95,24.55,28.10,24.55,36.20,3522.00,28.10,16800,11250,651,317042595.00,457,F1,150,,,,,
2025-01-08,2025-01-08,FO,NSE,STO,143843,,TIINDIA,,2025-02-27,2025-02-27,3900.00,PE,TIINDIA25FEB3900PE,0.00,0.00,0.00,486.95,0.00,486.95,3522.00,422.10,0,0,0,0.00,0,F1,150,,,,,
2025-01-08,2025-01-08,FO,NSE,STO,150915,,TIINDIA,,2025-03-27,2025-03-27,3900.00,PE,TIINDIA25MAR3900PE,0.00,0.00,0.00,446.95,0.00,446.95,3522.00,451.05,0,0,0,0.00,0,F1,150,,,,,
2025-01-08,2025-01-08,FO,NSE,STO,150847,,TIINDIA,,2025-02-27,2025-02-27,3250.00,PE,TIINDIA25FEB3250PE,0.00,0.00,0.00,101.10,0.00,101.10,3522.00,75.70,0,0,0,0.00,0,F1,150,,,,,
2025-01-08,2025-01-08,FO,NSE,STO,143738,,TIINDIA,,2025-01-30,2025-01-30,3250.00,CE,TIINDIA25JAN3250CE,0.00,0.00,0.00,489.65,0.00,489.65,3522.00,316.85,0,0,0,0.00,0,F1,150,,,,,
2025-01-08,2025-01-08,FO,NSE,STO,150906,,TIINDIA,,2025-03-27,2025-03-27,3500.00,CE,TIINDIA25MAR3500CE,0.00,0.00,0.00,433.85,0.00,433.85,3522.00,282.70,0,0,0,0.00,0,F1,150,,,,,
2025-01-08,2025-01-08,FO,NSE,STO,143749,,TIINDIA,,2025-01-30,2025-01-30,3500.00,PE,TIINDIA25JAN3500PE,160.00,169.85,121.40,123.05,125.00,137.70,3522.00,123.05,10500,1800,49,26754630.00,45,F1,150,,,,,
2025-01-08,2025-01-08,FO,NSE,STO,143844,,TIINDIA,,2025-02-27,2025-02-27,4000.00,CE,TIINDIA25FEB4000CE,0.00,0.00,0.00,204.50,0.00,204.50,3522.00,59.45,0,0,0,0.00,0,F1,150,,,,,
