TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-01-09,2025-01-09,FO,NSE,STO,65442,,ABFRL,,2025-02-27,2025-02-27,305.00,CE,ABFRL25FEB305CE,0.00,0.00,0.00,12.40,0.00,12.40,276.55,5.50,0,0,0,0.00,0,F1,2600,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,58814,,ABFRL,,2025-01-30,2025-01-30,255.00,CE,ABFRL25JAN255CE,17.20,25.30,15.90,24.15,25.30,17.65,276.55,24.15,46800,20800,85,60636680.00,84,F1,2600,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,69440,,ABFRL,,2025-01-30,2025-01-30,230.00,CE,ABFRL25JAN230CE,0.00,0.00,0.00,84.45,0.00,84.45,276.55,47.55,0,0,0,0.00,0,F1,2600,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,65490,,ABFRL,,2025-03-27,2025-03-27,230.00,PE,ABFRL25MAR230PE,0.00,0.00,0.00,4.00,0.00,4.00,276.55,2.20,0,0,0,0.00,0,F1,2600,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,58813,,ABFRL,,2025-01-30,2025-01-30,245.00,PE,ABFRL25JAN245PE,0.75,0.75,0.75,0.75,0.75,1.60,276.55,0.75,20800,15600,10,6389500.00,10,F1,2600,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,65494,,ABFRL,,2025-03-27,2025-03-27,250.00,CE,ABFRL25MAR250CE,0.00,0.00,0.00,45.30,0.00,45.30,276.55,36.05,0,0,0,0.00,0,F1,2600,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,69483,,ABFRL,,2025-01-30,2025-01-30,280.00,PE,ABFRL25JAN280PE,17.75,17.75,9.30,9.95,9.65,16.10,276.55,9.95,928200,7800,265,200663970.00,243,F1,2600,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,58909,,ABFRL,,2025-02-27,2025-02-27,260.00,PE,ABFRL25FEB260PE,0.00,0.00,0.00,5.40,0.00,5.40,276.55,6.35,0,0,0,0.00,0,F1,2600,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,58911,,ABFRL,,2025-02-27,2025-02-27,270.00,PE,ABFRL25FEB270PE,9.50,9.50,9.50,9.50,9.50,6.90,276.55,10.05,5200,0,1,726700.00,1,F1,2600,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,69480,,ABFRL,,2025-01-30,2025-01-30,270.00,CE,ABFRL25JAN270CE,8.00,14.25,6.95,12.70,14.00,8.15,276.55,12.70,673400,-158600,1906,1386949980.00,1549,F1,2600,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,58829,,ABFRL,,2025-01-30,2025-01-30,275.00,PE,ABFRL25JAN275PE,12.80,13.55,6.90,7.45,7.25,12.40,276.55,7.45,572000,145600,435,321061130.00,407,F1,2600,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,65433,,ABFRL,,2025-02-27,2025-02-27,275.00,PE,ABFRL25FEB275PE,0.00,0.00,0.00,14.55,0.00,14.55,276.55,12.30,0,0,0,0.00,0,F1,2600,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,65430,,ABFRL,,2025-02-27,2025-02-27,275.00,CE,ABFRL25FEB275CE,0.00,0.00,0.00,25.30,0.00,25.30,276.55,16.30,0,0,0,0.00,0,F1,2600,,,,,
