TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-01-09,2025-01-09,FO,NSE,STO,67142,,BHARTIARTL,,2025-01-30,2025-01-30,1700.00,PE,BHARTIARTL25JAN1700PE,95.45,100.50,85.00,91.30,90.90,97.90,1607.05,91.30,169575,-4750,67,57063887.50,61,F1,475,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,67371,,BHARTIARTL,,2025-02-27,2025-02-27,1680.00,PE,BHARTIARTL25FEB1680PE,0.00,0.00,0.00,134.50,0.00,134.50,1607.05,86.45,0,0,0,0.00,0,F1,475,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,80544,,BHARTIARTL,,2025-01-30,2025-01-30,1440.00,CE,BHARTIARTL25JAN1440CE,0.00,0.00,0.00,215.00,0.00,215.00,1607.05,173.10,0,0,0,0.00,0,F1,475,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,86205,,BHARTIARTL,,2025-02-27,2025-02-27,1460.00,CE,BHARTIARTL25FEB1460CE,0.00,0.00,0.00,173.95,0.00,173.95,1607.05,165.80,0,0,0,0.00,0,F1,475,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,67139,,BHARTIARTL,,2025-01-30,2025-01-30,1660.00,CE,BHARTIARTL25JAN1660CE,11.30,16.80,9.50,12.65,12.80,11.60,1607.05,12.65,713450,70300,2989,2374870942.50,2539,F1,475,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,86324,,BHARTIARTL,,2025-02-27,2025-02-27,1740.00,PE,BHARTIARTL25FEB1740PE,0.00,0.00,0.00,147.95,0.00,147.95,1607.05,131.40,0,0,0,0.00,0,F1,475,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,86272,,BHARTIARTL,,2025-02-27,2025-02-27,1660.00,CE,BHARTIARTL25FEB1660CE,32.00,36.00,32.00,35.10,35.10,32.00,1607.05,35.50,4275,2850,6,4828470.00,6,F1,475,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,86724,,BHARTIARTL,,2025-03-27,2025-03-27,1520.00,PE,BHARTIARTL25MAR1520PE,0.00,0.00,0.00,40.00,0.00,40.00,1607.05,22.70,0,0,0,0.00,0,F1,475,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,80552,,BHARTIARTL,,2025-01-30,2025-01-30,1520.00,CE,BHARTIARTL25JAN1520CE,0.00,0.00,0.00,93.30,93.35,93.30,1607.05,98.30,22800,0,0,0.00,0,F1,475,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,80647,,BHARTIARTL,,2025-01-30,2025-01-30,1800.00,CE,BHARTIARTL25JAN1800CE,1.45,1.90,1.20,1.50,1.50,1.35,1607.05,1.50,847875,34200,541,462951981.25,436,F1,475,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,80527,,BHARTIARTL,,2025-01-30,2025-01-30,1320.00,PE,BHARTIARTL25JAN1320PE,0.55,0.55,0.50,0.50,0.50,0.50,1607.05,0.05,11400,0,3,1881760.00,3,F1,475,,,,,
