TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-01-09,2025-01-09,FO,NSE,STO,92390,,CESC,,2025-03-27,2025-03-27,180.00,CE,CESC25MAR180CE,0.00,0.00,0.00,21.05,0.00,21.05,169.90,8.95,0,0,0,0.00,0,F1,2925,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,71808,,CESC,,2025-02-27,2025-02-27,180.00,CE,CESC25FEB180CE,7.10,7.10,7.10,7.10,7.10,7.05,169.90,6.20,2925,0,1,547267.50,1,F1,2925,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,71793,,CESC,,2025-02-27,2025-02-27,140.00,PE,CESC25FEB140PE,0.00,0.00,0.00,3.05,0.00,3.05,169.90,0.75,0,0,0,0.00,0,F1,2925,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,71593,,CESC,,2025-01-30,2025-01-30,140.00,CE,CESC25JAN140CE,0.00,0.00,0.00,37.90,0.00,37.90,169.90,30.55,0,0,0,0.00,0,F1,2925,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,71850,,CESC,,2025-02-27,2025-02-27,195.00,CE,CESC25FEB195CE,0.00,0.00,0.00,10.00,0.00,10.00,169.90,2.55,0,0,0,0.00,0,F1,2925,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,92508,,CESC,,2025-03-27,2025-03-27,220.00,CE,CESC25MAR220CE,0.00,0.00,0.00,6.95,0.00,6.95,169.90,1.35,0,0,0,0.00,0,F1,2925,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,71809,,CESC,,2025-02-27,2025-02-27,180.00,PE,CESC25FEB180PE,0.00,0.00,0.00,12.00,12.00,12.00,169.90,14.70,2925,0,0,0.00,0,F1,2925,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,71628,,CESC,,2025-01-30,2025-01-30,180.00,CE,CESC25JAN180CE,4.80,5.15,2.95,3.25,3.10,4.90,169.90,3.25,1582425,541125,754,405334215.00,543,F1,2925,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,92394,,CESC,,2025-03-27,2025-03-27,190.00,CE,CESC25MAR190CE,0.00,0.00,0.00,16.30,0.00,16.30,169.90,5.85,0,0,0,0.00,0,F1,2925,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,71864,,CESC,,2025-02-27,2025-02-27,220.00,PE,CESC25FEB220PE,0.00,0.00,0.00,46.25,0.00,46.25,169.90,48.55,0,0,0,0.00,0,F1,2925,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,92503,,CESC,,2025-03-27,2025-03-27,190.00,PE,CESC25MAR190PE,0.00,0.00,0.00,18.05,0.00,18.05,169.90,23.25,0,0,0,0.00,0,F1,2925,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,71637,,CESC,,2025-01-30,2025-01-30,190.00,CE,CESC25JAN190CE,2.05,2.45,1.30,1.45,1.40,2.30,169.90,1.45,2316600,210600,493,276303251.25,368,F1,2925,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,71615,,CESC,,2025-01-30,2025-01-30,162.50,PE,CESC25JAN162.5PE,3.50,4.25,2.90,4.10,4.20,3.00,169.90,4.10,152100,8775,49,23783175.00,46,F1,2925,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,71616,,CESC,,2025-01-30,2025-01-30,165.00,CE,CESC25JAN165CE,12.10,13.20,9.35,9.65,9.50,12.65,169.90,9.65,114075,67275,55,28240143.75,54,F1,2925,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,71630,,CESC,,2025-01-30,2025-01-30,182.50,CE,CESC25JAN182.5CE,3.60,4.15,2.40,2.70,2.55,4.00,169.90,2.70,201825,38025,139,75432825.00,118,F1,2925,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,71642,,CESC,,2025-01-30,2025-01-30,195.00,CE,CESC25JAN195CE,1.50,1.60,0.90,1.00,0.95,1.60,169.90,1.00,1146600,64350,223,127918147.50,175,F1,2925,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,71711,,CESC,,2025-01-30,2025-01-30,205.00,CE,CESC25JAN205CE,0.75,0.75,0.40,0.45,0.40,0.80,169.90,0.45,427050,-20475,29,17441190.00,23,F1,2925,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,71857,,CESC,,2025-02-27,2025-02-27,205.00,PE,CESC25FEB205PE,0.00,0.00,0.00,34.35,0.00,34.35,169.90,34.55,0,0,0,0.00,0,F1,2925,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,71863,,CESC,,2025-02-27,2025-02-27,220.00,CE,CESC25FEB220CE,0.00,0.00,0.00,4.55,0.00,4.55,169.90,0.45,0,0,0,0.00,0,F1,2925,,,,,
