TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-01-09,2025-01-09,FO,NSE,STO,76237,,CYIENT,,2025-01-30,2025-01-30,1700.00,PE,CYIENT25JAN1700PE,24.15,30.35,20.05,27.70,27.65,29.90,1793.80,27.70,65400,-5100,96,49655505.00,59,F1,300,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,76216,,CYIENT,,2025-01-30,2025-01-30,1700.00,CE,CYIENT25JAN1700CE,155.00,155.00,135.00,135.00,135.00,131.25,1793.80,119.95,2700,0,2,1107000.00,2,F1,300,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,100745,,CYIENT,,2025-03-27,2025-03-27,1680.00,CE,CYIENT25MAR1680CE,0.00,0.00,0.00,323.20,0.00,323.20,1793.80,188.70,0,0,0,0.00,0,F1,300,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,76335,,CYIENT,,2025-01-30,2025-01-30,1900.00,CE,CYIENT25JAN1900CE,43.05,46.00,23.40,24.65,23.75,33.05,1793.80,24.65,126000,-21000,446,258810360.00,391,F1,300,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,100480,,CYIENT,,2025-02-27,2025-02-27,1900.00,CE,CYIENT25FEB1900CE,0.00,0.00,0.00,154.15,0.00,154.15,1793.80,52.60,0,0,0,0.00,0,F1,300,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,100772,,CYIENT,,2025-03-27,2025-03-27,1800.00,PE,CYIENT25MAR1800PE,0.00,0.00,0.00,80.70,0.00,80.70,1793.80,100.40,0,0,0,0.00,0,F1,300,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,76370,,CYIENT,,2025-01-30,2025-01-30,2060.00,PE,CYIENT25JAN2060PE,0.00,0.00,0.00,237.65,0.00,237.65,1793.80,261.25,0,0,0,0.00,0,F1,300,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,76449,,CYIENT,,2025-01-30,2025-01-30,2200.00,PE,CYIENT25JAN2200PE,0.00,0.00,0.00,347.20,0.00,347.20,1793.80,398.00,0,0,0,0.00,0,F1,300,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,76316,,CYIENT,,2025-01-30,2025-01-30,1820.00,CE,CYIENT25JAN1820CE,74.00,83.00,46.15,46.60,46.15,61.55,1793.80,46.60,12600,3000,72,40672125.00,67,F1,300,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,76331,,CYIENT,,2025-01-30,2025-01-30,1860.00,CE,CYIENT25JAN1860CE,48.90,62.45,31.60,34.85,34.50,47.50,1793.80,34.85,18900,6600,84,47942925.00,77,F1,300,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,76344,,CYIENT,,2025-01-30,2025-01-30,1940.00,PE,CYIENT25JAN1940PE,0.00,0.00,0.00,158.15,0.00,158.15,1793.80,153.10,0,0,0,0.00,0,F1,300,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,100483,,CYIENT,,2025-02-27,2025-02-27,1940.00,PE,CYIENT25FEB1940PE,0.00,0.00,0.00,121.45,0.00,121.45,1793.80,169.60,0,0,0,0.00,0,F1,300,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,100747,,CYIENT,,2025-03-27,2025-03-27,1720.00,CE,CYIENT25MAR1720CE,0.00,0.00,0.00,294.45,0.00,294.45,1793.80,163.40,0,0,0,0.00,0,F1,300,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,76597,,CYIENT,,2025-02-27,2025-02-27,1720.00,PE,CYIENT25FEB1720PE,0.00,0.00,0.00,74.55,0.00,74.55,1793.80,48.50,0,0,0,0.00,0,F1,300,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,100938,,CYIENT,,2025-03-27,2025-03-27,1960.00,CE,CYIENT25MAR1960CE,0.00,0.00,0.00,155.60,0.00,155.60,1793.80,58.40,0,0,0,0.00,0,F1,300,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,76306,,CYIENT,,2025-01-30,2025-01-30,1740.00,PE,CYIENT25JAN1740PE,32.00,43.00,26.95,43.00,43.00,53.00,1793.80,31.50,6000,1800,32,17013285.00,27,F1,300,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,76200,,CYIENT,,2025-01-30,2025-01-30,1600.00,PE,CYIENT25JAN1600PE,10.00,13.25,8.00,10.05,10.05,11.70,1793.80,10.05,37200,-900,105,50711655.00,51,F1,300,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,100615,,CYIENT,,2025-03-27,2025-03-27,1600.00,PE,CYIENT25MAR1600PE,0.00,0.00,0.00,27.80,0.00,27.80,1793.80,29.40,0,0,0,0.00,0,F1,300,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,100484,,CYIENT,,2025-02-27,2025-02-27,1980.00,CE,CYIENT25FEB1980CE,0.00,0.00,0.00,116.00,0.00,116.00,1793.80,31.40,0,0,0,0.00,0,F1,300,,,,,
