TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-01-09,2025-01-09,FO,NSE,STO,77640,,DEEPAKNTR,,2025-02-27,2025-02-27,2400.00,PE,DEEPAKNTR25FEB2400PE,72.00,82.00,72.00,82.00,82.00,88.00,2458.50,74.20,2100,1200,5,3713400.00,4,F1,300,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,89393,,DEEPAKNTR,,2025-01-30,2025-01-30,2400.00,PE,DEEPAKNTR25JAN2400PE,44.20,46.30,27.40,41.90,42.20,44.40,2458.50,41.90,115800,18900,1060,775200915.00,890,F1,300,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,77549,,DEEPAKNTR,,2025-01-30,2025-01-30,2250.00,PE,DEEPAKNTR25JAN2250PE,10.90,12.75,8.80,11.25,10.70,10.90,2458.50,11.25,24000,10800,209,141776145.00,198,F1,300,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,102057,,DEEPAKNTR,,2025-02-27,2025-02-27,2250.00,PE,DEEPAKNTR25FEB2250PE,0.00,0.00,0.00,35.15,0.00,35.15,2458.50,28.80,0,0,0,0.00,0,F1,300,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,77545,,DEEPAKNTR,,2025-01-30,2025-01-30,2250.00,CE,DEEPAKNTR25JAN2250CE,0.00,0.00,0.00,203.05,203.05,203.05,2458.50,226.20,300,0,0,0.00,0,F1,300,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,89390,,DEEPAKNTR,,2025-01-30,2025-01-30,2300.00,CE,DEEPAKNTR25JAN2300CE,178.15,197.70,176.55,176.55,176.55,162.50,2458.50,183.65,1800,900,13,9695505.00,9,F1,300,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,102147,,DEEPAKNTR,,2025-03-27,2025-03-27,2300.00,PE,DEEPAKNTR25MAR2300PE,0.00,0.00,0.00,65.60,0.00,65.60,2458.50,59.80,0,0,0,0.00,0,F1,300,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,77644,,DEEPAKNTR,,2025-02-27,2025-02-27,2600.00,PE,DEEPAKNTR25FEB2600PE,0.00,0.00,0.00,110.00,110.00,110.00,2458.50,182.75,300,0,0,0.00,0,F1,300,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,102066,,DEEPAKNTR,,2025-02-27,2025-02-27,2650.00,CE,DEEPAKNTR25FEB2650CE,0.00,0.00,0.00,139.70,0.00,139.70,2458.50,50.30,0,0,0,0.00,0,F1,300,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,77537,,DEEPAKNTR,,2025-01-30,2025-01-30,2150.00,CE,DEEPAKNTR25JAN2150CE,0.00,0.00,0.00,593.35,0.00,593.35,2458.50,318.95,0,0,0,0.00,0,F1,300,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,89386,,DEEPAKNTR,,2025-01-30,2025-01-30,2200.00,CE,DEEPAKNTR25JAN2200CE,276.95,276.95,276.95,276.95,276.95,420.00,2458.50,271.60,1500,300,1,743085.00,1,F1,300,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,102064,,DEEPAKNTR,,2025-02-27,2025-02-27,2550.00,CE,DEEPAKNTR25FEB2550CE,0.00,0.00,0.00,186.40,0.00,186.40,2458.50,82.05,0,0,0,0.00,0,F1,300,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,77566,,DEEPAKNTR,,2025-01-30,2025-01-30,2550.00,PE,DEEPAKNTR25JAN2550PE,96.70,123.50,92.75,121.15,123.50,131.30,2458.50,121.15,38100,6600,132,105241095.00,130,F1,300,,,,,
