TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-01-09,2025-01-09,FO,NSE,STO,86671,,HFCL,,2025-02-27,2025-02-27,135.00,PE,HFCL25FEB135PE,0.00,0.00,0.00,16.60,0.00,16.60,104.90,29.90,0,0,0,0.00,0,F1,4150,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,86618,,HFCL,,2025-01-30,2025-01-30,150.00,CE,HFCL25JAN150CE,0.00,0.00,0.00,0.20,0.20,0.20,104.90,0.05,20750,0,0,0.00,0,F1,4150,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,86573,,HFCL,,2025-01-30,2025-01-30,107.50,PE,HFCL25JAN107.5PE,4.25,5.10,3.70,5.05,4.95,4.05,104.90,5.05,585150,-24900,51,23716212.50,38,F1,4150,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,113975,,HFCL,,2025-02-27,2025-02-27,107.50,PE,HFCL25FEB107.5PE,0.00,0.00,0.00,7.60,0.00,7.60,104.90,8.80,0,0,0,0.00,0,F1,4150,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,86580,,HFCL,,2025-01-30,2025-01-30,115.00,CE,HFCL25JAN115CE,1.70,1.85,1.00,1.05,1.05,1.80,104.90,1.05,2485850,-112050,404,194955380.00,274,F1,4150,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,86663,,HFCL,,2025-02-27,2025-02-27,115.00,PE,HFCL25FEB115PE,0.00,0.00,0.00,6.75,6.75,6.75,104.90,13.55,4150,0,0,0.00,0,F1,4150,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,86662,,HFCL,,2025-02-27,2025-02-27,115.00,CE,HFCL25FEB115CE,0.00,0.00,0.00,6.50,6.50,6.50,104.90,4.45,4150,0,0,0.00,0,F1,4150,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,113958,,HFCL,,2025-02-27,2025-02-27,102.50,CE,HFCL25FEB102.5CE,0.00,0.00,0.00,19.10,0.00,19.10,104.90,9.55,0,0,0,0.00,0,F1,4150,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,113957,,HFCL,,2025-02-27,2025-02-27,97.50,PE,HFCL25FEB97.5PE,0.00,0.00,0.00,4.00,0.00,4.00,104.90,4.15,0,0,0,0.00,0,F1,4150,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,86600,,HFCL,,2025-01-30,2025-01-30,135.00,CE,HFCL25JAN135CE,0.10,0.10,0.10,0.10,0.10,0.10,104.90,0.10,1282350,-95450,39,21865935.00,12,F1,4150,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,86670,,HFCL,,2025-02-27,2025-02-27,135.00,CE,HFCL25FEB135CE,0.00,0.00,0.00,17.20,0.00,17.20,104.90,1.05,0,0,0,0.00,0,F1,4150,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,113983,,HFCL,,2025-02-27,2025-02-27,127.50,PE,HFCL25FEB127.5PE,0.00,0.00,0.00,18.75,0.00,18.75,104.90,23.30,0,0,0,0.00,0,F1,4150,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,86592,,HFCL,,2025-01-30,2025-01-30,127.50,CE,HFCL25JAN127.5CE,0.40,0.40,0.25,0.25,0.25,0.40,104.90,0.35,551950,-4150,10,5302870.00,6,F1,4150,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,41908,,HFCL,,2025-02-27,2025-02-27,85.00,PE,HFCL25FEB85PE,0.00,0.00,0.00,1.25,0.00,1.25,104.90,1.05,0,0,0,0.00,0,F1,4150,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,86604,,HFCL,,2025-01-30,2025-01-30,140.00,CE,HFCL25JAN140CE,0.10,0.10,0.05,0.10,0.10,0.05,104.90,0.05,1070700,-58100,23,13368602.50,10,F1,4150,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,86655,,HFCL,,2025-02-27,2025-02-27,95.00,PE,HFCL25FEB95PE,0.00,0.00,0.00,2.40,0.00,2.40,104.90,3.30,0,0,0,0.00,0,F1,4150,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,86553,,HFCL,,2025-01-30,2025-01-30,95.00,PE,HFCL25JAN95PE,0.70,0.80,0.55,0.75,0.75,0.60,104.90,0.75,688900,-99600,59,23439615.00,39,F1,4150,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,114126,,HFCL,,2025-03-27,2025-03-27,95.00,PE,HFCL25MAR95PE,0.00,0.00,0.00,4.85,0.00,4.85,104.90,4.75,0,0,0,0.00,0,F1,4150,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,86598,,HFCL,,2025-01-30,2025-01-30,132.50,CE,HFCL25JAN132.5CE,0.00,0.00,0.00,0.60,0.60,0.60,104.90,0.20,564400,0,0,0.00,0,F1,4150,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,86657,,HFCL,,2025-02-27,2025-02-27,100.00,PE,HFCL25FEB100PE,0.00,0.00,0.00,3.10,3.10,3.10,104.90,5.10,4150,0,0,0.00,0,F1,4150,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,86549,,HFCL,,2025-01-30,2025-01-30,85.00,PE,HFCL25JAN85PE,0.00,0.00,0.00,0.50,0.00,0.50,104.90,0.20,0,0,0,0.00,0,F1,4150,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,86548,,HFCL,,2025-01-30,2025-01-30,85.00,CE,HFCL25JAN85CE,0.00,0.00,0.00,49.75,0.00,49.75,104.90,20.40,0,0,0,0.00,0,F1,4150,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,41894,,HFCL,,2025-02-27,2025-02-27,85.00,CE,HFCL25FEB85CE,0.00,0.00,0.00,46.80,0.00,46.80,104.90,21.75,0,0,0,0.00,0,F1,4150,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,86610,,HFCL,,2025-01-30,2025-01-30,145.00,CE,HFCL25JAN145CE,0.10,0.10,0.10,0.10,0.10,0.10,104.90,0.05,132800,-4150,3,1806495.00,3,F1,4150,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,86567,,HFCL,,2025-01-30,2025-01-30,100.00,PE,HFCL25JAN100PE,1.45,1.85,1.25,1.80,1.80,1.45,104.90,1.80,1211800,-12450,197,83046065.00,123,F1,4150,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,114127,,HFCL,,2025-03-27,2025-03-27,100.00,CE,HFCL25MAR100CE,0.00,0.00,0.00,22.95,0.00,22.95,104.90,13.05,0,0,0,0.00,0,F1,4150,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,86569,,HFCL,,2025-01-30,2025-01-30,102.50,PE,HFCL25JAN102.5PE,1.95,2.65,1.95,2.65,2.55,2.05,104.90,2.65,307100,45650,27,11764212.50,24,F1,4150,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,86669,,HFCL,,2025-02-27,2025-02-27,130.00,PE,HFCL25FEB130PE,0.00,0.00,0.00,13.95,0.00,13.95,104.90,25.45,0,0,0,0.00,0,F1,4150,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,114172,,HFCL,,2025-03-27,2025-03-27,130.00,PE,HFCL25MAR130PE,0.00,0.00,0.00,22.30,0.00,22.30,104.90,26.30,0,0,0,0.00,0,F1,4150,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,86664,,HFCL,,2025-02-27,2025-02-27,120.00,CE,HFCL25FEB120CE,0.00,0.00,0.00,3.00,3.00,3.00,104.90,3.20,8300,0,0,0.00,0,F1,4150,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,86619,,HFCL,,2025-01-30,2025-01-30,150.00,PE,HFCL25JAN150PE,0.00,0.00,0.00,40.55,40.55,40.55,104.90,44.55,12450,0,0,0.00,0,F1,4150,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,113977,,HFCL,,2025-02-27,2025-02-27,112.50,PE,HFCL25FEB112.5PE,0.00,0.00,0.00,9.90,0.00,9.90,104.90,11.85,0,0,0,0.00,0,F1,4150,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,114170,,HFCL,,2025-03-27,2025-03-27,125.00,PE,HFCL25MAR125PE,0.00,0.00,0.00,19.00,0.00,19.00,104.90,22.30,0,0,0,0.00,0,F1,4150,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,86667,,HFCL,,2025-02-27,2025-02-27,125.00,PE,HFCL25FEB125PE,0.00,0.00,0.00,11.55,0.00,11.55,104.90,21.20,0,0,0,0.00,0,F1,4150,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,86582,,HFCL,,2025-01-30,2025-01-30,117.50,CE,HFCL25JAN117.5CE,1.35,1.35,0.70,0.75,0.75,1.40,104.90,0.75,788500,153550,83,40769392.50,53,F1,4150,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,86654,,HFCL,,2025-02-27,2025-02-27,95.00,CE,HFCL25FEB95CE,0.00,0.00,0.00,42.30,0.00,42.30,104.90,14.05,0,0,0,0.00,0,F1,4150,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,114125,,HFCL,,2025-03-27,2025-03-27,95.00,CE,HFCL25MAR95CE,0.00,0.00,0.00,26.20,0.00,26.20,104.90,16.00,0,0,0,0.00,0,F1,4150,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,86552,,HFCL,,2025-01-30,2025-01-30,95.00,CE,HFCL25JAN95CE,0.00,0.00,0.00,40.70,0.00,40.70,104.90,11.65,0,0,0,0.00,0,F1,4150,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,86599,,HFCL,,2025-01-30,2025-01-30,132.50,PE,HFCL25JAN132.5PE,0.00,0.00,0.00,17.25,17.25,17.25,104.90,27.25,8300,0,0,0.00,0,F1,4150,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,86551,,HFCL,,2025-01-30,2025-01-30,90.00,PE,HFCL25JAN90PE,0.25,0.35,0.25,0.35,0.35,0.35,104.90,0.35,207500,16600,8,2997960.00,8,F1,4150,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,86607,,HFCL,,2025-01-30,2025-01-30,140.00,PE,HFCL25JAN140PE,0.00,0.00,0.00,24.85,24.85,24.85,104.90,34.60,24900,0,0,0.00,0,F1,4150,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,86672,,HFCL,,2025-02-27,2025-02-27,140.00,CE,HFCL25FEB140CE,0.00,0.00,0.00,5.60,5.60,5.60,104.90,0.70,4150,0,0,0.00,0,F1,4150,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,86566,,HFCL,,2025-01-30,2025-01-30,100.00,CE,HFCL25JAN100CE,7.85,7.85,7.20,7.30,7.30,15.65,104.90,7.30,41500,16600,7,3121630.00,7,F1,4150,,,,,
