TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-01-09,2025-01-09,FO,NSE,STO,114963,,NAVINFLUOR,,2025-01-30,2025-01-30,4350.00,CE,NAVINFLUOR25JAN4350CE,28.00,29.35,12.10,13.45,12.10,23.50,3824.55,13.45,1750,1750,72,55072587.50,42,F1,175,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,115046,,NAVINFLUOR,,2025-02-27,2025-02-27,3200.00,PE,NAVINFLUOR25FEB3200PE,25.05,25.50,12.05,12.05,12.05,45.00,3824.55,9.95,1925,0,5,2819267.50,5,F1,175,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,115055,,NAVINFLUOR,,2025-02-27,2025-02-27,3700.00,CE,NAVINFLUOR25FEB3700CE,0.00,0.00,0.00,80.00,80.00,80.00,3824.55,266.70,350,0,0,0.00,0,F1,175,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,119191,,NAVINFLUOR,,2025-01-30,2025-01-30,3700.00,CE,NAVINFLUOR25JAN3700CE,65.30,317.60,65.30,213.20,213.35,30.50,3824.55,213.20,63875,-13125,1257,865221315.00,1119,F1,175,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,114947,,NAVINFLUOR,,2025-01-30,2025-01-30,3550.00,PE,NAVINFLUOR25JAN3550PE,39.95,39.95,20.15,30.50,30.40,155.40,3824.55,30.50,18025,11550,518,324355228.75,450,F1,175,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,114949,,NAVINFLUOR,,2025-01-30,2025-01-30,3650.00,CE,NAVINFLUOR25JAN3650CE,91.35,353.65,91.35,250.25,250.25,42.20,3824.55,250.25,11550,-4375,244,166854152.50,222,F1,175,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,133871,,NAVINFLUOR,,2025-02-27,2025-02-27,2950.00,PE,NAVINFLUOR25FEB2950PE,0.00,0.00,0.00,50.70,0.00,50.70,3824.55,1.55,0,0,0,0.00,0,F1,175,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,133870,,NAVINFLUOR,,2025-02-27,2025-02-27,2950.00,CE,NAVINFLUOR25FEB2950CE,0.00,0.00,0.00,463.95,0.00,463.95,3824.55,902.75,0,0,0,0.00,0,F1,175,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,114934,,NAVINFLUOR,,2025-01-30,2025-01-30,2950.00,CE,NAVINFLUOR25JAN2950CE,0.00,0.00,0.00,588.20,0.00,588.20,3824.55,886.00,0,0,0,0.00,0,F1,175,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,119200,,NAVINFLUOR,,2025-01-30,2025-01-30,4100.00,PE,NAVINFLUOR25JAN4100PE,309.85,309.90,295.00,295.00,295.00,751.70,3824.55,293.35,700,700,4,3084313.75,3,F1,175,,,,,
