TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-01-09,2025-01-09,FO,NSE,STO,125585,,POONAWALLA,,2025-02-27,2025-02-27,280.00,CE,POONAWALLA25FEB280CE,0.00,0.00,0.00,102.20,0.00,102.20,313.45,41.15,0,0,0,0.00,0,F1,1450,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,146923,,POONAWALLA,,2025-03-27,2025-03-27,280.00,PE,POONAWALLA25MAR280PE,0.00,0.00,0.00,12.05,0.00,12.05,313.45,8.15,0,0,0,0.00,0,F1,1450,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,125230,,POONAWALLA,,2025-01-30,2025-01-30,280.00,CE,POONAWALLA25JAN280CE,35.60,35.60,35.60,35.60,35.60,35.60,313.45,36.20,8700,4350,3,1372860.00,3,F1,1450,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,125261,,POONAWALLA,,2025-01-30,2025-01-30,355.00,PE,POONAWALLA25JAN355PE,0.00,0.00,0.00,43.15,43.15,43.15,313.45,41.90,1450,0,0,0.00,0,F1,1450,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,125584,,POONAWALLA,,2025-02-27,2025-02-27,270.00,PE,POONAWALLA25FEB270PE,0.00,0.00,0.00,3.25,0.00,3.25,313.45,3.20,0,0,0,0.00,0,F1,1450,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,146920,,POONAWALLA,,2025-03-27,2025-03-27,270.00,CE,POONAWALLA25MAR270CE,0.00,0.00,0.00,64.60,0.00,64.60,313.45,53.00,0,0,0,0.00,0,F1,1450,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,125244,,POONAWALLA,,2025-01-30,2025-01-30,315.00,CE,POONAWALLA25JAN315CE,13.70,13.75,9.65,10.05,10.00,15.20,313.45,10.05,159500,71050,130,61435340.00,85,F1,1450,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,125278,,POONAWALLA,,2025-01-30,2025-01-30,400.00,CE,POONAWALLA25JAN400CE,0.40,0.40,0.10,0.10,0.10,0.30,313.45,0.10,118900,0,23,13348337.50,11,F1,1450,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,125252,,POONAWALLA,,2025-01-30,2025-01-30,335.00,CE,POONAWALLA25JAN335CE,5.50,5.50,3.50,3.50,3.50,6.50,313.45,5.00,118900,21750,49,24114370.00,46,F1,1450,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,125246,,POONAWALLA,,2025-01-30,2025-01-30,320.00,CE,POONAWALLA25JAN320CE,12.50,12.60,7.60,7.90,7.90,12.80,313.45,7.90,1003400,87000,478,228421327.50,400,F1,1450,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,125256,,POONAWALLA,,2025-01-30,2025-01-30,345.00,CE,POONAWALLA25JAN345CE,2.95,3.15,1.90,1.90,1.90,4.00,313.45,1.90,124700,4350,23,11590067.50,21,F1,1450,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,146936,,POONAWALLA,,2025-03-27,2025-03-27,350.00,CE,POONAWALLA25MAR350CE,0.00,0.00,0.00,22.45,0.00,22.45,313.45,11.95,0,0,0,0.00,0,F1,1450,,,,,
2025-01-09,2025-01-09,FO,NSE,STF,43327,,POONAWALLA,,2025-03-27,2025-03-27,,,POONAWALLA25MARFUT,0.00,0.00,0.00,316.00,316.00,316.00,313.45,317.95,261000,0,0,0.00,0,F1,1450,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,125114,,POONAWALLA,,2025-01-30,2025-01-30,260.00,PE,POONAWALLA25JAN260PE,0.00,0.00,0.00,1.00,0.00,1.00,313.45,0.25,0,0,0,0.00,0,F1,1450,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,125113,,POONAWALLA,,2025-01-30,2025-01-30,260.00,CE,POONAWALLA25JAN260CE,0.00,0.00,0.00,116.95,0.00,116.95,313.45,54.75,0,0,0,0.00,0,F1,1450,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,125286,,POONAWALLA,,2025-01-30,2025-01-30,420.00,CE,POONAWALLA25JAN420CE,0.35,0.35,0.10,0.10,0.10,0.20,313.45,0.10,17400,0,2,1218652.50,2,F1,1450,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,146880,,POONAWALLA,,2025-02-27,2025-02-27,335.00,CE,POONAWALLA25FEB335CE,0.00,0.00,0.00,21.90,0.00,21.90,313.45,11.35,0,0,0,0.00,0,F1,1450,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,125594,,POONAWALLA,,2025-02-27,2025-02-27,320.00,PE,POONAWALLA25FEB320PE,0.00,0.00,0.00,16.00,16.00,16.00,313.45,20.70,1450,0,0,0.00,0,F1,1450,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,125591,,POONAWALLA,,2025-02-27,2025-02-27,310.00,CE,POONAWALLA25FEB310CE,0.00,0.00,0.00,78.40,0.00,78.40,313.45,21.80,0,0,0,0.00,0,F1,1450,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,125243,,POONAWALLA,,2025-01-30,2025-01-30,310.00,PE,POONAWALLA25JAN310PE,7.30,10.15,6.45,9.25,9.10,6.45,313.45,9.25,252300,95700,175,80938275.00,150,F1,1450,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,146881,,POONAWALLA,,2025-02-27,2025-02-27,335.00,PE,POONAWALLA25FEB335PE,0.00,0.00,0.00,32.25,0.00,32.25,313.45,29.90,0,0,0,0.00,0,F1,1450,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,125253,,POONAWALLA,,2025-01-30,2025-01-30,335.00,PE,POONAWALLA25JAN335PE,22.30,22.30,21.85,21.85,21.85,19.55,313.45,25.25,46400,1450,2,1035517.50,2,F1,1450,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,125232,,POONAWALLA,,2025-01-30,2025-01-30,285.00,CE,POONAWALLA25JAN285CE,35.05,35.20,35.05,35.20,35.20,33.00,313.45,31.95,7250,0,2,928362.50,2,F1,1450,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,146870,,POONAWALLA,,2025-02-27,2025-02-27,285.00,CE,POONAWALLA25FEB285CE,0.00,0.00,0.00,49.00,0.00,49.00,313.45,37.40,0,0,0,0.00,0,F1,1450,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,125233,,POONAWALLA,,2025-01-30,2025-01-30,285.00,PE,POONAWALLA25JAN285PE,1.50,2.40,1.45,2.20,2.15,1.45,313.45,2.20,150800,-4350,31,12901737.50,31,F1,1450,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,146926,,POONAWALLA,,2025-03-27,2025-03-27,300.00,CE,POONAWALLA25MAR300CE,0.00,0.00,0.00,45.00,0.00,45.00,313.45,32.70,0,0,0,0.00,0,F1,1450,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,125258,,POONAWALLA,,2025-01-30,2025-01-30,350.00,CE,POONAWALLA25JAN350CE,2.95,2.95,1.25,1.35,1.30,3.10,313.45,1.35,964250,147900,380,193891245.00,274,F1,1450,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,125274,,POONAWALLA,,2025-01-30,2025-01-30,390.00,CE,POONAWALLA25JAN390CE,0.00,0.00,0.00,0.50,0.50,0.50,313.45,0.15,2900,0,0,0.00,0,F1,1450,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,125589,,POONAWALLA,,2025-02-27,2025-02-27,300.00,CE,POONAWALLA25FEB300CE,0.00,0.00,0.00,86.00,0.00,86.00,313.45,27.40,0,0,0,0.00,0,F1,1450,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,125249,,POONAWALLA,,2025-01-30,2025-01-30,325.00,PE,POONAWALLA25JAN325PE,15.55,18.60,14.35,17.55,17.75,13.50,313.45,17.55,71050,0,18,8925402.50,17,F1,1450,,,,,
