TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-01-09,2025-01-09,FO,NSE,STO,126727,,PVRINOX,,2025-02-27,2025-02-27,1400.00,CE,PVRINOX25FEB1400CE,11.95,12.10,9.90,10.10,9.95,11.15,1161.60,10.10,19943,2442,12,6890448.95,12,F1,407,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,127027,,PVRINOX,,2025-01-30,2025-01-30,1400.00,PE,PVRINOX25JAN1400PE,216.00,216.00,216.00,216.00,216.00,220.00,1161.60,233.10,87912,0,1,657712.00,1,F1,407,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,126403,,PVRINOX,,2025-01-30,2025-01-30,1180.00,CE,PVRINOX25JAN1180CE,40.95,48.75,30.60,31.60,31.20,40.95,1161.60,31.60,255596,43956,2476,1230917104.45,1789,F1,407,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,126404,,PVRINOX,,2025-01-30,2025-01-30,1180.00,PE,PVRINOX25JAN1180PE,39.35,47.15,28.90,46.15,45.15,40.35,1161.60,46.15,197802,3663,1159,573502682.50,1064,F1,407,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,126708,,PVRINOX,,2025-02-27,2025-02-27,1320.00,PE,PVRINOX25FEB1320PE,0.00,0.00,0.00,21.10,0.00,21.10,1161.60,155.15,0,0,0,0.00,0,F1,407,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,147169,,PVRINOX,,2025-02-27,2025-02-27,1340.00,PE,PVRINOX25FEB1340PE,0.00,0.00,0.00,68.65,0.00,68.65,1161.60,172.85,0,0,0,0.00,0,F1,407,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,126869,,PVRINOX,,2025-02-27,2025-02-27,1520.00,CE,PVRINOX25FEB1520CE,0.00,0.00,0.00,113.45,0.00,113.45,1161.60,0.35,0,0,0,0.00,0,F1,407,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,126457,,PVRINOX,,2025-01-30,2025-01-30,1500.00,PE,PVRINOX25JAN1500PE,309.95,309.95,309.95,309.95,309.95,319.00,1161.60,332.60,48840,0,3,2209948.95,1,F1,407,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,126992,,PVRINOX,,2025-01-30,2025-01-30,1200.00,CE,PVRINOX25JAN1200CE,34.05,38.20,23.25,24.45,23.95,31.75,1161.60,24.45,462759,-39072,4740,2377392697.90,3690,F1,407,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,127003,,PVRINOX,,2025-01-30,2025-01-30,1320.00,CE,PVRINOX25JAN1320CE,6.45,7.65,4.00,4.50,4.65,6.35,1161.60,4.50,269027,10175,551,297352531.30,378,F1,407,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,126707,,PVRINOX,,2025-02-27,2025-02-27,1320.00,CE,PVRINOX25FEB1320CE,0.00,0.00,0.00,30.10,30.10,30.10,1161.60,8.65,1628,0,0,0.00,0,F1,407,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,126742,,PVRINOX,,2025-02-27,2025-02-27,1480.00,PE,PVRINOX25FEB1480PE,0.00,0.00,0.00,68.85,0.00,68.85,1161.60,305.75,0,0,0,0.00,0,F1,407,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,127035,,PVRINOX,,2025-01-30,2025-01-30,1480.00,PE,PVRINOX25JAN1480PE,0.00,0.00,0.00,278.00,278.00,278.00,1161.60,312.65,4884,0,0,0.00,0,F1,407,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,126691,,PVRINOX,,2025-02-27,2025-02-27,1160.00,CE,PVRINOX25FEB1160CE,0.00,0.00,0.00,383.75,0.00,383.75,1161.60,55.20,0,0,0,0.00,0,F1,407,,,,,
