TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-01-09,2025-01-09,FO,NSE,STO,137778,,SUNTV,,2025-01-30,2025-01-30,650.00,PE,SUNTV25JAN650PE,9.70,12.70,7.50,11.80,11.95,10.35,669.20,11.80,39000,-18000,100,49517625.00,93,F1,750,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,149174,,SUNTV,,2025-02-27,2025-02-27,650.00,CE,SUNTV25FEB650CE,0.00,0.00,0.00,65.05,0.00,65.05,669.20,42.20,0,0,0,0.00,0,F1,750,,,,,
2025-01-09,2025-01-09,FO,NSE,STF,42507,,SUNTV,,2025-01-30,2025-01-30,,,SUNTV25JANFUT,670.35,684.00,665.25,667.30,666.75,668.95,669.20,667.30,4262250,119250,1486,751418925.00,1383,F1,750,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,137921,,SUNTV,,2025-02-27,2025-02-27,640.00,CE,SUNTV25FEB640CE,0.00,0.00,0.00,128.60,0.00,128.60,669.20,48.60,0,0,0,0.00,0,F1,750,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,137718,,SUNTV,,2025-01-30,2025-01-30,630.00,PE,SUNTV25JAN630PE,4.85,6.65,3.80,6.25,6.25,6.00,669.20,6.25,52500,-9750,79,37638262.50,77,F1,750,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,137715,,SUNTV,,2025-01-30,2025-01-30,610.00,CE,SUNTV25JAN610CE,0.00,0.00,0.00,147.15,0.00,147.15,669.20,63.25,0,0,0,0.00,0,F1,750,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,149171,,SUNTV,,2025-02-27,2025-02-27,610.00,PE,SUNTV25FEB610PE,0.00,0.00,0.00,11.85,11.85,11.85,669.20,6.15,0,0,0,0.00,0,F1,750,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,137938,,SUNTV,,2025-02-27,2025-02-27,760.00,PE,SUNTV25FEB760PE,0.00,0.00,0.00,53.00,0.00,53.00,669.20,89.00,0,0,0,0.00,0,F1,750,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,137784,,SUNTV,,2025-01-30,2025-01-30,710.00,PE,SUNTV25JAN710PE,0.00,0.00,0.00,34.55,34.55,34.55,669.20,43.90,6750,0,0,0.00,0,F1,750,,,,,
2025-01-09,2025-01-09,FO,NSE,STO,137926,,SUNTV,,2025-02-27,2025-02-27,660.00,PE,SUNTV25FEB660PE,0.00,0.00,0.00,15.10,0.00,15.10,669.20,21.15,0,0,0,0.00,0,F1,750,,,,,
