TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-01-10,2025-01-10,FO,NSE,STO,60162,,ADANIGREEN,,2025-01-30,2025-01-30,1260.00,CE,ADANIGREEN25JAN1260CE,2.45,3.75,2.45,2.80,3.15,2.70,943.05,2.80,106125,69375,464,219794775.00,358,F1,375,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,60176,,ADANIGREEN,,2025-01-30,2025-01-30,1300.00,CE,ADANIGREEN25JAN1300CE,2.80,3.10,2.20,2.55,2.80,2.80,943.05,2.55,380625,4125,335,163622606.25,262,F1,375,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,45705,,ADANIGREEN,,2025-01-30,2025-01-30,980.00,CE,ADANIGREEN25JAN980CE,41.70,41.75,26.45,27.80,29.20,43.25,943.05,27.80,164625,-4875,956,363065212.50,758,F1,375,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,60161,,ADANIGREEN,,2025-01-30,2025-01-30,1240.00,PE,ADANIGREEN25JAN1240PE,0.00,0.00,0.00,230.35,230.35,230.35,943.05,293.85,6750,0,0,0.00,0,F1,375,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,60206,,ADANIGREEN,,2025-01-30,2025-01-30,1440.00,CE,ADANIGREEN25JAN1440CE,1.65,2.25,1.65,1.80,1.80,3.45,943.05,1.80,7500,3375,51,27577650.00,48,F1,375,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,60234,,ADANIGREEN,,2025-02-27,2025-02-27,1040.00,CE,ADANIGREEN25FEB1040CE,41.50,41.50,40.00,40.00,40.00,53.05,943.05,40.00,4125,0,2,810562.50,2,F1,375,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,67832,,ADANIGREEN,,2025-03-27,2025-03-27,1040.00,PE,ADANIGREEN25MAR1040PE,0.00,0.00,0.00,128.45,0.00,128.45,943.05,152.40,0,0,0,0.00,0,F1,375,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,60247,,ADANIGREEN,,2025-02-27,2025-02-27,1240.00,PE,ADANIGREEN25FEB1240PE,0.00,0.00,0.00,230.75,0.00,230.75,943.05,298.20,0,0,0,0.00,0,F1,375,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,67853,,ADANIGREEN,,2025-03-27,2025-03-27,1240.00,PE,ADANIGREEN25MAR1240PE,0.00,0.00,0.00,250.80,0.00,250.80,943.05,305.80,0,0,0,0.00,0,F1,375,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,60246,,ADANIGREEN,,2025-02-27,2025-02-27,1240.00,CE,ADANIGREEN25FEB1240CE,0.00,0.00,0.00,100.30,0.00,100.30,943.05,12.20,0,0,0,0.00,0,F1,375,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,60230,,ADANIGREEN,,2025-02-27,2025-02-27,1000.00,CE,ADANIGREEN25FEB1000CE,61.50,67.05,51.00,51.55,52.05,67.35,943.05,51.55,16875,8250,73,28953243.75,64,F1,375,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,60229,,ADANIGREEN,,2025-02-27,2025-02-27,960.00,PE,ADANIGREEN25FEB960PE,77.00,77.00,75.70,75.70,75.70,65.00,943.05,85.60,4875,1125,4,1555012.50,4,F1,375,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,60154,,ADANIGREEN,,2025-01-30,2025-01-30,1180.00,CE,ADANIGREEN25JAN1180CE,4.25,4.25,3.55,3.95,3.90,5.50,943.05,3.95,68250,1875,31,13763362.50,25,F1,375,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,67732,,ADANIGREEN,,2025-02-27,2025-02-27,1180.00,CE,ADANIGREEN25FEB1180CE,0.00,0.00,0.00,88.25,0.00,88.25,943.05,18.85,0,0,0,0.00,0,F1,375,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,60155,,ADANIGREEN,,2025-01-30,2025-01-30,1180.00,PE,ADANIGREEN25JAN1180PE,0.00,0.00,0.00,173.35,173.35,173.35,943.05,236.10,14250,0,0,0.00,0,F1,375,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,60150,,ADANIGREEN,,2025-01-30,2025-01-30,1140.00,CE,ADANIGREEN25JAN1140CE,7.25,7.25,4.55,5.30,5.25,7.90,943.05,5.30,84375,-6000,141,60569381.25,120,F1,375,,,,,
