TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-01-10,2025-01-10,FO,NSE,STO,79479,,BERGEPAINT,,2025-01-30,2025-01-30,410.00,CE,BERGEPAINT25JAN410CE,0.00,0.00,0.00,39.30,39.30,39.30,460.80,52.45,1320,0,0,0.00,0,F1,1320,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,85680,,BERGEPAINT,,2025-03-27,2025-03-27,470.00,PE,BERGEPAINT25MAR470PE,0.00,0.00,0.00,37.65,0.00,37.65,460.80,21.20,0,0,0,0.00,0,F1,1320,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,85687,,BERGEPAINT,,2025-03-27,2025-03-27,490.00,PE,BERGEPAINT25MAR490PE,0.00,0.00,0.00,51.45,0.00,51.45,460.80,33.35,0,0,0,0.00,0,F1,1320,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,66740,,BERGEPAINT,,2025-02-27,2025-02-27,490.00,PE,BERGEPAINT25FEB490PE,0.00,0.00,0.00,24.65,0.00,24.65,460.80,31.55,0,0,0,0.00,0,F1,1320,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,85684,,BERGEPAINT,,2025-03-27,2025-03-27,480.00,CE,BERGEPAINT25MAR480CE,0.00,0.00,0.00,13.95,0.00,13.95,460.80,14.40,0,0,0,0.00,0,F1,1320,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,79702,,BERGEPAINT,,2025-01-30,2025-01-30,550.00,CE,BERGEPAINT25JAN550CE,0.20,0.25,0.20,0.25,0.25,0.30,460.80,0.05,77880,1320,7,5084178.00,5,F1,1320,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,79694,,BERGEPAINT,,2025-01-30,2025-01-30,510.00,CE,BERGEPAINT25JAN510CE,1.00,1.10,0.85,0.95,0.95,1.35,460.80,0.40,158400,23760,177,119372154.00,165,F1,1320,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,85691,,BERGEPAINT,,2025-03-27,2025-03-27,510.00,PE,BERGEPAINT25MAR510PE,0.00,0.00,0.00,66.95,0.00,66.95,460.80,48.15,0,0,0,0.00,0,F1,1320,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,79475,,BERGEPAINT,,2025-01-30,2025-01-30,390.00,CE,BERGEPAINT25JAN390CE,0.00,0.00,0.00,77.80,77.80,77.80,460.80,72.25,0,0,0,0.00,0,F1,1320,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,79476,,BERGEPAINT,,2025-01-30,2025-01-30,390.00,PE,BERGEPAINT25JAN390PE,0.00,0.00,0.00,0.75,0.75,0.75,460.80,0.05,1320,0,0,0.00,0,F1,1320,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,85635,,BERGEPAINT,,2025-03-27,2025-03-27,390.00,PE,BERGEPAINT25MAR390PE,0.00,0.00,0.00,5.25,0.00,5.25,460.80,0.85,0,0,0,0.00,0,F1,1320,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,66599,,BERGEPAINT,,2025-01-30,2025-01-30,475.00,CE,BERGEPAINT25JAN475CE,8.05,9.25,5.50,5.75,5.75,9.15,460.80,5.75,583440,241560,573,364270434.00,424,F1,1320,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,85391,,BERGEPAINT,,2025-02-27,2025-02-27,475.00,CE,BERGEPAINT25FEB475CE,12.50,12.50,12.50,12.50,12.50,19.00,460.80,12.50,6600,-1320,2,1287000.00,2,F1,1320,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,66742,,BERGEPAINT,,2025-02-27,2025-02-27,500.00,PE,BERGEPAINT25FEB500PE,0.00,0.00,0.00,29.65,0.00,29.65,460.80,39.25,0,0,0,0.00,0,F1,1320,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,85688,,BERGEPAINT,,2025-03-27,2025-03-27,500.00,CE,BERGEPAINT25MAR500CE,0.00,0.00,0.00,9.05,0.00,9.05,460.80,8.25,0,0,0,0.00,0,F1,1320,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,79544,,BERGEPAINT,,2025-01-30,2025-01-30,450.00,CE,BERGEPAINT25JAN450CE,23.00,23.15,17.35,17.90,18.05,24.50,460.80,17.90,335280,-2640,140,86677470.00,103,F1,1320,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,79472,,BERGEPAINT,,2025-01-30,2025-01-30,370.00,PE,BERGEPAINT25JAN370PE,0.00,0.00,0.00,0.10,0.00,0.10,460.80,0.05,0,0,0,0.00,0,F1,1320,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,79471,,BERGEPAINT,,2025-01-30,2025-01-30,370.00,CE,BERGEPAINT25JAN370CE,0.00,0.00,0.00,173.55,0.00,173.55,460.80,92.15,0,0,0,0.00,0,F1,1320,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,79692,,BERGEPAINT,,2025-01-30,2025-01-30,500.00,CE,BERGEPAINT25JAN500CE,2.05,2.40,1.30,1.45,1.45,2.45,460.80,1.45,663960,-80520,727,481415022.00,522,F1,1320,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,79485,,BERGEPAINT,,2025-01-30,2025-01-30,440.00,CE,BERGEPAINT25JAN440CE,26.00,26.85,25.95,25.95,25.95,32.50,460.80,24.90,97680,-2640,3,1846416.00,3,F1,1320,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,66605,,BERGEPAINT,,2025-01-30,2025-01-30,505.00,CE,BERGEPAINT25JAN505CE,1.30,1.35,1.05,1.15,1.05,1.85,460.80,1.15,58080,10560,58,38756058.00,54,F1,1320,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,66691,,BERGEPAINT,,2025-02-27,2025-02-27,380.00,CE,BERGEPAINT25FEB380CE,0.00,0.00,0.00,117.15,0.00,117.15,460.80,84.25,0,0,0,0.00,0,F1,1320,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,79473,,BERGEPAINT,,2025-01-30,2025-01-30,380.00,CE,BERGEPAINT25JAN380CE,0.00,0.00,0.00,84.80,84.80,84.80,460.80,82.20,0,0,0,0.00,0,F1,1320,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,79474,,BERGEPAINT,,2025-01-30,2025-01-30,380.00,PE,BERGEPAINT25JAN380PE,0.60,0.60,0.35,0.40,0.40,0.35,460.80,0.05,10560,6600,7,3516150.00,6,F1,1320,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,79684,,BERGEPAINT,,2025-01-30,2025-01-30,480.00,PE,BERGEPAINT25JAN480PE,22.00,23.00,17.70,22.55,22.95,16.50,460.80,22.55,80520,-2640,49,32386266.00,49,F1,1320,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,85624,,BERGEPAINT,,2025-03-27,2025-03-27,380.00,CE,BERGEPAINT25MAR380CE,0.00,0.00,0.00,71.55,0.00,71.55,460.80,86.55,0,0,0,0.00,0,F1,1320,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,66692,,BERGEPAINT,,2025-02-27,2025-02-27,380.00,PE,BERGEPAINT25FEB380PE,0.00,0.00,0.00,0.85,0.00,0.85,460.80,0.10,0,0,0,0.00,0,F1,1320,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,66595,,BERGEPAINT,,2025-01-30,2025-01-30,465.00,CE,BERGEPAINT25JAN465CE,13.55,14.05,9.05,9.35,9.60,14.30,460.80,9.35,168960,38280,387,243096744.00,368,F1,1320,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,66718,,BERGEPAINT,,2025-02-27,2025-02-27,450.00,CE,BERGEPAINT25FEB450CE,0.00,0.00,0.00,57.55,0.00,57.55,460.80,23.95,0,0,0,0.00,0,F1,1320,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,85649,,BERGEPAINT,,2025-03-27,2025-03-27,420.00,PE,BERGEPAINT25MAR420PE,0.00,0.00,0.00,13.00,0.00,13.00,460.80,3.95,0,0,0,0.00,0,F1,1320,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,85648,,BERGEPAINT,,2025-03-27,2025-03-27,420.00,CE,BERGEPAINT25MAR420CE,0.00,0.00,0.00,41.55,0.00,41.55,460.80,50.65,0,0,0,0.00,0,F1,1320,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,66699,,BERGEPAINT,,2025-02-27,2025-02-27,420.00,CE,BERGEPAINT25FEB420CE,0.00,0.00,0.00,81.10,0.00,81.10,460.80,46.65,0,0,0,0.00,0,F1,1320,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,85390,,BERGEPAINT,,2025-02-27,2025-02-27,465.00,PE,BERGEPAINT25FEB465PE,0.00,0.00,0.00,15.45,15.45,15.45,460.80,15.75,1320,0,0,0.00,0,F1,1320,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,85389,,BERGEPAINT,,2025-02-27,2025-02-27,465.00,CE,BERGEPAINT25FEB465CE,0.00,0.00,0.00,13.80,0.00,13.80,460.80,15.70,0,0,0,0.00,0,F1,1320,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,85378,,BERGEPAINT,,2025-02-27,2025-02-27,405.00,PE,BERGEPAINT25FEB405PE,0.00,0.00,0.00,6.00,0.00,6.00,460.80,0.85,0,0,0,0.00,0,F1,1320,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,85377,,BERGEPAINT,,2025-02-27,2025-02-27,405.00,CE,BERGEPAINT25FEB405CE,0.00,0.00,0.00,47.10,0.00,47.10,460.80,60.20,0,0,0,0.00,0,F1,1320,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,85685,,BERGEPAINT,,2025-03-27,2025-03-27,480.00,PE,BERGEPAINT25MAR480PE,0.00,0.00,0.00,44.30,0.00,44.30,460.80,26.90,0,0,0,0.00,0,F1,1320,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,66754,,BERGEPAINT,,2025-02-27,2025-02-27,540.00,PE,BERGEPAINT25FEB540PE,0.00,0.00,0.00,54.75,0.00,54.75,460.80,75.10,0,0,0,0.00,0,F1,1320,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,79703,,BERGEPAINT,,2025-01-30,2025-01-30,550.00,PE,BERGEPAINT25JAN550PE,0.00,0.00,0.00,77.70,77.70,77.70,460.80,87.20,40920,0,0,0.00,0,F1,1320,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,66583,,BERGEPAINT,,2025-01-30,2025-01-30,435.00,CE,BERGEPAINT25JAN435CE,0.00,0.00,0.00,24.30,24.30,24.30,460.80,29.05,23760,0,0,0.00,0,F1,1320,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,85449,,BERGEPAINT,,2025-02-27,2025-02-27,515.00,PE,BERGEPAINT25FEB515PE,0.00,0.00,0.00,70.90,0.00,70.90,460.80,52.00,0,0,0,0.00,0,F1,1320,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,66584,,BERGEPAINT,,2025-01-30,2025-01-30,435.00,PE,BERGEPAINT25JAN435PE,2.70,2.80,1.90,2.50,2.50,1.90,460.80,2.50,196680,29040,78,45028434.00,78,F1,1320,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,85448,,BERGEPAINT,,2025-02-27,2025-02-27,515.00,CE,BERGEPAINT25FEB515CE,0.00,0.00,0.00,3.35,0.00,3.35,460.80,2.35,0,0,0,0.00,0,F1,1320,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,66612,,BERGEPAINT,,2025-01-30,2025-01-30,515.00,PE,BERGEPAINT25JAN515PE,0.00,0.00,0.00,35.20,0.00,35.20,460.80,52.55,0,0,0,0.00,0,F1,1320,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,66609,,BERGEPAINT,,2025-01-30,2025-01-30,515.00,CE,BERGEPAINT25JAN515CE,0.00,0.00,0.00,16.10,0.00,16.10,460.80,0.25,0,0,0,0.00,0,F1,1320,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,85636,,BERGEPAINT,,2025-03-27,2025-03-27,400.00,CE,BERGEPAINT25MAR400CE,0.00,0.00,0.00,55.50,0.00,55.50,460.80,67.90,0,0,0,0.00,0,F1,1320,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,66608,,BERGEPAINT,,2025-01-30,2025-01-30,505.00,PE,BERGEPAINT25JAN505PE,0.00,0.00,0.00,36.20,36.20,36.20,460.80,42.95,2640,0,0,0.00,0,F1,1320,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,66577,,BERGEPAINT,,2025-01-30,2025-01-30,405.00,PE,BERGEPAINT25JAN405PE,0.00,0.00,0.00,0.55,0.55,0.55,460.80,0.05,46200,0,0,0.00,0,F1,1320,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,85376,,BERGEPAINT,,2025-02-27,2025-02-27,395.00,PE,BERGEPAINT25FEB395PE,0.00,0.00,0.00,4.05,0.00,4.05,460.80,0.40,0,0,0,0.00,0,F1,1320,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,66594,,BERGEPAINT,,2025-01-30,2025-01-30,455.00,PE,BERGEPAINT25JAN455PE,6.80,9.00,5.55,7.90,7.80,5.30,460.80,7.90,368280,-17160,90,54918270.00,90,F1,1320,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,85657,,BERGEPAINT,,2025-03-27,2025-03-27,430.00,PE,BERGEPAINT25MAR430PE,0.00,0.00,0.00,16.70,0.00,16.70,460.80,6.00,0,0,0,0.00,0,F1,1320,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,79483,,BERGEPAINT,,2025-01-30,2025-01-30,430.00,CE,BERGEPAINT25JAN430CE,0.00,0.00,0.00,40.10,40.10,40.10,460.80,33.45,19800,0,0,0.00,0,F1,1320,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,79706,,BERGEPAINT,,2025-01-30,2025-01-30,570.00,CE,BERGEPAINT25JAN570CE,0.00,0.00,0.00,0.10,0.10,0.10,460.80,0.05,1320,0,0,0.00,0,F1,1320,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,66695,,BERGEPAINT,,2025-02-27,2025-02-27,400.00,CE,BERGEPAINT25FEB400CE,0.00,0.00,0.00,98.65,0.00,98.65,460.80,64.90,0,0,0,0.00,0,F1,1320,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,79477,,BERGEPAINT,,2025-01-30,2025-01-30,400.00,CE,BERGEPAINT25JAN400CE,0.00,0.00,0.00,64.50,64.50,64.50,460.80,62.30,11880,0,0,0.00,0,F1,1320,,,,,
