TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-01-10,2025-01-10,FO,NSE,STO,82726,,BSOFT,,2025-01-30,2025-01-30,680.00,CE,BSOFT25JAN680CE,0.50,0.65,0.40,0.50,0.60,0.45,551.35,0.50,1036000,-140000,291,198038350.00,146,F1,1000,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,69649,,BSOFT,,2025-02-27,2025-02-27,480.00,CE,BSOFT25FEB480CE,0.00,0.00,0.00,128.20,0.00,128.20,551.35,79.10,0,0,0,0.00,0,F1,1000,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,69650,,BSOFT,,2025-02-27,2025-02-27,480.00,PE,BSOFT25FEB480PE,0.00,0.00,0.00,8.35,0.00,8.35,551.35,3.50,0,0,0,0.00,0,F1,1000,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,82605,,BSOFT,,2025-01-30,2025-01-30,580.00,CE,BSOFT25JAN580CE,7.55,9.55,6.05,7.90,7.90,6.40,551.35,7.90,507000,-73000,1171,688513150.00,1046,F1,1000,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,69540,,BSOFT,,2025-01-30,2025-01-30,550.00,PE,BSOFT25JAN550PE,15.00,22.10,13.85,16.80,16.15,21.05,551.35,16.80,348000,14000,651,368804900.00,580,F1,1000,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,90146,,BSOFT,,2025-03-27,2025-03-27,620.00,CE,BSOFT25MAR620CE,0.00,0.00,0.00,31.45,0.00,31.45,551.35,13.45,0,0,0,0.00,0,F1,1000,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,69671,,BSOFT,,2025-02-27,2025-02-27,660.00,CE,BSOFT25FEB660CE,0.00,0.00,0.00,29.00,0.00,29.00,551.35,2.75,0,0,0,0.00,0,F1,1000,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,69660,,BSOFT,,2025-02-27,2025-02-27,580.00,PE,BSOFT25FEB580PE,0.00,0.00,0.00,39.00,39.00,39.00,551.35,40.90,7000,0,0,0.00,0,F1,1000,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,90048,,BSOFT,,2025-03-27,2025-03-27,500.00,PE,BSOFT25MAR500PE,0.00,0.00,0.00,14.85,0.00,14.85,551.35,11.00,0,0,0,0.00,0,F1,1000,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,82585,,BSOFT,,2025-01-30,2025-01-30,460.00,CE,BSOFT25JAN460CE,0.00,0.00,0.00,108.65,0.00,108.65,551.35,93.20,0,0,0,0.00,0,F1,1000,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,69651,,BSOFT,,2025-02-27,2025-02-27,500.00,CE,BSOFT25FEB500CE,0.00,0.00,0.00,112.40,0.00,112.40,551.35,62.55,0,0,0,0.00,0,F1,1000,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,90047,,BSOFT,,2025-03-27,2025-03-27,500.00,CE,BSOFT25MAR500CE,0.00,0.00,0.00,94.15,0.00,94.15,551.35,69.35,0,0,0,0.00,0,F1,1000,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,82590,,BSOFT,,2025-01-30,2025-01-30,500.00,PE,BSOFT25JAN500PE,4.05,4.95,2.45,2.90,2.70,4.10,551.35,2.90,350000,-106000,1013,509856350.00,838,F1,1000,,,,,
