TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-01-10,2025-01-10,FO,NSE,STO,71079,,CDSL,,2025-01-30,2025-01-30,1500.00,CE,CDSL25JAN1500CE,0.00,0.00,0.00,428.95,428.95,428.95,1594.45,121.30,0,0,0,0.00,0,F1,350,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,91648,,CDSL,,2025-02-27,2025-02-27,1500.00,CE,CDSL25FEB1500CE,0.00,0.00,0.00,354.15,0.00,354.15,1594.45,153.70,0,0,0,0.00,0,F1,350,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,91711,,CDSL,,2025-02-27,2025-02-27,1500.00,PE,CDSL25FEB1500PE,0.00,0.00,0.00,28.70,0.00,28.70,1594.45,46.00,0,0,0,0.00,0,F1,350,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,71130,,CDSL,,2025-01-30,2025-01-30,1840.00,PE,CDSL25JAN1840PE,198.15,232.00,183.80,232.00,232.00,166.75,1594.45,243.70,50400,-700,5,3580132.50,5,F1,350,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,92258,,CDSL,,2025-03-27,2025-03-27,1840.00,CE,CDSL25MAR1840CE,0.00,0.00,0.00,175.10,0.00,175.10,1594.45,44.45,0,0,0,0.00,0,F1,350,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,71112,,CDSL,,2025-01-30,2025-01-30,1700.00,PE,CDSL25JAN1700PE,60.00,122.90,58.20,117.75,122.00,63.70,1594.45,117.75,388150,700,692,433518977.50,625,F1,350,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,71111,,CDSL,,2025-01-30,2025-01-30,1700.00,CE,CDSL25JAN1700CE,44.20,50.45,19.00,20.10,19.30,47.15,1594.45,20.10,385700,154700,2402,1454026210.00,2058,F1,350,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,91832,,CDSL,,2025-02-27,2025-02-27,1700.00,CE,CDSL25FEB1700CE,87.00,87.00,50.60,51.20,50.60,101.00,1594.45,51.20,24150,22400,105,64950795.00,68,F1,350,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,71107,,CDSL,,2025-01-30,2025-01-30,1660.00,PE,CDSL25JAN1660PE,46.25,92.25,40.50,87.90,92.25,44.35,1594.45,87.90,81200,700,678,408530552.50,570,F1,350,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,71076,,CDSL,,2025-01-30,2025-01-30,1460.00,PE,CDSL25JAN1460PE,0.00,0.00,0.00,60.20,0.00,60.20,1594.45,12.60,0,0,0,0.00,0,F1,350,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,71210,,CDSL,,2025-02-27,2025-02-27,1840.00,PE,CDSL25FEB1840PE,0.00,0.00,0.00,290.05,0.00,290.05,1594.45,253.45,0,0,0,0.00,0,F1,350,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,92233,,CDSL,,2025-03-27,2025-03-27,1360.00,PE,CDSL25MAR1360PE,0.00,0.00,0.00,19.50,0.00,19.50,1594.45,25.00,0,0,0,0.00,0,F1,350,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,71118,,CDSL,,2025-01-30,2025-01-30,1740.00,CE,CDSL25JAN1740CE,31.85,34.75,13.00,13.80,13.00,32.15,1594.45,13.80,158900,46200,794,488991737.50,610,F1,350,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,71196,,CDSL,,2025-02-27,2025-02-27,1560.00,PE,CDSL25FEB1560PE,55.00,55.00,55.00,55.00,55.00,121.20,1594.45,69.40,350,350,1,565250.00,1,F1,350,,,,,
