TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-01-10,2025-01-10,FO,NSE,STO,111232,,GUJGASLTD,,2025-02-27,2025-02-27,570.00,CE,GUJGASLTD25FEB570CE,0.00,0.00,0.00,12.15,0.00,12.15,486.05,2.10,0,0,0,0.00,0,F1,1250,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,84283,,GUJGASLTD,,2025-02-27,2025-02-27,520.00,CE,GUJGASLTD25FEB520CE,0.00,0.00,0.00,17.75,17.75,17.75,486.05,10.00,1250,0,0,0.00,0,F1,1250,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,95024,,GUJGASLTD,,2025-01-30,2025-01-30,520.00,PE,GUJGASLTD25JAN520PE,34.40,35.00,31.60,34.00,34.00,27.15,486.05,35.45,176250,-2500,7,4844625.00,6,F1,1250,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,95040,,GUJGASLTD,,2025-01-30,2025-01-30,620.00,PE,GUJGASLTD25JAN620PE,0.00,0.00,0.00,120.00,120.00,120.00,486.05,131.65,53750,0,0,0.00,0,F1,1250,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,111214,,GUJGASLTD,,2025-02-27,2025-02-27,510.00,CE,GUJGASLTD25FEB510CE,0.00,0.00,0.00,33.15,0.00,33.15,486.05,13.05,0,0,0,0.00,0,F1,1250,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,111210,,GUJGASLTD,,2025-02-27,2025-02-27,495.00,CE,GUJGASLTD25FEB495CE,0.00,0.00,0.00,41.15,0.00,41.15,486.05,18.85,0,0,0,0.00,0,F1,1250,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,110806,,GUJGASLTD,,2025-01-30,2025-01-30,495.00,CE,GUJGASLTD25JAN495CE,13.15,13.40,9.35,9.55,9.65,14.70,486.05,9.55,58750,2500,285,180381937.50,267,F1,1250,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,111196,,GUJGASLTD,,2025-02-27,2025-02-27,450.00,CE,GUJGASLTD25FEB450CE,0.00,0.00,0.00,71.80,0.00,71.80,486.05,46.15,0,0,0,0.00,0,F1,1250,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,84159,,GUJGASLTD,,2025-01-30,2025-01-30,570.00,PE,GUJGASLTD25JAN570PE,0.00,0.00,0.00,95.80,0.00,95.80,486.05,82.00,0,0,0,0.00,0,F1,1250,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,110798,,GUJGASLTD,,2025-01-30,2025-01-30,455.00,CE,GUJGASLTD25JAN455CE,0.00,0.00,0.00,61.20,0.00,61.20,486.05,35.45,0,0,0,0.00,0,F1,1250,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,111199,,GUJGASLTD,,2025-02-27,2025-02-27,455.00,PE,GUJGASLTD25FEB455PE,0.00,0.00,0.00,8.25,0.00,8.25,486.05,7.30,0,0,0,0.00,0,F1,1250,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,111225,,GUJGASLTD,,2025-02-27,2025-02-27,545.00,PE,GUJGASLTD25FEB545PE,0.00,0.00,0.00,48.15,0.00,48.15,486.05,58.95,0,0,0,0.00,0,F1,1250,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,110800,,GUJGASLTD,,2025-01-30,2025-01-30,465.00,CE,GUJGASLTD25JAN465CE,0.00,0.00,0.00,32.80,32.80,32.80,486.05,27.60,1250,0,0,0.00,0,F1,1250,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,111230,,GUJGASLTD,,2025-02-27,2025-02-27,565.00,CE,GUJGASLTD25FEB565CE,0.00,0.00,0.00,3.20,3.20,3.20,486.05,2.50,1250,0,0,0.00,0,F1,1250,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,84146,,GUJGASLTD,,2025-01-30,2025-01-30,450.00,CE,GUJGASLTD25JAN450CE,0.00,0.00,0.00,52.00,52.00,52.00,486.05,39.70,1250,0,0,0.00,0,F1,1250,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,84281,,GUJGASLTD,,2025-02-27,2025-02-27,500.00,CE,GUJGASLTD25FEB500CE,0.00,0.00,0.00,26.60,0.00,26.60,486.05,16.75,0,0,0,0.00,0,F1,1250,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,95020,,GUJGASLTD,,2025-01-30,2025-01-30,500.00,PE,GUJGASLTD25JAN500PE,15.15,20.50,14.75,19.50,19.70,15.05,486.05,19.50,305000,-60000,562,364078187.50,528,F1,1250,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,94904,,GUJGASLTD,,2025-01-30,2025-01-30,440.00,PE,GUJGASLTD25JAN440PE,1.40,1.55,0.95,1.30,1.30,0.90,486.05,1.30,278750,6250,64,35294625.00,57,F1,1250,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,84287,,GUJGASLTD,,2025-02-27,2025-02-27,560.00,CE,GUJGASLTD25FEB560CE,0.00,0.00,0.00,10.70,0.00,10.70,486.05,2.95,0,0,0,0.00,0,F1,1250,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,84273,,GUJGASLTD,,2025-02-27,2025-02-27,420.00,CE,GUJGASLTD25FEB420CE,0.00,0.00,0.00,70.55,0.00,70.55,486.05,71.40,0,0,0,0.00,0,F1,1250,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,111221,,GUJGASLTD,,2025-02-27,2025-02-27,530.00,PE,GUJGASLTD25FEB530PE,0.00,0.00,0.00,38.70,0.00,38.70,486.05,46.85,0,0,0,0.00,0,F1,1250,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,84275,,GUJGASLTD,,2025-02-27,2025-02-27,440.00,CE,GUJGASLTD25FEB440CE,0.00,0.00,0.00,56.85,0.00,56.85,486.05,54.05,0,0,0,0.00,0,F1,1250,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,110814,,GUJGASLTD,,2025-01-30,2025-01-30,535.00,CE,GUJGASLTD25JAN535CE,2.55,2.55,1.35,1.35,1.35,2.60,486.05,1.35,65000,-27500,53,35564687.50,53,F1,1250,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,111222,,GUJGASLTD,,2025-02-27,2025-02-27,535.00,CE,GUJGASLTD25FEB535CE,0.00,0.00,0.00,22.45,0.00,22.45,486.05,6.55,0,0,0,0.00,0,F1,1250,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,94906,,GUJGASLTD,,2025-01-30,2025-01-30,460.00,PE,GUJGASLTD25JAN460PE,4.10,4.30,2.75,3.50,3.55,2.85,486.05,3.50,110000,-23750,123,71277562.50,109,F1,1250,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,110811,,GUJGASLTD,,2025-01-30,2025-01-30,515.00,PE,GUJGASLTD25JAN515PE,0.00,0.00,0.00,23.90,23.95,23.90,486.05,31.40,52500,0,0,0.00,0,F1,1250,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,111240,,GUJGASLTD,,2025-02-27,2025-02-27,590.00,CE,GUJGASLTD25FEB590CE,0.00,0.00,0.00,8.30,0.00,8.30,486.05,1.05,0,0,0,0.00,0,F1,1250,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,111207,,GUJGASLTD,,2025-02-27,2025-02-27,485.00,PE,GUJGASLTD25FEB485PE,0.00,0.00,0.00,17.00,0.00,17.00,486.05,18.30,0,0,0,0.00,0,F1,1250,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,111206,,GUJGASLTD,,2025-02-27,2025-02-27,485.00,CE,GUJGASLTD25FEB485CE,0.00,0.00,0.00,47.10,0.00,47.10,486.05,23.60,0,0,0,0.00,0,F1,1250,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,110804,,GUJGASLTD,,2025-01-30,2025-01-30,485.00,CE,GUJGASLTD25JAN485CE,17.95,18.30,13.75,14.35,14.45,20.35,486.05,14.35,55000,-2500,152,95242500.00,144,F1,1250,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,84152,,GUJGASLTD,,2025-01-30,2025-01-30,510.00,CE,GUJGASLTD25JAN510CE,8.00,8.25,4.40,4.75,4.85,8.15,486.05,4.75,935000,112500,514,331350250.00,472,F1,1250,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,111203,,GUJGASLTD,,2025-02-27,2025-02-27,470.00,PE,GUJGASLTD25FEB470PE,0.00,0.00,0.00,12.10,0.00,12.10,486.05,12.00,0,0,0,0.00,0,F1,1250,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,111211,,GUJGASLTD,,2025-02-27,2025-02-27,495.00,PE,GUJGASLTD25FEB495PE,0.00,0.00,0.00,20.90,0.00,20.90,486.05,23.40,0,0,0,0.00,0,F1,1250,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,84288,,GUJGASLTD,,2025-02-27,2025-02-27,560.00,PE,GUJGASLTD25FEB560PE,0.00,0.00,0.00,88.60,0.00,88.60,486.05,72.00,0,0,0,0.00,0,F1,1250,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,84147,,GUJGASLTD,,2025-01-30,2025-01-30,450.00,PE,GUJGASLTD25JAN450PE,1.90,2.95,1.55,2.10,2.10,1.95,486.05,2.10,263750,-1250,325,183694125.00,274,F1,1250,,,,,
2025-01-10,2025-01-10,FO,NSE,STF,38579,,GUJGASLTD,,2025-02-27,2025-02-27,,,GUJGASLTD25FEBFUT,493.00,495.50,488.00,489.05,489.55,497.40,486.05,489.05,263750,56250,111,68193500.00,95,F1,1250,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,84277,,GUJGASLTD,,2025-02-27,2025-02-27,460.00,CE,GUJGASLTD25FEB460CE,0.00,0.00,0.00,44.95,0.00,44.95,486.05,38.80,0,0,0,0.00,0,F1,1250,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,84290,,GUJGASLTD,,2025-02-27,2025-02-27,580.00,PE,GUJGASLTD25FEB580PE,0.00,0.00,0.00,105.20,0.00,105.20,486.05,90.30,0,0,0,0.00,0,F1,1250,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,95032,,GUJGASLTD,,2025-01-30,2025-01-30,580.00,CE,GUJGASLTD25JAN580CE,0.25,0.30,0.20,0.20,0.20,0.40,486.05,0.20,521250,-27500,73,52947562.50,41,F1,1250,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,95015,,GUJGASLTD,,2025-01-30,2025-01-30,480.00,CE,GUJGASLTD25JAN480CE,17.35,21.45,16.60,17.10,17.05,23.70,486.05,17.10,42500,-6250,24,14951812.50,24,F1,1250,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,84155,,GUJGASLTD,,2025-01-30,2025-01-30,530.00,PE,GUJGASLTD25JAN530PE,0.00,0.00,0.00,27.90,27.90,27.90,486.05,44.05,26250,0,0,0.00,0,F1,1250,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,110802,,GUJGASLTD,,2025-01-30,2025-01-30,475.00,CE,GUJGASLTD25JAN475CE,0.00,0.00,0.00,27.70,27.80,27.70,486.05,20.70,25000,0,0,0.00,0,F1,1250,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,110803,,GUJGASLTD,,2025-01-30,2025-01-30,475.00,PE,GUJGASLTD25JAN475PE,7.40,8.20,5.55,7.30,7.40,5.55,486.05,7.30,95000,35000,122,73521062.50,113,F1,1250,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,95039,,GUJGASLTD,,2025-01-30,2025-01-30,620.00,CE,GUJGASLTD25JAN620CE,0.10,0.15,0.10,0.15,0.15,0.20,486.05,0.05,35000,-1250,2,1550312.50,2,F1,1250,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,111223,,GUJGASLTD,,2025-02-27,2025-02-27,535.00,PE,GUJGASLTD25FEB535PE,0.00,0.00,0.00,41.70,0.00,41.70,486.05,50.75,0,0,0,0.00,0,F1,1250,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,110815,,GUJGASLTD,,2025-01-30,2025-01-30,535.00,PE,GUJGASLTD25JAN535PE,0.00,0.00,0.00,27.95,27.95,27.95,486.05,48.50,10000,0,0,0.00,0,F1,1250,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,84276,,GUJGASLTD,,2025-02-27,2025-02-27,440.00,PE,GUJGASLTD25FEB440PE,4.10,4.10,4.10,4.10,4.10,4.10,486.05,4.10,21250,0,8,4441000.00,4,F1,1250,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,110807,,GUJGASLTD,,2025-01-30,2025-01-30,495.00,PE,GUJGASLTD25JAN495PE,14.65,17.25,12.20,16.30,16.80,12.85,486.05,16.30,82500,-48750,245,156164750.00,235,F1,1250,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,111208,,GUJGASLTD,,2025-02-27,2025-02-27,490.00,CE,GUJGASLTD25FEB490CE,0.00,0.00,0.00,44.05,0.00,44.05,486.05,21.15,0,0,0,0.00,0,F1,1250,,,,,
