TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-01-10,2025-01-10,FO,NSE,STO,99276,,JSWENERGY,,2025-01-30,2025-01-30,460.00,CE,JSWENERGY25JAN460CE,0.00,0.00,0.00,210.90,0.00,210.90,539.60,82.45,0,0,0,0.00,0,F1,750,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,99439,,JSWENERGY,,2025-01-30,2025-01-30,640.00,CE,JSWENERGY25JAN640CE,2.10,2.10,1.25,1.30,1.35,2.30,539.60,1.30,435750,63000,572,275187262.50,442,F1,750,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,99685,,JSWENERGY,,2025-02-27,2025-02-27,640.00,CE,JSWENERGY25FEB640CE,0.00,0.00,0.00,87.60,0.00,87.60,539.60,7.25,0,0,0,0.00,0,F1,750,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,99283,,JSWENERGY,,2025-01-30,2025-01-30,490.00,PE,JSWENERGY25JAN490PE,4.05,4.05,3.75,3.75,3.75,4.60,539.60,3.75,750,750,3,1111162.50,3,F1,750,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,99427,,JSWENERGY,,2025-01-30,2025-01-30,590.00,CE,JSWENERGY25JAN590CE,8.10,8.35,3.85,4.05,4.35,8.40,539.60,4.05,263250,-57750,676,301552837.50,620,F1,750,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,99428,,JSWENERGY,,2025-01-30,2025-01-30,590.00,PE,JSWENERGY25JAN590PE,38.90,52.90,38.90,52.00,50.20,37.45,539.60,52.00,171750,-12000,57,27235200.00,56,F1,750,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,99701,,JSWENERGY,,2025-02-27,2025-02-27,740.00,CE,JSWENERGY25FEB740CE,0.00,0.00,0.00,6.60,6.60,6.60,539.60,0.95,0,0,0,0.00,0,F1,750,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,99462,,JSWENERGY,,2025-01-30,2025-01-30,740.00,CE,JSWENERGY25JAN740CE,0.35,0.35,0.30,0.30,0.30,0.20,539.60,0.05,57000,-3000,7,3886762.50,5,F1,750,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,124001,,JSWENERGY,,2025-03-27,2025-03-27,480.00,PE,JSWENERGY25MAR480PE,0.00,0.00,0.00,8.75,0.00,8.75,539.60,15.20,0,0,0,0.00,0,F1,750,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,124000,,JSWENERGY,,2025-03-27,2025-03-27,480.00,CE,JSWENERGY25MAR480CE,0.00,0.00,0.00,173.90,0.00,173.90,539.60,81.50,0,0,0,0.00,0,F1,750,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,99280,,JSWENERGY,,2025-01-30,2025-01-30,480.00,CE,JSWENERGY25JAN480CE,0.00,0.00,0.00,192.50,0.00,192.50,539.60,64.35,0,0,0,0.00,0,F1,750,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,123880,,JSWENERGY,,2025-02-27,2025-02-27,690.00,PE,JSWENERGY25FEB690PE,0.00,0.00,0.00,81.95,0.00,81.95,539.60,147.05,0,0,0,0.00,0,F1,750,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,123873,,JSWENERGY,,2025-02-27,2025-02-27,630.00,CE,JSWENERGY25FEB630CE,0.00,0.00,0.00,61.70,0.00,61.70,539.60,8.70,0,0,0,0.00,0,F1,750,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,99460,,JSWENERGY,,2025-01-30,2025-01-30,730.00,CE,JSWENERGY25JAN730CE,0.20,0.35,0.20,0.30,0.30,0.35,539.60,0.05,51750,-16500,30,16430887.50,28,F1,750,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,123883,,JSWENERGY,,2025-02-27,2025-02-27,730.00,CE,JSWENERGY25FEB730CE,0.00,0.00,0.00,25.65,0.00,25.65,539.60,1.20,0,0,0,0.00,0,F1,750,,,,,
