TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-01-10,2025-01-10,FO,NSE,STO,149225,,SUPREMEIND,,2025-02-27,2025-02-27,4900.00,PE,SUPREMEIND25FEB4900PE,0.00,0.00,0.00,401.55,0.00,401.55,4544.80,439.10,0,0,0,0.00,0,F1,125,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,138520,,SUPREMEIND,,2025-02-27,2025-02-27,4000.00,PE,SUPREMEIND25FEB4000PE,0.00,0.00,0.00,156.25,0.00,156.25,4544.80,46.80,0,0,0,0.00,0,F1,125,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,138394,,SUPREMEIND,,2025-01-30,2025-01-30,4800.00,PE,SUPREMEIND25JAN4800PE,355.00,355.00,355.00,355.00,355.00,247.40,4544.80,355.00,2625,125,1,644375.00,1,F1,125,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,138404,,SUPREMEIND,,2025-01-30,2025-01-30,5300.00,PE,SUPREMEIND25JAN5300PE,0.00,0.00,0.00,828.55,0.00,828.55,4544.80,743.10,0,0,0,0.00,0,F1,125,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,138403,,SUPREMEIND,,2025-01-30,2025-01-30,5300.00,CE,SUPREMEIND25JAN5300CE,18.00,18.00,18.00,18.00,18.00,5.00,4544.80,7.45,6625,0,1,664750.00,1,F1,125,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,138409,,SUPREMEIND,,2025-01-30,2025-01-30,5600.00,CE,SUPREMEIND25JAN5600CE,0.00,0.00,0.00,69.10,0.00,69.10,4544.80,1.40,0,0,0,0.00,0,F1,125,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,138410,,SUPREMEIND,,2025-01-30,2025-01-30,5600.00,PE,SUPREMEIND25JAN5600PE,0.00,0.00,0.00,1078.80,0.00,1078.80,4544.80,1035.90,0,0,0,0.00,0,F1,125,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,138519,,SUPREMEIND,,2025-02-27,2025-02-27,4000.00,CE,SUPREMEIND25FEB4000CE,0.00,0.00,0.00,680.00,680.00,680.00,4544.80,626.95,125,0,0,0.00,0,F1,125,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,138568,,SUPREMEIND,,2025-02-27,2025-02-27,5000.00,PE,SUPREMEIND25FEB5000PE,0.00,0.00,0.00,648.80,0.00,648.80,4544.80,512.15,0,0,0,0.00,0,F1,125,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,149265,,SUPREMEIND,,2025-03-27,2025-03-27,5000.00,PE,SUPREMEIND25MAR5000PE,0.00,0.00,0.00,515.30,0.00,515.30,4544.80,549.75,0,0,0,0.00,0,F1,125,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,138528,,SUPREMEIND,,2025-02-27,2025-02-27,4800.00,PE,SUPREMEIND25FEB4800PE,0.00,0.00,0.00,315.60,315.60,315.60,4544.80,371.20,125,0,0,0.00,0,F1,125,,,,,
