TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-01-10,2025-01-10,FO,NSE,STO,149914,,TATAMOTORS,,2025-02-27,2025-02-27,850.00,CE,TATAMOTORS25FEB850CE,14.85,15.15,11.35,13.25,13.10,15.00,774.65,13.25,393800,121000,411,195165987.50,208,F1,550,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,143012,,TATAMOTORS,,2025-01-30,2025-01-30,890.00,CE,TATAMOTORS25JAN890CE,1.70,2.05,1.25,1.55,1.55,1.85,774.65,1.55,814000,-64900,1665,816519687.50,905,F1,550,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,143077,,TATAMOTORS,,2025-02-27,2025-02-27,800.00,PE,TATAMOTORS25FEB800PE,40.75,47.95,37.00,44.00,44.00,40.40,774.65,44.00,371800,55000,169,78278695.00,82,F1,550,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,140432,,TATAMOTORS,,2025-01-30,2025-01-30,800.00,CE,TATAMOTORS25JAN800CE,15.65,17.80,11.00,12.95,12.85,15.85,774.65,12.95,8735650,110000,24447,10950544990.00,17414,F1,550,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,140415,,TATAMOTORS,,2025-01-30,2025-01-30,620.00,PE,TATAMOTORS25JAN620PE,0.40,0.45,0.30,0.45,0.45,0.35,774.65,0.45,446050,-1100,18,6142042.50,17,F1,550,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,143082,,TATAMOTORS,,2025-02-27,2025-02-27,860.00,CE,TATAMOTORS25FEB860CE,9.85,12.60,9.30,11.25,11.10,12.50,774.65,11.25,223300,5500,38,18202992.50,32,F1,550,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,143006,,TATAMOTORS,,2025-01-30,2025-01-30,830.00,CE,TATAMOTORS25JAN830CE,7.35,8.45,5.05,6.10,6.10,7.50,774.65,6.10,2509650,70400,5524,2542079705.00,3907,F1,550,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,149915,,TATAMOTORS,,2025-02-27,2025-02-27,850.00,PE,TATAMOTORS25FEB850PE,0.00,0.00,0.00,110.95,0.00,110.95,774.65,78.25,0,0,0,0.00,0,F1,550,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,143009,,TATAMOTORS,,2025-01-30,2025-01-30,850.00,PE,TATAMOTORS25JAN850PE,69.70,82.30,64.00,75.65,75.60,69.70,774.65,75.65,533500,-8800,78,39547062.50,64,F1,550,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,143008,,TATAMOTORS,,2025-01-30,2025-01-30,850.00,CE,TATAMOTORS25JAN850CE,4.55,5.20,3.20,3.90,3.85,4.55,774.65,3.90,4626050,334400,7261,3411136602.50,3938,F1,550,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,149948,,TATAMOTORS,,2025-03-27,2025-03-27,640.00,CE,TATAMOTORS25MAR640CE,0.00,0.00,0.00,123.45,0.00,123.45,774.65,146.05,0,0,0,0.00,0,F1,550,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,143063,,TATAMOTORS,,2025-02-27,2025-02-27,660.00,PE,TATAMOTORS25FEB660PE,4.00,4.90,3.05,4.80,4.80,3.90,774.65,1.75,163350,3300,37,13518202.50,35,F1,550,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,140431,,TATAMOTORS,,2025-01-30,2025-01-30,780.00,PE,TATAMOTORS25JAN780PE,21.15,27.50,16.85,23.40,22.50,20.40,774.65,23.40,2566850,-72600,11615,5120990077.50,9522,F1,550,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,140453,,TATAMOTORS,,2025-01-30,2025-01-30,1000.00,PE,TATAMOTORS25JAN1000PE,214.00,222.95,213.65,220.20,221.00,211.45,774.65,220.20,1483900,3850,44,29497875.00,23,F1,550,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,140410,,TATAMOTORS,,2025-01-30,2025-01-30,580.00,CE,TATAMOTORS25JAN580CE,191.00,197.00,191.00,197.00,197.00,199.00,774.65,197.00,14850,1100,2,851400.00,2,F1,550,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,140442,,TATAMOTORS,,2025-01-30,2025-01-30,900.00,CE,TATAMOTORS25JAN900CE,1.45,1.65,1.05,1.30,1.35,1.45,774.65,1.30,4956600,-314050,4983,2470132775.00,2065,F1,550,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,143014,,TATAMOTORS,,2025-01-30,2025-01-30,910.00,CE,TATAMOTORS25JAN910CE,1.15,1.30,0.85,1.00,1.00,1.15,774.65,1.00,498300,11000,753,377319552.50,500,F1,550,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,149899,,TATAMOTORS,,2025-02-27,2025-02-27,690.00,PE,TATAMOTORS25FEB690PE,0.00,0.00,0.00,4.90,4.90,4.90,774.65,4.50,2750,0,0,0.00,0,F1,550,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,140413,,TATAMOTORS,,2025-01-30,2025-01-30,600.00,PE,TATAMOTORS25JAN600PE,0.35,0.35,0.30,0.35,0.35,0.35,774.65,0.35,258500,3850,33,10895802.50,16,F1,550,,,,,
2025-01-10,2025-01-10,FO,NSE,STF,43389,,TATAMOTORS,,2025-03-27,2025-03-27,,,TATAMOTORS25MARFUT,793.55,800.30,780.00,786.80,787.80,793.90,774.65,786.80,756250,15400,299,130076017.50,282,F1,550,,,,,
2025-01-10,2025-01-10,FO,NSE,STF,42512,,TATAMOTORS,,2025-01-30,2025-01-30,,,TATAMOTORS25JANFUT,785.00,790.95,770.00,777.15,778.35,783.80,774.65,777.15,96450200,-1234750,30214,12970442732.50,23405,F1,550,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,140452,,TATAMOTORS,,2025-01-30,2025-01-30,1000.00,CE,TATAMOTORS25JAN1000CE,0.35,0.40,0.30,0.35,0.35,0.40,774.65,0.35,1613150,-13200,277,152401562.50,131,F1,550,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,149907,,TATAMOTORS,,2025-02-27,2025-02-27,770.00,PE,TATAMOTORS25FEB770PE,28.60,29.10,23.75,29.00,29.00,27.10,774.65,27.05,33550,550,15,6573572.50,15,F1,550,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,149954,,TATAMOTORS,,2025-03-27,2025-03-27,700.00,CE,TATAMOTORS25MAR700CE,0.00,0.00,0.00,80.90,0.00,80.90,774.65,94.80,0,0,0,0.00,0,F1,550,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,149955,,TATAMOTORS,,2025-03-27,2025-03-27,700.00,PE,TATAMOTORS25MAR700PE,13.70,13.95,12.55,13.00,13.00,12.10,774.65,13.00,16500,0,8,3138850.00,8,F1,550,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,149950,,TATAMOTORS,,2025-03-27,2025-03-27,660.00,CE,TATAMOTORS25MAR660CE,0.00,0.00,0.00,108.15,0.00,108.15,774.65,128.10,0,0,0,0.00,0,F1,550,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,143002,,TATAMOTORS,,2025-01-30,2025-01-30,790.00,CE,TATAMOTORS25JAN790CE,20.30,22.45,14.05,16.45,16.45,19.90,774.65,16.45,2824800,-48400,14291,6355301700.00,11156,F1,550,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,140449,,TATAMOTORS,,2025-01-30,2025-01-30,960.00,PE,TATAMOTORS25JAN960PE,0.00,0.00,0.00,174.50,174.50,174.50,774.65,181.80,128150,0,0,0.00,0,F1,550,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,143093,,TATAMOTORS,,2025-02-27,2025-02-27,960.00,PE,TATAMOTORS25FEB960PE,0.00,0.00,0.00,200.00,200.00,200.00,774.65,177.75,1100,0,0,0.00,0,F1,550,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,142996,,TATAMOTORS,,2025-01-30,2025-01-30,730.00,CE,TATAMOTORS25JAN730CE,60.95,63.70,49.25,55.25,55.10,60.75,774.65,55.25,569250,-9900,85,36667977.50,66,F1,550,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,149949,,TATAMOTORS,,2025-03-27,2025-03-27,640.00,PE,TATAMOTORS25MAR640PE,0.00,0.00,0.00,11.10,0.00,11.10,774.65,2.50,0,0,0,0.00,0,F1,550,,,,,
2025-01-10,2025-01-10,FO,NSE,STO,143010,,TATAMOTORS,,2025-01-30,2025-01-30,870.00,CE,TATAMOTORS25JAN870CE,2.80,3.15,1.90,2.40,2.35,2.80,774.65,2.40,998800,2200,1756,842671472.50,1108,F1,550,,,,,
