TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-01-01,2026-01-01,FO,NSE,STO,69468,,ASIANPAINT,,2026-03-30,2026-03-30,2960.00,CE,ASIANPAINT26MAR2960CE,0.00,0.00,0.00,75.25,0.00,75.25,2752.00,50.30,0,0,0,0.00,0,F1,250,,,,,
2026-01-01,2026-01-01,FO,NSE,STO,74953,,ASIANPAINT,,2026-02-24,2026-02-24,2840.00,CE,ASIANPAINT26FEB2840CE,0.00,0.00,0.00,60.90,60.90,60.90,2752.00,60.25,8750,0,0,0.00,0,F1,250,,,,,
2026-01-01,2026-01-01,FO,NSE,STO,74853,,ASIANPAINT,,2026-02-24,2026-02-24,2600.00,CE,ASIANPAINT26FEB2600CE,0.00,0.00,0.00,347.15,0.00,347.15,2752.00,198.25,0,0,0,0.00,0,F1,250,,,,,
2026-01-01,2026-01-01,FO,NSE,STO,65424,,ASIANPAINT,,2026-01-27,2026-01-27,2480.00,CE,ASIANPAINT26JAN2480CE,0.00,0.00,0.00,300.45,300.45,300.45,2752.00,283.15,250,0,0,0.00,0,F1,250,,,,,
2026-01-01,2026-01-01,FO,NSE,STO,69121,,ASIANPAINT,,2026-02-24,2026-02-24,2740.00,CE,ASIANPAINT26FEB2740CE,0.00,0.00,0.00,130.00,0.00,130.00,2752.00,105.55,0,0,0,0.00,0,F1,250,,,,,
2026-01-01,2026-01-01,FO,NSE,STO,69311,,ASIANPAINT,,2026-03-30,2026-03-30,2680.00,CE,ASIANPAINT26MAR2680CE,0.00,0.00,0.00,200.70,0.00,200.70,2752.00,171.95,0,0,0,0.00,0,F1,250,,,,,
2026-01-01,2026-01-01,FO,NSE,STO,65656,,ASIANPAINT,,2026-01-27,2026-01-27,3160.00,CE,ASIANPAINT26JAN3160CE,1.20,1.20,0.80,0.85,0.80,1.25,2752.00,0.85,9500,2000,20,15804937.50,13,F1,250,,,,,
2026-01-01,2026-01-01,FO,NSE,STO,69301,,ASIANPAINT,,2026-03-30,2026-03-30,2480.00,PE,ASIANPAINT26MAR2480PE,0.00,0.00,0.00,28.05,0.00,28.05,2752.00,16.55,0,0,0,0.00,0,F1,250,,,,,
2026-01-01,2026-01-01,FO,NSE,STO,69496,,ASIANPAINT,,2026-03-30,2026-03-30,3000.00,PE,ASIANPAINT26MAR3000PE,0.00,0.00,0.00,261.25,0.00,261.25,2752.00,249.20,0,0,0,0.00,0,F1,250,,,,,
2026-01-01,2026-01-01,FO,NSE,STO,65577,,ASIANPAINT,,2026-01-27,2026-01-27,2960.00,CE,ASIANPAINT26JAN2960CE,6.80,7.75,5.50,5.65,5.70,7.35,2752.00,5.65,44000,3500,104,77136475.00,85,F1,250,,,,,
2026-01-01,2026-01-01,FO,NSE,STO,74655,,ASIANPAINT,,2026-01-27,2026-01-27,2860.00,CE,ASIANPAINT26JAN2860CE,23.65,25.60,18.40,18.90,19.45,23.70,2752.00,18.90,501750,-16000,596,429420375.00,476,F1,250,,,,,
2026-01-01,2026-01-01,FO,NSE,STO,65521,,ASIANPAINT,,2026-01-27,2026-01-27,2680.00,CE,ASIANPAINT26JAN2680CE,0.00,0.00,0.00,120.40,120.55,120.40,2752.00,110.15,2250,0,0,0.00,0,F1,250,,,,,
2026-01-01,2026-01-01,FO,NSE,STO,65519,,ASIANPAINT,,2026-01-27,2026-01-27,2640.00,CE,ASIANPAINT26JAN2640CE,0.00,0.00,0.00,137.00,137.00,137.00,2752.00,139.75,4000,0,0,0.00,0,F1,250,,,,,
2026-01-01,2026-01-01,FO,NSE,STO,65573,,ASIANPAINT,,2026-01-27,2026-01-27,2880.00,CE,ASIANPAINT26JAN2880CE,17.85,20.35,14.45,14.80,15.00,18.65,2752.00,14.80,70750,21500,182,131806150.00,117,F1,250,,,,,
2026-01-01,2026-01-01,FO,NSE,STO,69448,,ASIANPAINT,,2026-03-30,2026-03-30,2920.00,CE,ASIANPAINT26MAR2920CE,0.00,0.00,0.00,88.05,0.00,88.05,2752.00,61.55,0,0,0,0.00,0,F1,250,,,,,
2026-01-01,2026-01-01,FO,NSE,STO,74650,,ASIANPAINT,,2026-01-27,2026-01-27,2740.00,PE,ASIANPAINT26JAN2740PE,39.60,44.35,32.50,42.00,41.40,37.75,2752.00,42.00,266000,3250,464,322343325.00,367,F1,250,,,,,
2026-01-01,2026-01-01,FO,NSE,STO,74847,,ASIANPAINT,,2026-02-24,2026-02-24,2480.00,CE,ASIANPAINT26FEB2480CE,0.00,0.00,0.00,447.95,0.00,447.95,2752.00,299.75,0,0,0,0.00,0,F1,250,,,,,
2026-01-01,2026-01-01,FO,NSE,STO,74646,,ASIANPAINT,,2026-01-27,2026-01-27,2660.00,PE,ASIANPAINT26JAN2660PE,17.10,19.00,13.60,17.95,17.30,16.70,2752.00,17.95,30250,-250,61,40812500.00,61,F1,250,,,,,
2026-01-01,2026-01-01,FO,NSE,STO,65658,,ASIANPAINT,,2026-01-27,2026-01-27,3200.00,CE,ASIANPAINT26JAN3200CE,1.10,1.40,0.85,0.90,0.85,1.20,2752.00,0.90,82500,-1500,90,72023825.00,62,F1,250,,,,,
2026-01-01,2026-01-01,FO,NSE,STO,74947,,ASIANPAINT,,2026-02-24,2026-02-24,2720.00,CE,ASIANPAINT26FEB2720CE,0.00,0.00,0.00,153.00,153.00,153.00,2752.00,116.75,1250,0,0,0.00,0,F1,250,,,,,
2026-01-01,2026-01-01,FO,NSE,STO,69119,,ASIANPAINT,,2026-02-24,2026-02-24,2700.00,CE,ASIANPAINT26FEB2700CE,0.00,0.00,0.00,152.80,0.00,152.80,2752.00,128.65,0,0,0,0.00,0,F1,250,,,,,
2026-01-01,2026-01-01,FO,NSE,STO,74860,,ASIANPAINT,,2026-02-24,2026-02-24,2680.00,CE,ASIANPAINT26FEB2680CE,0.00,0.00,0.00,286.45,0.00,286.45,2752.00,141.25,0,0,0,0.00,0,F1,250,,,,,
2026-01-01,2026-01-01,FO,NSE,STO,69132,,ASIANPAINT,,2026-02-24,2026-02-24,2900.00,CE,ASIANPAINT26FEB2900CE,0.00,0.00,0.00,51.40,51.40,51.40,2752.00,41.05,500,0,0,0.00,0,F1,250,,,,,
2026-01-01,2026-01-01,FO,NSE,STO,65421,,ASIANPAINT,,2026-01-27,2026-01-27,2400.00,PE,ASIANPAINT26JAN2400PE,0.00,0.00,0.00,1.05,1.05,1.05,2752.00,0.25,500,0,0,0.00,0,F1,250,,,,,
2026-01-01,2026-01-01,FO,NSE,STO,74676,,ASIANPAINT,,2026-01-27,2026-01-27,3100.00,PE,ASIANPAINT26JAN3100PE,0.00,0.00,0.00,338.00,338.00,338.00,2752.00,337.00,2000,0,0,0.00,0,F1,250,,,,,
2026-01-01,2026-01-01,FO,NSE,STO,74656,,ASIANPAINT,,2026-01-27,2026-01-27,2860.00,PE,ASIANPAINT26JAN2860PE,0.00,0.00,0.00,101.55,102.20,101.55,2752.00,122.15,11250,0,0,0.00,0,F1,250,,,,,
2026-01-01,2026-01-01,FO,NSE,STO,75000,,ASIANPAINT,,2026-02-24,2026-02-24,3040.00,PE,ASIANPAINT26FEB3040PE,0.00,0.00,0.00,257.50,257.50,257.50,2752.00,277.95,1250,0,0,0.00,0,F1,250,,,,,
2026-01-01,2026-01-01,FO,NSE,STO,74954,,ASIANPAINT,,2026-02-24,2026-02-24,2840.00,PE,ASIANPAINT26FEB2840PE,0.00,0.00,0.00,105.20,0.00,105.20,2752.00,125.25,0,0,0,0.00,0,F1,250,,,,,
2026-01-01,2026-01-01,FO,NSE,STO,69114,,ASIANPAINT,,2026-02-24,2026-02-24,2580.00,PE,ASIANPAINT26FEB2580PE,0.00,0.00,0.00,17.50,17.50,17.50,2752.00,21.10,500,0,0,0.00,0,F1,250,,,,,
2026-01-01,2026-01-01,FO,NSE,STO,74852,,ASIANPAINT,,2026-02-24,2026-02-24,2560.00,PE,ASIANPAINT26FEB2560PE,0.00,0.00,0.00,25.25,0.00,25.25,2752.00,17.50,0,0,0,0.00,0,F1,250,,,,,
2026-01-01,2026-01-01,FO,NSE,STO,74848,,ASIANPAINT,,2026-02-24,2026-02-24,2480.00,PE,ASIANPAINT26FEB2480PE,0.00,0.00,0.00,14.80,0.00,14.80,2752.00,7.65,0,0,0,0.00,0,F1,250,,,,,
2026-01-01,2026-01-01,FO,NSE,STO,65536,,ASIANPAINT,,2026-01-27,2026-01-27,2680.00,PE,ASIANPAINT26JAN2680PE,21.35,23.90,17.05,22.10,21.80,20.55,2752.00,22.10,53500,3750,182,122866200.00,141,F1,250,,,,,
2026-01-01,2026-01-01,FO,NSE,STO,74642,,ASIANPAINT,,2026-01-27,2026-01-27,2580.00,PE,ASIANPAINT26JAN2580PE,6.80,7.00,4.95,6.80,6.25,6.45,2752.00,6.80,18000,2250,74,47837400.00,51,F1,250,,,,,
2026-01-01,2026-01-01,FO,NSE,STO,65537,,ASIANPAINT,,2026-01-27,2026-01-27,2720.00,CE,ASIANPAINT26JAN2720CE,85.00,85.00,78.95,80.25,81.10,91.20,2752.00,80.25,11750,-1000,10,7002475.00,10,F1,250,,,,,
2026-01-01,2026-01-01,FO,NSE,STO,74956,,ASIANPAINT,,2026-02-24,2026-02-24,2880.00,PE,ASIANPAINT26FEB2880PE,0.00,0.00,0.00,135.00,135.00,135.00,2752.00,151.50,250,0,0,0.00,0,F1,250,,,,,
2026-01-01,2026-01-01,FO,NSE,STO,74653,,ASIANPAINT,,2026-01-27,2026-01-27,2820.00,CE,ASIANPAINT26JAN2820CE,37.95,40.55,29.85,30.90,31.30,37.55,2752.00,30.90,64500,11000,332,236940637.50,310,F1,250,,,,,
2026-01-01,2026-01-01,FO,NSE,STO,65574,,ASIANPAINT,,2026-01-27,2026-01-27,2880.00,PE,ASIANPAINT26JAN2880PE,120.00,120.00,107.30,107.30,107.30,132.20,2752.00,137.35,9000,0,5,3740912.50,5,F1,250,,,,,
2026-01-01,2026-01-01,FO,NSE,STO,74949,,ASIANPAINT,,2026-02-24,2026-02-24,2760.00,CE,ASIANPAINT26FEB2760CE,0.00,0.00,0.00,129.00,129.00,129.00,2752.00,95.10,2500,0,0,0.00,0,F1,250,,,,,
2026-01-01,2026-01-01,FO,NSE,STO,74951,,ASIANPAINT,,2026-02-24,2026-02-24,2800.00,CE,ASIANPAINT26FEB2800CE,78.75,83.80,74.00,74.60,76.15,81.15,2752.00,74.60,14750,750,11,7911375.00,10,F1,250,,,,,
2026-01-01,2026-01-01,FO,NSE,STO,65567,,ASIANPAINT,,2026-01-27,2026-01-27,2800.00,PE,ASIANPAINT26JAN2800PE,63.90,74.10,56.70,71.10,69.70,64.45,2752.00,71.10,174500,-7750,494,353891462.50,349,F1,250,,,,,
2026-01-01,2026-01-01,FO,NSE,STO,74660,,ASIANPAINT,,2026-01-27,2026-01-27,2900.00,PE,ASIANPAINT26JAN2900PE,140.00,145.00,133.00,144.10,143.20,133.70,2752.00,144.10,65250,500,7,5317050.00,7,F1,250,,,,,
2026-01-01,2026-01-01,FO,NSE,STO,74666,,ASIANPAINT,,2026-01-27,2026-01-27,2980.00,PE,ASIANPAINT26JAN2980PE,0.00,0.00,0.00,214.00,214.00,214.00,2752.00,222.70,13250,0,0,0.00,0,F1,250,,,,,
2026-01-01,2026-01-01,FO,NSE,STO,65580,,ASIANPAINT,,2026-01-27,2026-01-27,3000.00,PE,ASIANPAINT26JAN3000PE,230.00,230.00,230.00,230.00,230.00,218.80,2752.00,241.15,24500,250,1,807500.00,1,F1,250,,,,,
2026-01-01,2026-01-01,FO,NSE,STO,69116,,ASIANPAINT,,2026-02-24,2026-02-24,2620.00,PE,ASIANPAINT26FEB2620PE,22.40,25.50,22.40,25.50,25.50,42.80,2752.00,29.85,1000,1000,4,2643950.00,2,F1,250,,,,,
2026-01-01,2026-01-01,FO,NSE,STO,69118,,ASIANPAINT,,2026-02-24,2026-02-24,2660.00,PE,ASIANPAINT26FEB2660PE,0.00,0.00,0.00,31.40,31.40,31.40,2752.00,41.00,500,0,0,0.00,0,F1,250,,,,,
2026-01-01,2026-01-01,FO,NSE,STO,69131,,ASIANPAINT,,2026-02-24,2026-02-24,2860.00,PE,ASIANPAINT26FEB2860PE,0.00,0.00,0.00,150.85,0.00,150.85,2752.00,138.05,0,0,0,0.00,0,F1,250,,,,,
2026-01-01,2026-01-01,FO,NSE,STO,69126,,ASIANPAINT,,2026-02-24,2026-02-24,2780.00,PE,ASIANPAINT26FEB2780PE,0.00,0.00,0.00,72.60,72.60,72.60,2752.00,90.80,500,0,0,0.00,0,F1,250,,,,,
2026-01-01,2026-01-01,FO,NSE,STO,65379,,ASIANPAINT,,2026-01-27,2026-01-27,2400.00,CE,ASIANPAINT26JAN2400CE,0.00,0.00,0.00,383.35,383.35,383.35,2752.00,361.65,750,0,0,0.00,0,F1,250,,,,,
2026-01-01,2026-01-01,FO,NSE,STO,65422,,ASIANPAINT,,2026-01-27,2026-01-27,2440.00,CE,ASIANPAINT26JAN2440CE,0.00,0.00,0.00,177.25,0.00,177.25,2752.00,322.20,0,0,0,0.00,0,F1,250,,,,,
2026-01-01,2026-01-01,FO,NSE,STO,74647,,ASIANPAINT,,2026-01-27,2026-01-27,2700.00,CE,ASIANPAINT26JAN2700CE,101.45,113.55,92.20,94.60,95.80,106.15,2752.00,94.60,36500,1000,30,21042450.00,27,F1,250,,,,,
2026-01-01,2026-01-01,FO,NSE,STO,74667,,ASIANPAINT,,2026-01-27,2026-01-27,3020.00,CE,ASIANPAINT26JAN3020CE,3.75,3.90,2.65,2.90,2.85,3.75,2752.00,2.90,278000,240250,1770,1337795125.00,791,F1,250,,,,,
2026-01-01,2026-01-01,FO,NSE,STO,65649,,ASIANPAINT,,2026-01-27,2026-01-27,3120.00,CE,ASIANPAINT26JAN3120CE,1.40,1.40,1.10,1.25,1.10,1.60,2752.00,1.25,5500,250,2,1560625.00,2,F1,250,,,,,
2026-01-01,2026-01-01,FO,NSE,STO,74845,,ASIANPAINT,,2026-02-24,2026-02-24,2440.00,CE,ASIANPAINT26FEB2440CE,0.00,0.00,0.00,483.60,0.00,483.60,2752.00,336.55,0,0,0,0.00,0,F1,250,,,,,
